date,pct_chg
2022-02-04,6.31
2022-02-07,5.56
2022-02-08,5.3
2022-02-09,17.17
2022-02-10,15.91
2022-02-11,13.38
2022-02-14,9.34
2022-02-15,16.92
2022-02-16,18.69
2022-02-17,10.61
2022-02-18,4.29
2022-02-22,-1.77
2022-02-23,-5.56
2022-02-24,-3.03
2022-02-25,-4.8
2022-02-28,-4.04
2022-03-01,-7.58
2022-03-02,-7.07
2022-03-03,-10.35
2022-03-04,-15.66
2022-03-07,-20.45
2022-03-08,-17.17
2022-03-09,-13.64
2022-03-10,-15.91
2022-03-11,-19.95
2022-03-14,-26.01
2022-03-15,-23.48
2022-03-16,-17.93
2022-03-17,-12.12
2022-03-18,-10.35
2022-03-21,-12.37
2022-03-22,-7.07
2022-03-23,-8.08
2022-03-24,2.02
2022-03-25,12.63
2022-03-28,3.28
2022-03-29,4.55
2022-03-30,5.05
2022-03-31,1.01
2022-04-01,-0.25
2022-04-04,4.55
2022-04-05,-1.01
2022-04-06,-4.8
2022-04-07,-10.86
2022-04-08,-11.87
2022-04-11,-9.85
2022-04-12,-9.6
2022-04-13,-6.82
2022-04-14,-10.61
2022-04-18,-15.15
2022-04-19,-15.4
2022-04-20,-18.43
2022-04-21,-21.21
2022-04-22,-22.98
2022-04-25,-21.72
2022-04-26,-26.01
2022-04-27,-25.76
2022-04-28,-22.98
2022-04-29,-23.48
2022-05-02,-20.71
2022-05-03,-23.48
2022-05-04,-19.44
2022-05-05,-26.01
2022-05-06,-29.04
2022-05-09,-36.11
2022-05-10,-33.84
2022-05-11,-42.17
2022-05-12,-38.89
2022-05-13,-28.28
2022-05-16,-25.51
2022-05-17,-21.97
2022-05-18,-26.26
2022-05-19,-23.23
2022-05-20,-26.01
2022-05-23,-30.81
2022-05-24,-35.1
2022-05-25,-32.32
2022-05-26,-31.06
2022-05-27,-57.58
2022-05-31,-58.08
2022-06-01,-60.35
2022-06-02,-60.1
2022-06-03,-59.6
2022-06-06,-61.11
2022-06-07,-59.09
2022-06-08,-60.61
2022-06-09,-62.63
2022-06-10,-64.65
2022-06-13,-68.69
2022-06-14,-66.92
2022-06-15,-65.91
2022-06-16,-68.94
2022-06-17,-67.42
2022-06-21,-65.91
2022-06-22,-67.42
2022-06-23,-64.14
2022-06-24,-61.36
2022-06-27,-60.86
2022-06-28,-62.37
2022-06-29,-65.4
2022-06-30,-66.67
2022-07-01,-65.91
2022-07-05,-65.66
2022-07-06,-64.9
2022-07-07,-63.38
2022-07-08,-64.9
2022-07-11,-68.18
2022-07-12,-67.17
2022-07-13,-66.67
2022-07-14,-62.63
2022-07-15,-65.4
2022-07-18,-63.64
2022-07-19,-61.62
2022-07-20,-58.33
2022-07-21,-61.36
2022-07-22,-64.39
2022-07-25,-63.89
2022-07-26,-66.16
2022-07-27,-65.66
2022-07-28,-64.9
2022-07-29,-64.39
2022-08-01,-65.4
2022-08-02,-60.86
2022-08-03,-61.11
2022-08-04,-61.62
2022-08-05,-62.12
2022-08-08,-58.33
2022-08-09,-62.12
2022-08-10,-58.08
2022-08-11,-59.34
2022-08-12,-55.81
2022-08-15,-52.27
2022-08-16,-54.29
2022-08-17,-56.31
2022-08-18,-58.33
2022-08-19,-61.36
2022-08-22,-63.38
2022-08-23,-64.14
2022-08-24,-60.35
2022-08-25,-57.07
2022-08-26,-61.11
2022-08-29,-59.09
2022-08-30,-61.62
2022-08-31,-59.6
2022-09-01,-62.12
2022-09-02,-61.87
2022-09-06,-65.15
2022-09-07,-63.89
2022-09-08,-62.12
2022-09-09,-60.61
2022-09-12,-59.34
2022-09-13,-62.12
2022-09-14,-61.36
2022-09-15,-61.11
2022-09-16,-63.89
2022-09-19,-62.88
2022-09-20,-64.65
2022-09-21,-67.17
2022-09-22,-69.19
2022-09-23,-69.7
2022-09-26,-70.71
2022-09-27,-69.44
2022-09-28,-67.17
2022-09-29,-68.43
2022-09-30,-69.19
2022-10-03,-68.94
2022-10-04,-67.68
2022-10-05,-68.69
2022-10-06,-66.41
2022-10-07,-70.71
2022-10-10,-73.48
2022-10-11,-73.74
2022-10-12,-72.98
2022-10-13,-71.97
2022-10-14,-73.74
2022-10-17,-71.97
2022-10-18,-71.72
2022-10-19,-72.98
2022-10-20,-72.47
2022-10-21,-72.22
2022-10-24,-73.74
