date,pct_chg
2022-02-04,-1.13
2022-02-07,-0.42
2022-02-08,0.01
2022-02-09,-0.9
2022-02-10,-3.1
2022-02-11,-2.82
2022-02-14,-4.45
2022-02-15,-5.27
2022-02-16,-5.3
2022-02-17,-5.21
2022-02-18,-4.97
2022-02-22,-4.66
2022-02-23,-6.15
2022-02-24,-4.02
2022-02-25,-0.81
2022-02-28,0.51
2022-03-01,0.02
2022-03-02,1.16
2022-03-03,4.2
2022-03-04,6.81
2022-03-07,7.84
2022-03-08,5.61
2022-03-09,5.34
2022-03-10,6.43
2022-03-11,5.93
2022-03-14,5.04
2022-03-15,6.56
2022-03-16,5.41
2022-03-17,5.27
2022-03-18,4.3
2022-03-21,4.99
2022-03-22,5.61
2022-03-23,6.45
2022-03-24,6.93
2022-03-25,7.37
2022-03-28,8.23
2022-03-29,9.42
2022-03-30,10.23
2022-03-31,10.62
2022-04-01,12.55
2022-04-04,11.6
2022-04-05,12.33
2022-04-06,15.86
2022-04-07,14.61
2022-04-08,14.19
2022-04-11,12.43
2022-04-12,13.44
2022-04-13,13.37
2022-04-14,13.14
2022-04-18,12.72
2022-04-19,13.57
2022-04-20,14.01
2022-04-21,13.23
2022-04-22,11.15
2022-04-25,11.43
2022-04-26,10.03
2022-04-27,10.36
2022-04-28,13.57
2022-04-29,9.89
2022-05-02,8.8
2022-05-03,9.3
2022-05-04,11.68
2022-05-05,10.5
2022-05-06,10.49
2022-05-09,10.53
2022-05-10,9.86
2022-05-11,10.63
2022-05-12,9.25
2022-05-13,10.53
2022-05-16,10.2
2022-05-17,11.32
2022-05-18,10.74
2022-05-19,9.81
2022-05-20,10.54
2022-05-23,11.18
2022-05-24,13.34
2022-05-25,13.63
2022-05-26,13.74
2022-05-27,14.84
2022-05-31,13.13
2022-06-01,13.14
2022-06-02,13.37
2022-06-03,13.04
2022-06-06,13.16
2022-06-07,13.57
2022-06-08,11.46
2022-06-09,8.95
2022-06-10,8.95
2022-06-13,3.13
2022-06-14,0.28
2022-06-15,0.51
2022-06-16,-1.11
2022-06-17,-1.97
2022-06-21,-0.27
2022-06-22,0.13
2022-06-23,2.46
2022-06-24,3.78
2022-06-27,5.31
2022-06-28,5.42
2022-06-29,5.74
2022-06-30,6.38
2022-07-01,8.6
2022-07-05,3.76
2022-07-06,5.11
2022-07-07,4.8
2022-07-08,4.6
2022-07-11,5.34
2022-07-12,4.63
2022-07-13,4.11
2022-07-14,4.52
2022-07-15,5.58
2022-07-18,3.53
2022-07-19,3.77
2022-07-20,2.79
2022-07-21,2.88
2022-07-22,4.61
2022-07-25,6.22
2022-07-26,6.91
2022-07-27,6.76
2022-07-28,8.24
2022-07-29,9.28
2022-08-01,9.88
2022-08-02,9.17
2022-08-03,10.42
2022-08-04,10.82
2022-08-05,10.28
2022-08-08,10.97
2022-08-09,11.51
2022-08-10,12.36
2022-08-11,12.21
2022-08-12,15.07
2022-08-15,15.93
2022-08-16,15.82
2022-08-17,15.68
2022-08-18,15.72
2022-08-19,16.35
2022-08-22,14.66
2022-08-23,13.87
2022-08-24,13.83
2022-08-25,14.62
2022-08-26,12.89
2022-08-29,14.13
2022-08-30,12.36
2022-08-31,11.1
2022-09-01,13.52
2022-09-02,12.09
2022-09-06,12.61
2022-09-07,16.13
2022-09-08,15.29
2022-09-09,16.1
2022-09-12,16.62
2022-09-13,13.32
2022-09-14,14.56
2022-09-15,11.09
2022-09-16,11.28
2022-09-19,12.11
2022-09-20,10.61
2022-09-21,9.29
2022-09-22,9.64
2022-09-23,8.37
2022-09-26,6.03
2022-09-27,2.96
2022-09-28,3.74
2022-09-29,-2.16
2022-09-30,-4.15
2022-10-03,-2.17
2022-10-04,0.52
2022-10-05,-2.76
2022-10-06,-6.3
2022-10-07,-7.98
2022-10-10,-6.36
2022-10-11,-5.9
2022-10-12,-9.37
2022-10-13,-6.0
2022-10-14,-7.4
2022-10-17,-5.7
2022-10-18,-4.0
2022-10-19,-4.76
2022-10-20,-6.94
2022-10-21,-5.06
2022-10-24,-4.65
2022-10-25,-3.07
2022-10-26,-3.04
2022-10-27,-3.34
2022-10-28,-0.88
2022-10-31,-2.52
2022-11-01,-1.84
2022-11-02,-2.2
2022-11-03,-1.67
2022-11-04,-0.69
2022-11-07,-2.43
2022-11-08,-1.04
2022-11-09,-2.63
2022-11-10,1.79
2022-11-11,-0.23
2022-11-14,-1.7
2022-11-15,-1.08
2022-11-16,-0.5
2022-11-17,-1.24
2022-11-18,1.21
2022-11-21,3.28
2022-11-22,3.9
2022-11-23,5.48
2022-11-25,5.85
2022-11-28,5.58
2022-11-29,4.95
2022-11-30,7.33
2022-12-01,6.97
2022-12-02,5.47
2022-12-05,4.8
2022-12-06,6.85
2022-12-07,7.18
2022-12-08,8.35
2022-12-09,7.09
2022-12-12,9.27
2022-12-13,9.35
2022-12-14,9.2
2022-12-15,5.97
2022-12-16,4.86
2022-12-19,4.22
2022-12-20,3.86
2022-12-21,5.71
2022-12-22,4.75
2022-12-23,6.1
2022-12-27,6.76
2022-12-28,5.73
2022-12-29,6.45
2022-12-30,5.28
2023-01-03,5.19
2023-01-04,5.91
2023-01-05,3.98
2023-01-06,7.03
2023-01-09,8.6
2023-01-10,7.86
2023-01-11,8.25
2023-01-12,6.9
2023-01-13,5.16
2023-01-17,5.18
2023-01-18,2.51
2023-01-19,1.6
2023-01-20,2.2
2023-01-23,2.74
2023-01-24,2.78
2023-01-25,2.39
2023-01-26,3.1
2023-01-27,3.19
2023-01-30,2.97
2023-01-31,4.18
2023-02-01,4.95
2023-02-02,4.83
2023-02-03,2.13
