date,pct_chg
2022-02-04,0.83
2022-02-07,0.8
2022-02-08,3.66
2022-02-09,7.54
2022-02-10,4.9
2022-02-11,-0.15
2022-02-14,0.51
2022-02-15,5.3
2022-02-16,6.13
2022-02-17,2.03
2022-02-18,1.12
2022-02-22,-0.83
2022-02-23,-3.16
2022-02-24,3.41
2022-02-25,3.3
2022-02-28,3.99
2022-03-01,0.47
2022-03-02,0.98
2022-03-03,-2.29
2022-03-04,-5.88
2022-03-07,-9.32
2022-03-08,-6.89
2022-03-09,-3.12
2022-03-10,-4.79
2022-03-11,-6.53
2022-03-14,-9.03
2022-03-15,-6.02
2022-03-16,-0.15
2022-03-17,2.47
2022-03-18,7.0
2022-03-21,6.53
2022-03-22,5.44
2022-03-23,2.68
2022-03-24,6.35
2022-03-25,5.84
2022-03-28,4.72
2022-03-29,9.0
2022-03-30,6.96
2022-03-31,3.01
2022-04-01,2.18
2022-04-04,2.07
2022-04-05,-3.74
2022-04-06,-6.93
2022-04-07,-7.83
2022-04-08,-10.45
2022-04-11,-12.88
2022-04-12,-13.86
2022-04-13,-11.24
2022-04-14,-13.02
2022-04-18,-11.5
2022-04-19,-9.43
2022-04-20,-9.97
2022-04-21,-12.15
2022-04-22,-12.69
2022-04-25,-10.95
2022-04-26,-13.42
2022-04-27,-13.35
2022-04-28,-9.03
2022-04-29,-11.82
2022-05-02,-8.89
2022-05-03,-6.64
2022-05-04,-4.35
2022-05-05,-6.57
2022-05-06,-8.27
2022-05-09,-13.13
2022-05-10,-16.9
2022-05-11,-18.75
2022-05-12,-18.21
2022-05-13,-14.33
2022-05-16,-14.83
2022-05-17,-12.08
2022-05-18,-16.25
2022-05-19,-15.45
2022-05-20,-14.29
2022-05-23,-12.22
2022-05-24,-13.93
2022-05-25,-12.37
2022-05-26,-10.85
2022-05-27,-7.33
2022-05-31,-6.6
2022-06-01,-8.05
2022-06-02,-6.71
2022-06-03,-9.03
2022-06-06,-11.17
2022-06-07,-9.47
2022-06-08,-11.24
2022-06-09,-13.93
2022-06-10,-16.58
2022-06-13,-22.2
2022-06-14,-21.22
2022-06-15,-20.09
2022-06-16,-26.22
2022-06-17,-24.85
2022-06-21,-23.03
2022-06-22,-24.56
2022-06-23,-24.74
2022-06-24,-22.27
2022-06-27,-21.94
2022-06-28,-23.14
2022-06-29,-24.23
2022-06-30,-24.95
2022-07-01,-27.6
2022-07-05,-28.8
2022-07-06,-28.8
2022-07-07,-26.3
2022-07-08,-26.04
2022-07-11,-27.68
2022-07-12,-27.93
2022-07-13,-28.62
2022-07-14,-25.14
2022-07-15,-23.25
2022-07-18,-24.05
2022-07-19,-20.35
2022-07-20,-17.59
2022-07-21,-16.97
2022-07-22,-18.5
2022-07-25,-18.97
2022-07-26,-19.41
2022-07-27,-13.35
2022-07-28,-12.04
2022-07-29,-9.94
2022-08-01,-8.67
2022-08-02,-7.83
2022-08-03,-4.43
2022-08-04,-2.97
2022-08-05,-4.24
2022-08-08,-5.77
2022-08-09,-10.95
2022-08-10,-6.42
2022-08-11,-6.49
2022-08-12,-3.84
2022-08-15,-3.95
2022-08-16,-4.24
2022-08-17,-6.93
2022-08-18,-4.82
2022-08-19,-7.87
2022-08-22,-10.59
2022-08-23,-10.41
2022-08-24,-9.43
2022-08-25,-7.22
2022-08-26,-11.46
2022-08-29,-13.75
2022-08-30,-13.82
2022-08-31,-15.42
2022-09-01,-19.95
2022-09-02,-20.2
2022-09-06,-18.57
2022-09-07,-17.27
2022-09-08,-16.14
2022-09-09,-14.58
2022-09-12,-14.15
2022-09-13,-16.47
2022-09-14,-17.01
2022-09-15,-18.46
2022-09-16,-19.15
2022-09-19,-19.04
2022-09-20,-19.59
2022-09-21,-19.7
2022-09-22,-20.28
2022-09-23,-21.65
2022-09-26,-21.84
2022-09-27,-19.22
2022-09-28,-15.63
2022-09-29,-19.37
2022-09-30,-20.75
2022-10-03,-18.17
2022-10-04,-15.89
2022-10-05,-14.04
2022-10-06,-13.28
2022-10-07,-16.18
2022-10-10,-18.75
2022-10-11,-22.89
2022-10-12,-24.27
2022-10-13,-23.0
2022-10-14,-26.7
2022-10-17,-24.92
2022-10-18,-22.96
2022-10-19,-24.12
2022-10-20,-23.79
2022-10-21,-20.64
2022-10-24,-19.48
2022-10-25,-17.7
2022-10-26,-17.74
2022-10-27,-13.57
2022-10-28,-8.02
2022-10-31,-7.83
2022-11-01,-6.2
2022-11-02,-8.41
2022-11-03,-7.76
2022-11-04,-5.01
2022-11-07,-4.86
2022-11-08,-4.24
2022-11-09,-4.57
2022-11-10,1.78
2022-11-11,3.48
2022-11-14,3.52
2022-11-15,6.17
2022-11-16,2.36
2022-11-17,6.06
2022-11-18,7.04
2022-11-21,6.64
2022-11-22,9.9
2022-11-23,14.47
2022-11-25,12.26
2022-11-28,9.03
2022-11-29,7.54
2022-11-30,12.95
2022-12-01,12.99
2022-12-02,14.25
2022-12-05,18.03
2022-12-06,15.49
2022-12-07,15.34
2022-12-08,18.24
2022-12-09,17.81
2022-12-12,17.95
2022-12-13,19.73
2022-12-14,17.85
2022-12-15,11.06
2022-12-16,9.39
2022-12-19,7.83
2022-12-20,8.45
2022-12-21,10.52
2022-12-22,8.38
2022-12-23,9.68
2022-12-27,8.31
2022-12-28,5.95
2022-12-29,8.74
2022-12-30,8.89
2023-01-03,6.35
2023-01-04,8.05
2023-01-05,4.68
2023-01-06,9.18
2023-01-09,13.38
2023-01-10,15.6
2023-01-11,18.64
2023-01-12,21.65
2023-01-13,22.38
2023-01-17,23.0
2023-01-18,21.65
2023-01-19,14.0
2023-01-20,17.7
2023-01-23,21.29
2023-01-24,20.96
2023-01-25,20.75
2023-01-26,28.51
2023-01-27,28.36
2023-01-30,24.88
2023-01-31,38.45
2023-02-01,43.92
2023-02-02,49.08
2023-02-03,50.74
