date,pct_chg
2022-06-21,-3.33
2022-06-22,-3.33
2022-06-23,-3.33
2022-06-24,12.22
2022-06-27,1.11
2022-06-28,1.11
2022-06-29,-3.33
2022-06-30,-6.67
2022-07-01,-7.92
2022-07-05,-7.92
2022-07-06,-17.78
2022-07-07,-1.12
2022-07-08,-1.12
2022-07-11,-12.23
2022-07-12,-22.22
2022-07-13,-22.22
2022-07-14,-25.63
2022-07-15,-25.27
2022-07-18,-30.0
2022-07-19,-16.67
2022-07-20,-25.0
2022-07-22,-21.11
2022-07-25,-29.92
2022-07-26,-11.11
2022-07-27,-18.89
2022-07-28,-11.11
2022-07-29,-17.97
2022-08-01,-17.44
2022-08-02,-17.44
2022-08-03,-17.44
2022-08-04,-30.0
2022-08-05,-20.0
2022-08-11,-16.67
2022-08-15,-16.67
2022-08-16,-0.06
2022-08-17,-18.88
2022-08-18,-16.39
2022-08-19,-16.66
2022-08-22,-16.67
2022-08-25,-8.9
2022-08-26,-16.67
2022-08-29,-16.67
2022-08-30,-16.67
2022-09-01,-16.67
2022-09-02,-16.67
2022-09-06,-23.32
2022-09-07,-26.11
2022-09-09,-26.67
2022-09-14,-30.0
2022-09-15,-29.99
2022-09-16,-30.0
2022-09-20,-27.78
2022-09-21,-27.77
2022-09-22,-27.78
2022-09-28,-15.56
2022-09-29,-15.56
2022-09-30,-22.5
2022-10-04,-24.44
2022-10-05,-24.44
2022-10-06,-18.89
2022-10-11,-27.78
2022-10-12,-24.3
2022-10-13,-17.24
2022-10-17,-24.43
2022-10-18,-20.56
2022-10-19,-22.22
2022-10-20,-22.22
2022-10-21,-7.81
2022-10-24,37.78
2022-10-25,-27.78
2022-10-27,-33.32
2022-10-31,-20.51
2022-11-01,-27.78
2022-11-03,-31.11
2022-11-04,-27.78
2022-11-07,-23.42
2022-11-08,-24.32
2022-11-09,-24.43
2022-11-10,-31.11
2022-11-11,-39.02
2022-11-14,-27.78
2022-11-15,-24.72
2022-11-16,-44.46
2022-11-17,-41.11
2022-11-18,-36.67
2022-11-21,-36.67
2022-11-22,-37.78
2022-11-23,-30.89
2022-11-25,-39.96
2022-11-28,-35.47
2022-11-30,-37.78
2022-12-01,-30.56
2022-12-02,-38.61
2022-12-05,-31.14
2022-12-06,-37.77
2022-12-07,-36.67
2022-12-08,-25.99
2022-12-09,-25.99
2022-12-12,-25.54
2022-12-13,-26.66
2022-12-14,-26.66
2022-12-15,-14.18
2022-12-16,-24.96
2022-12-19,-24.44
2022-12-20,-18.29
2022-12-21,-24.43
2022-12-22,16.67
2022-12-23,42.22
2022-12-27,42.22
2022-12-29,22.23
2022-12-30,3.33
2023-01-04,12.22
2023-01-05,16.67
2023-01-06,33.33
2023-01-09,77.5
2023-01-10,80.0
2023-01-11,88.89
2023-01-12,66.67
2023-01-13,88.89
2023-01-17,88.89
2023-01-19,71.11
2023-01-23,77.78
2023-01-24,77.78
2023-01-25,70.0
2023-01-26,87.78
2023-01-27,56.67
2023-01-30,66.67
2023-01-31,68.33
2023-02-01,70.0
2023-02-02,79.99
2023-02-03,72.22
