date,pct_chg
2022-02-04,4.69
2022-02-07,5.99
2022-02-08,6.38
2022-02-09,11.46
2022-02-10,10.16
2022-02-11,14.06
2022-02-14,10.68
2022-02-15,15.49
2022-02-16,11.33
2022-02-17,4.95
2022-02-18,10.68
2022-02-22,13.67
2022-02-23,14.58
2022-02-24,18.75
2022-02-25,18.1
2022-02-28,17.19
2022-03-01,17.97
2022-03-02,16.93
2022-03-03,9.51
2022-03-04,-4.82
2022-03-07,-3.39
2022-03-08,-2.73
2022-03-09,4.3
2022-03-10,-1.04
2022-03-11,-4.3
2022-03-14,-7.81
2022-03-15,-3.26
2022-03-16,4.43
2022-03-17,9.64
2022-03-18,11.33
2022-03-21,-1.17
2022-03-22,5.99
2022-03-23,9.64
2022-03-24,4.3
2022-03-25,-1.43
2022-03-28,3.65
2022-03-29,2.6
2022-03-30,-5.73
2022-03-31,-12.11
2022-04-01,-10.16
2022-04-04,-8.07
2022-04-05,-13.93
2022-04-06,-14.71
2022-04-07,-11.46
2022-04-08,-18.88
2022-04-11,-23.83
2022-04-12,-24.22
2022-04-13,-23.7
2022-04-14,-26.3
2022-04-18,-31.38
2022-04-19,-29.56
2022-04-20,-18.62
2022-04-21,-29.43
2022-04-22,-41.15
2022-04-25,-35.55
2022-04-26,-38.67
2022-04-27,-41.67
2022-04-28,-37.24
2022-04-29,-40.76
2022-05-02,-40.76
2022-05-03,-38.15
2022-05-04,-35.55
2022-05-05,-35.94
2022-05-06,-35.29
2022-05-09,-46.61
2022-05-10,-50.91
2022-05-11,-57.55
2022-05-12,-49.09
2022-05-13,-44.79
2022-05-16,-43.49
2022-05-17,-40.1
2022-05-18,-43.88
2022-05-19,-48.44
2022-05-20,-49.35
2022-05-23,-47.92
2022-05-24,-49.35
2022-05-25,-50.26
2022-05-26,-52.99
2022-05-27,-51.04
2022-05-31,-49.61
2022-06-01,-52.6
2022-06-02,-54.04
2022-06-03,-51.82
2022-06-06,-49.48
2022-06-07,-47.92
2022-06-08,-46.22
2022-06-09,-47.79
2022-06-10,-52.08
2022-06-13,-53.78
2022-06-14,-53.91
2022-06-15,-54.56
2022-06-16,-56.25
2022-06-17,-50.78
2022-06-21,-47.66
2022-06-22,-45.05
2022-06-23,-41.28
2022-06-24,-44.4
2022-06-27,-45.31
2022-06-28,-46.61
2022-06-29,-48.83
2022-06-30,-49.22
2022-07-01,-46.22
2022-07-05,-42.19
2022-07-06,-38.8
2022-07-07,-35.42
2022-07-08,-35.03
2022-07-11,-37.89
2022-07-12,-36.07
2022-07-13,-31.25
2022-07-14,-32.03
2022-07-15,-34.38
2022-07-18,-36.59
2022-07-19,-33.2
2022-07-20,-30.6
2022-07-21,-30.08
2022-07-22,-35.42
2022-07-25,-39.58
2022-07-26,-39.97
2022-07-27,-32.81
2022-07-28,-35.55
2022-07-29,-40.23
2022-08-01,-40.23
2022-08-02,-27.99
2022-08-03,-24.35
2022-08-04,-15.1
2022-08-05,1.04
2022-08-08,-8.59
2022-08-09,4.17
2022-08-10,12.11
2022-08-11,-13.28
2022-08-12,-1.43
2022-08-15,11.59
2022-08-16,6.51
2022-08-17,1.3
2022-08-18,1.95
2022-08-19,0.78
2022-08-22,-6.38
2022-08-23,0.26
2022-08-24,8.33
2022-08-25,7.03
2022-08-26,0.52
2022-08-29,-4.43
2022-08-30,-18.49
2022-08-31,-2.21
2022-09-01,-2.34
2022-09-02,-0.39
2022-09-06,-5.47
2022-09-07,-2.6
2022-09-08,11.46
2022-09-09,13.93
2022-09-12,8.98
2022-09-13,6.25
2022-09-14,14.45
2022-09-15,9.24
2022-09-16,6.25
2022-09-19,4.3
2022-09-20,2.86
2022-09-21,-0.26
2022-09-22,-2.08
2022-09-23,-3.78
