date,pct_chg
2022-02-04,1.83
2022-02-07,0.7
2022-02-08,1.64
2022-02-09,2.25
2022-02-10,-0.38
2022-02-11,-2.91
2022-02-14,-0.61
2022-02-15,1.13
2022-02-16,1.27
2022-02-17,-2.58
2022-02-18,-4.79
2022-02-22,-6.06
2022-02-23,-9.67
2022-02-24,0.33
2022-02-25,3.29
2022-02-28,3.15
2022-03-01,1.64
2022-03-02,2.91
2022-03-03,0.7
2022-03-04,-0.09
2022-03-07,-0.28
2022-03-08,-1.55
2022-03-09,0.0
2022-03-10,-1.69
2022-03-11,-3.71
2022-03-14,-5.16
2022-03-15,-3.19
2022-03-16,-2.72
2022-03-17,-1.5
2022-03-18,5.54
2022-03-21,0.38
2022-03-22,1.03
2022-03-23,-2.16
2022-03-24,-1.55
2022-03-25,-3.33
2022-03-28,-2.3
2022-03-29,1.22
2022-03-30,-1.46
2022-03-31,-2.16
2022-04-01,-1.78
2022-04-04,-1.5
2022-04-05,-3.24
2022-04-06,-7.14
2022-04-07,-7.89
2022-04-08,-10.0
2022-04-11,-10.75
2022-04-12,-10.66
2022-04-13,-9.48
2022-04-14,-11.92
2022-04-18,-12.07
2022-04-19,-10.99
2022-04-20,-11.08
2022-04-21,-12.39
2022-04-22,-13.85
2022-04-25,-13.76
2022-04-26,-17.61
2022-04-27,-18.87
2022-04-28,-18.54
2022-04-29,-19.72
2022-05-02,-20.19
2022-05-03,-21.03
2022-05-04,-19.67
2022-05-05,-23.47
2022-05-06,-25.63
2022-05-09,-26.2
2022-05-10,-27.46
2022-05-11,-29.01
2022-05-12,-24.65
2022-05-13,-21.22
2022-05-16,-24.37
2022-05-17,-21.13
2022-05-18,-21.83
2022-05-19,-21.55
2022-05-20,-20.42
2022-05-23,-20.8
2022-05-24,-22.77
2022-05-25,-21.97
2022-05-26,-20.56
2022-05-27,-17.84
2022-05-31,-19.72
2022-06-01,-20.99
2022-06-02,-18.92
2022-06-03,-19.81
2022-06-06,-16.76
2022-06-07,-15.02
2022-06-08,-15.63
2022-06-09,-22.02
2022-06-10,-23.33
2022-06-13,-24.88
2022-06-14,-26.1
2022-06-15,-24.32
2022-06-16,-27.61
2022-06-17,-25.82
2022-06-21,-24.88
2022-06-22,-26.9
2022-06-23,-24.51
2022-06-24,-21.5
2022-06-27,-21.97
2022-06-28,-23.47
2022-06-29,-23.94
2022-06-30,-24.13
2022-07-01,-23.1
2022-07-05,-20.47
2022-07-06,-19.95
2022-07-07,-18.64
2022-07-08,-19.77
2022-07-11,-19.25
2022-07-12,-24.74
2022-07-13,-25.31
2022-07-14,-26.15
2022-07-15,-22.91
2022-07-18,-23.62
