date,pct_chg
2022-02-04,0.0
2022-02-07,3.26
2022-02-08,5.01
2022-02-09,5.26
2022-02-10,2.26
2022-02-11,10.28
2022-02-14,12.28
2022-02-15,10.53
2022-02-16,15.29
2022-02-17,20.55
2022-02-18,23.06
2022-02-22,23.81
2022-02-23,28.07
2022-02-24,22.56
2022-02-25,24.56
2022-02-28,22.81
2022-03-01,29.32
2022-03-02,29.82
2022-03-03,29.32
2022-03-04,30.58
2022-03-07,34.59
2022-03-08,38.1
2022-03-09,34.59
2022-03-10,38.35
2022-03-11,38.35
2022-03-14,32.83
2022-03-15,35.09
2022-03-16,34.09
2022-03-17,36.84
2022-03-18,34.59
2022-03-21,39.1
2022-03-22,38.35
2022-03-23,43.86
2022-03-24,41.6
2022-03-25,42.11
2022-03-28,37.84
2022-03-29,38.85
2022-03-30,39.35
2022-03-31,39.85
2022-04-01,44.61
2022-04-04,49.12
2022-04-05,42.61
2022-04-06,43.11
2022-04-07,45.11
2022-04-08,47.37
2022-04-11,47.12
2022-04-12,47.12
2022-04-13,53.38
2022-04-14,55.64
2022-04-18,54.64
2022-04-19,56.64
2022-04-20,57.39
2022-04-21,51.63
2022-04-22,48.12
2022-04-25,39.85
2022-04-26,34.59
2022-04-27,33.58
2022-04-28,39.85
2022-04-29,38.1
2022-05-02,32.83
2022-05-03,37.09
2022-05-04,40.35
2022-05-05,36.34
2022-05-06,36.09
2022-05-09,28.32
2022-05-10,26.32
2022-05-11,29.07
2022-05-12,22.56
2022-05-13,23.06
2022-05-16,24.56
2022-05-17,26.57
2022-05-18,24.06
2022-05-19,31.83
2022-05-20,30.58
2022-05-23,30.33
2022-05-24,35.09
2022-05-25,34.09
2022-05-26,30.83
2022-05-27,29.57
2022-05-31,34.34
2022-06-01,39.6
2022-06-02,47.12
2022-06-03,42.36
2022-06-06,38.35
2022-06-07,38.6
2022-06-08,39.6
2022-06-09,34.84
2022-06-10,41.6
2022-06-13,31.33
2022-06-14,28.57
2022-06-15,29.57
2022-06-16,30.83
2022-06-17,29.82
2022-06-21,27.82
2022-06-22,24.06
2022-06-23,18.3
2022-06-24,23.31
2022-06-27,24.81
2022-06-28,22.31
2022-06-29,21.3
2022-06-30,16.54
2022-07-01,19.3
2022-07-05,11.03
2022-07-06,10.78
2022-07-07,16.79
2022-07-08,19.8
2022-07-11,20.55
2022-07-12,18.05
2022-07-13,21.3
2022-07-14,14.54
2022-07-15,14.54
2022-07-18,18.55
2022-07-19,20.55
2022-07-20,17.54
2022-07-21,18.8
2022-07-22,15.54
2022-07-25,13.78
2022-07-26,15.79
2022-07-27,16.54
2022-07-28,19.05
2022-07-29,19.8
2022-08-01,19.55
2022-08-02,19.8
2022-08-03,18.3
2022-08-04,24.81
2022-08-05,24.56
2022-08-08,26.57
2022-08-09,25.06
2022-08-10,26.32
2022-08-11,26.32
2022-08-12,27.82
2022-08-15,26.32
2022-08-16,27.07
2022-08-17,22.06
2022-08-18,22.06
2022-08-19,18.05
2022-08-22,18.55
2022-08-23,20.3
2022-08-24,22.06
2022-08-25,23.81
2022-08-26,19.3
2022-08-29,15.79
2022-08-30,13.03
2022-08-31,10.53
2022-09-01,6.77
2022-09-02,11.53
2022-09-06,8.02
2022-09-07,12.28
2022-09-08,14.04
2022-09-09,17.54
2022-09-12,17.29
2022-09-13,13.03
2022-09-14,11.28
2022-09-15,8.27
2022-09-16,5.76
2022-09-19,9.27
2022-09-20,5.76
2022-09-21,7.27
2022-09-22,8.02
2022-09-23,1.25
2022-09-26,-0.75
2022-09-27,0.5
2022-09-28,10.53
2022-09-29,13.28
2022-09-30,13.53
2022-10-03,20.55
2022-10-04,24.81
2022-10-05,23.31
2022-10-06,24.81
2022-10-07,21.3
2022-10-10,18.05
2022-10-11,18.55
2022-10-12,17.79
2022-10-13,16.04
2022-10-14,9.27
2022-10-17,12.28
2022-10-18,12.28
2022-10-19,8.02
2022-10-20,10.03
2022-10-21,14.79
2022-10-24,12.28
2022-10-25,14.04
2022-10-26,17.29
2022-10-27,13.78
2022-10-28,12.03
2022-10-31,9.77
2022-11-01,10.53
2022-11-02,3.76
2022-11-03,2.26
2022-11-04,22.56
2022-11-07,22.06
2022-11-08,26.32
2022-11-09,18.55
2022-11-10,24.31
2022-11-11,28.32
2022-11-14,28.07
2022-11-15,26.32
2022-11-16,25.56
2022-11-17,24.56
2022-11-18,26.32
2022-11-21,26.57
2022-11-22,32.08
2022-11-23,33.83
2022-11-25,33.08
2022-11-28,29.07
2022-11-29,31.83
2022-11-30,36.84
2022-12-01,43.11
2022-12-02,42.61
2022-12-05,37.84
2022-12-06,37.34
2022-12-07,40.85
2022-12-08,40.1
2022-12-09,38.1
2022-12-12,38.6
2022-12-13,40.85
2022-12-14,40.6
2022-12-15,35.59
2022-12-16,35.84
2022-12-19,34.84
2022-12-20,40.35
2022-12-21,41.35
2022-12-22,40.6
2022-12-23,41.35
2022-12-27,44.11
2022-12-28,40.6
2022-12-29,40.35
2022-12-30,39.1
2023-01-03,44.11
2023-01-04,48.37
2023-01-05,46.12
2023-01-06,47.87
2023-01-09,46.62
2023-01-10,48.87
2023-01-11,49.37
2023-01-12,50.88
2023-01-13,53.13
2023-01-17,49.87
2023-01-18,48.62
2023-01-19,51.63
2023-01-20,53.88
2023-01-23,53.38
2023-01-24,55.14
2023-01-25,56.64
2023-01-26,54.14
2023-01-27,52.63
2023-01-30,50.38
2023-01-31,51.13
2023-02-01,53.88
2023-02-02,50.63
2023-02-03,43.36
