date,pct_chg
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-10,0.0
2022-02-11,0.0
2022-02-14,0.0
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,0.0
2022-02-18,0.0
2022-02-22,0.0
2022-02-23,0.0
2022-02-24,-5.27
2022-02-25,-5.27
2022-02-28,-5.27
2022-03-01,-5.27
2022-03-02,-5.27
2022-03-03,-5.27
2022-03-04,-5.27
2022-03-07,-5.27
2022-03-08,-5.27
2022-03-09,-5.27
2022-03-10,-5.27
2022-03-11,-5.27
2022-03-14,-5.27
2022-03-15,-5.27
2022-03-16,-5.27
2022-03-17,-5.27
2022-03-18,-5.27
2022-03-21,-5.27
2022-03-22,-5.27
2022-03-23,-5.27
2022-03-24,-5.27
2022-03-25,-5.27
2022-03-28,-5.27
2022-03-29,-5.27
2022-03-30,4.04
2022-03-31,4.04
2022-04-01,4.04
2022-04-04,4.04
2022-04-05,4.04
2022-04-06,4.04
2022-04-07,4.04
2022-04-08,4.04
2022-04-11,4.04
2022-04-12,4.04
2022-04-13,4.04
2022-04-14,4.04
2022-04-18,4.04
2022-04-19,4.04
2022-04-20,4.04
2022-04-21,4.04
2022-04-22,4.04
2022-04-25,4.04
2022-04-26,4.04
2022-04-27,4.04
2022-04-28,4.04
2022-04-29,4.04
2022-05-02,4.04
2022-05-03,4.04
2022-05-04,4.04
2022-05-05,4.04
2022-05-06,-5.27
2022-05-09,-5.27
2022-05-10,-5.27
2022-05-11,4.04
2022-05-12,4.04
2022-05-13,4.04
2022-05-16,4.04
2022-05-17,4.04
2022-05-18,4.04
2022-05-19,4.04
2022-05-20,4.04
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,0.0
2022-06-03,0.0
2022-06-06,0.0
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,0.0
2022-06-13,0.0
2022-06-14,-2.55
2022-06-15,-2.55
2022-06-16,-2.55
2022-06-17,-2.55
2022-06-21,-2.55
2022-06-22,-2.55
2022-06-23,-2.55
