date,pct_chg
2022-02-04,-0.19
2022-02-07,0.37
2022-02-08,0.93
2022-02-09,0.19
2022-02-10,0.46
2022-02-11,1.85
2022-02-14,-0.28
2022-02-15,2.78
2022-02-16,3.06
2022-02-17,2.32
2022-02-18,2.97
2022-02-22,2.13
2022-02-23,1.95
2022-02-24,1.2
2022-02-25,0.28
2022-02-28,1.11
2022-03-01,-0.09
2022-03-02,0.93
2022-03-03,1.85
2022-03-04,-0.19
2022-03-07,-2.13
2022-03-08,-1.76
2022-03-09,0.93
2022-03-10,-0.37
2022-03-11,0.19
2022-03-14,-1.11
2022-03-15,-1.67
2022-03-16,0.28
2022-03-17,1.02
2022-03-18,2.59
2022-03-21,1.95
2022-03-22,0.83
2022-03-23,1.58
2022-03-24,2.04
2022-03-25,1.95
2022-03-28,0.83
2022-03-29,0.74
2022-03-30,0.37
2022-03-31,-3.99
2022-04-01,-2.04
2022-04-04,-1.48
2022-04-05,-1.48
2022-04-06,-3.06
2022-04-07,-3.61
2022-04-08,-4.08
2022-04-11,-3.99
2022-04-12,-3.8
2022-04-13,-2.97
2022-04-14,-3.52
2022-04-18,-3.71
2022-04-19,-2.87
2022-04-20,-0.74
2022-04-21,-2.04
2022-04-22,-3.15
2022-04-25,-3.8
2022-04-26,-4.73
2022-04-27,-5.56
2022-04-28,-4.73
2022-04-29,-5.38
2022-05-02,-5.93
2022-05-03,-6.39
2022-05-04,-5.0
2022-05-05,-6.3
2022-05-06,-6.77
2022-05-09,-7.23
2022-05-10,-7.69
2022-05-11,-8.25
2022-05-12,-9.45
2022-05-13,-9.18
2022-05-16,-9.45
2022-05-17,-8.99
2022-05-18,-9.45
2022-05-19,-9.45
2022-05-20,-9.92
2022-05-23,-9.27
2022-05-24,-9.64
2022-05-25,-9.55
2022-05-26,-9.36
2022-05-27,-8.25
2022-05-31,-10.01
2022-06-01,-9.64
2022-06-02,-9.55
2022-06-03,-10.29
2022-06-06,-9.64
2022-06-07,-10.19
2022-06-08,-10.1
2022-06-09,-10.84
2022-06-10,-11.68
2022-06-13,-12.88
2022-06-14,-12.79
2022-06-15,-12.51
2022-06-16,-13.16
2022-06-17,-13.35
2022-06-21,-12.42
2022-06-22,-12.42
2022-06-23,-12.79
2022-06-24,-12.42
2022-06-27,-12.7
2022-06-28,-12.79
2022-06-29,-12.79
2022-06-30,-12.97
2022-07-01,-12.79
2022-07-05,-12.6
2022-07-06,-13.16
2022-07-07,-13.07
2022-07-08,-13.16
2022-07-11,-13.25
2022-07-12,-13.62
2022-07-13,-13.81
2022-07-14,-13.99
2022-07-15,-13.72
2022-07-18,-13.53
2022-07-19,-13.07
2022-07-20,-13.16
2022-07-21,-13.81
2022-07-22,-13.99
2022-07-25,-13.81
2022-07-26,-14.55
2022-07-27,-13.44
2022-07-28,-13.35
2022-07-29,-11.68
2022-08-01,-9.55
2022-08-02,-10.29
2022-08-03,-10.29
2022-08-04,-9.18
2022-08-05,-8.25
2022-08-08,-8.34
2022-08-09,-7.78
2022-08-10,-6.86
2022-08-11,-7.23
2022-08-12,-7.78
2022-08-15,-6.95
2022-08-16,-6.77
2022-08-17,-6.86
2022-08-18,-6.39
2022-08-19,-6.86
2022-08-22,-6.49
2022-08-23,-7.14
2022-08-24,-6.86
2022-08-25,-6.86
2022-08-26,-7.23
2022-08-29,-7.32
2022-08-30,-7.32
2022-08-31,-7.78
2022-09-01,-7.04
2022-09-02,-8.06
2022-09-06,-7.41
2022-09-07,-7.32
2022-09-08,-7.6
2022-09-09,-6.95
2022-09-12,-6.58
2022-09-13,-7.78
2022-09-14,-8.25
2022-09-15,-9.08
2022-09-16,-9.82
2022-09-19,-9.36
2022-09-20,-10.29
2022-09-21,-9.36
2022-09-22,-10.1
2022-09-23,-11.31
2022-09-26,-11.86
2022-09-27,-12.05
2022-09-28,-11.96
2022-09-29,-13.02
2022-09-30,-12.33
2022-10-03,-12.05
2022-10-04,-11.4
2022-10-05,-12.14
2022-10-06,-12.33
2022-10-07,-11.86
2022-10-10,-12.23
2022-10-11,-11.68
2022-10-12,-12.23
2022-10-13,-11.03
2022-10-14,-10.66
2022-10-17,-9.92
2022-10-18,-10.29
2022-10-19,-12.79
2022-10-20,-11.96
2022-10-21,-11.49
2022-10-24,-10.29
2022-10-25,-9.36
2022-10-26,-8.34
2022-10-27,-8.71
2022-10-28,-7.97
2022-10-31,-9.64
2022-11-01,-9.18
2022-11-02,-9.08
2022-11-03,-8.62
2022-11-04,-7.78
2022-11-07,-6.58
2022-11-08,-6.58
2022-11-09,-7.32
2022-11-10,-5.0
2022-11-11,-6.3
2022-11-14,-7.97
2022-11-15,-8.8
2022-11-16,-6.86
2022-11-17,-7.51
2022-11-18,-7.88
2022-11-21,-8.25
2022-11-22,-7.6
2022-11-23,-7.51
2022-11-25,-7.14
2022-11-28,-8.43
2022-11-29,-8.53
2022-11-30,-8.62
2022-12-01,-9.18
2022-12-02,-9.45
2022-12-05,-10.47
2022-12-06,-10.47
2022-12-07,-10.94
2022-12-08,-10.1
2022-12-09,-10.29
2022-12-12,-10.57
2022-12-13,-13.16
2022-12-14,-11.68
2022-12-15,-12.42
2022-12-16,-16.03
2022-12-19,-13.81
2022-12-20,-13.9
2022-12-21,-13.99
2022-12-22,-13.53
2022-12-23,-8.25
2022-12-27,-3.06
2022-12-28,-3.71
2022-12-29,-2.69
2022-12-30,-2.41
2023-01-03,-3.06
2023-01-04,-3.24
2023-01-05,-3.71
2023-01-06,-3.43
2023-01-09,-3.89
2023-01-10,-4.08
2023-01-11,-4.08
2023-01-12,-3.52
2023-01-13,-3.8
2023-01-17,-4.73
2023-01-18,-6.12
2023-01-19,-6.58
2023-01-20,-4.82
2023-01-23,-6.39
2023-01-24,-5.93
2023-01-25,-6.49
2023-01-26,-7.51
2023-01-27,-8.16
2023-01-30,-6.39
2023-01-31,-6.49
2023-02-01,-4.26
2023-02-02,-5.28
2023-02-03,-3.34
