date,pct_chg
2022-02-04,6.01
2022-02-07,7.12
2022-02-08,10.5
2022-02-09,14.37
2022-02-10,9.64
2022-02-11,7.15
2022-02-14,3.84
2022-02-15,7.88
2022-02-16,0.59
2022-02-17,-8.22
2022-02-18,-12.51
2022-02-22,-15.27
2022-02-23,-20.49
2022-02-24,-13.93
2022-02-25,-12.54
2022-02-28,-10.5
2022-03-01,-24.5
2022-03-02,-22.63
2022-03-03,-24.26
2022-03-04,-27.64
2022-03-07,-27.82
2022-03-08,-30.03
2022-03-09,-23.67
2022-03-10,-28.82
2022-03-11,-33.83
2022-03-14,-37.08
2022-03-15,-38.77
2022-03-16,-30.44
2022-03-17,-26.57
2022-03-18,-25.02
2022-03-21,-26.09
2022-03-22,-20.97
2022-03-23,-23.26
2022-03-24,-24.4
2022-03-25,-29.16
2022-03-28,-26.57
2022-03-29,-19.56
2022-03-30,-23.32
2022-03-31,-24.29
2022-04-01,-23.26
2022-04-04,-17.52
2022-04-05,-22.84
2022-04-06,-26.64
2022-04-07,-25.85
2022-04-08,-28.54
2022-04-11,-29.65
2022-04-12,-28.16
2022-04-13,-25.81
2022-04-14,-31.03
2022-04-18,-33.79
2022-04-19,-30.3
2022-04-20,-36.52
2022-04-21,-39.67
2022-04-22,-40.15
2022-04-25,-38.42
2022-04-26,-40.39
2022-04-27,-41.33
2022-04-28,-35.49
2022-04-29,-38.25
2022-05-02,-35.07
2022-05-03,-30.41
2022-05-04,-29.34
2022-05-05,-34.66
2022-05-06,-35.31
2022-05-09,-43.4
2022-05-10,-46.61
2022-05-11,-53.32
2022-05-12,-48.2
2022-05-13,-39.98
2022-05-16,-38.84
2022-05-17,-36.39
2022-05-18,-39.98
2022-05-19,-35.04
2022-05-20,-34.55
2022-05-23,-37.84
2022-05-24,-43.64
2022-05-25,-38.67
2022-05-26,-36.11
2022-05-27,-32.31
2022-05-31,-35.97
2022-06-01,-36.9
2022-06-02,-32.83
2022-06-03,-38.01
2022-06-06,-35.18
2022-06-07,-35.76
2022-06-08,-32.24
2022-06-09,-37.6
2022-06-10,-40.29
2022-06-13,-47.27
2022-06-14,-46.79
2022-06-15,-46.68
2022-06-16,-50.38
2022-06-17,-45.4
2022-06-21,-44.4
2022-06-22,-43.3
2022-06-23,-38.49
2022-06-24,-33.79
2022-06-27,-34.87
2022-06-28,-38.22
2022-06-29,-40.15
2022-06-30,-44.02
2022-07-01,-39.98
2022-07-05,-35.69
2022-07-06,-37.73
2022-07-07,-36.21
2022-07-08,-35.69
2022-07-11,-36.77
2022-07-12,-36.04
2022-07-13,-36.87
2022-07-14,-40.5
2022-07-15,-40.53
2022-07-18,-46.3
2022-07-19,-45.16
2022-07-20,-38.7
2022-07-21,-35.87
2022-07-22,-41.88
2022-07-25,-43.78
2022-07-26,-50.02
2022-07-27,-47.06
2022-07-28,-46.41
2022-07-29,-45.92
2022-08-01,-45.68
2022-08-02,-42.43
2022-08-03,-37.08
2022-08-04,-36.59
2022-08-05,-34.97
2022-08-08,-31.79
2022-08-09,-34.28
2022-08-10,-28.58
2022-08-11,-30.89
2022-08-12,-27.92
2022-08-15,-27.54
2022-08-16,-28.13
2022-08-17,-30.68
2022-08-18,-31.13
2022-08-19,-36.56
2022-08-22,-39.6
2022-08-23,-39.94
2022-08-24,-36.94
2022-08-25,-36.59
2022-08-26,-40.15
2022-08-29,-42.5
2022-08-30,-43.57
2022-08-31,-42.4
2022-09-01,-47.62
2022-09-02,-46.92
2022-09-06,-45.99
2022-09-07,-42.23
2022-09-08,-42.43
2022-09-09,-41.29
2022-09-12,-41.09
2022-09-13,-43.88
