date,pct_chg
2022-02-04,-2.84
2022-02-07,-5.43
2022-02-08,-3.88
2022-02-09,-2.82
2022-02-10,-2.77
2022-02-11,-1.13
2022-02-14,-1.32
2022-02-15,0.95
2022-02-16,0.9
2022-02-17,0.64
2022-02-18,2.21
2022-02-22,4.0
2022-02-23,1.54
2022-02-24,0.25
2022-02-25,0.81
2022-02-28,4.26
2022-03-01,4.26
2022-03-02,4.01
2022-03-03,3.51
2022-03-04,2.16
2022-03-07,-3.93
2022-03-08,-5.5
2022-03-09,-2.87
2022-03-10,-7.87
2022-03-11,-8.09
2022-03-14,-6.71
2022-03-15,-6.54
2022-03-16,-3.9
2022-03-17,-3.95
2022-03-18,-0.93
2022-03-21,-0.45
2022-03-22,-1.29
2022-03-23,-2.8
2022-03-24,-0.9
2022-03-25,-4.92
2022-03-28,-5.45
2022-03-29,-7.88
2022-03-30,-8.67
2022-03-31,-10.12
2022-04-01,-10.03
2022-04-04,-7.46
2022-04-05,-5.77
2022-04-06,-8.46
2022-04-07,-9.03
2022-04-08,-8.82
2022-04-11,-8.96
2022-04-12,-8.53
2022-04-13,-9.22
2022-04-14,-9.93
2022-04-18,-10.49
2022-04-19,-8.45
2022-04-20,-8.35
2022-04-21,-8.45
2022-04-22,-15.12
2022-04-25,-15.5
2022-04-26,-18.92
2022-04-27,-20.73
2022-04-28,-21.02
2022-04-29,-21.47
2022-05-02,-22.95
2022-05-03,-19.41
2022-05-04,-19.73
2022-05-05,-23.24
2022-05-06,-27.05
2022-05-09,-27.27
2022-05-10,-27.18
2022-05-11,-28.63
2022-05-12,-27.53
2022-05-13,-26.31
2022-05-16,-25.89
2022-05-17,-25.13
2022-05-18,-30.4
2022-05-19,-31.08
2022-05-20,-32.14
2022-05-23,-31.56
2022-05-24,-31.01
2022-05-25,-31.27
2022-05-26,-26.04
2022-05-27,-26.14
2022-05-31,-36.75
2022-06-01,-37.62
2022-06-02,-37.71
2022-06-03,-37.43
2022-06-06,-38.19
2022-06-07,-38.35
2022-06-08,-39.88
2022-06-09,-41.23
2022-06-10,-43.0
2022-06-13,-44.58
2022-06-14,-44.42
2022-06-15,-40.96
2022-06-16,-41.13
2022-06-17,-40.94
2022-06-21,-41.23
2022-06-22,-41.39
2022-06-23,-40.43
2022-06-24,-39.12
2022-06-27,-38.81
2022-06-28,-40.43
2022-06-29,-39.68
2022-06-30,-42.49
2022-07-01,-42.88
2022-07-05,-44.13
2022-07-06,-42.91
2022-07-07,-41.72
2022-07-08,-40.84
2022-07-11,-41.94
2022-07-12,-41.81
2022-07-13,-41.46
2022-07-14,-41.7
2022-07-15,-41.3
2022-07-18,-39.72
2022-07-19,-36.91
2022-07-20,-36.11
2022-07-21,-35.49
2022-07-22,-35.69
2022-07-25,-34.62
2022-07-26,-37.69
2022-07-27,-36.11
2022-07-28,-36.01
2022-07-29,-33.49
2022-08-01,-32.25
2022-08-02,-32.56
2022-08-03,-31.82
2022-08-04,-32.52
2022-08-05,-35.07
2022-08-08,-34.77
2022-08-09,-35.36
2022-08-10,-33.24
2022-08-11,-35.34
2022-08-12,-35.43
2022-08-15,-34.77
2022-08-16,-32.81
2022-08-17,-34.36
2022-08-18,-36.03
2022-08-19,-37.88
2022-08-22,-38.14
2022-08-23,-39.7
2022-08-24,-40.99
2022-08-25,-42.68
2022-08-26,-44.39
2022-08-29,-44.54
2022-08-30,-44.39
2022-08-31,-44.91
2022-09-01,-45.07
2022-09-02,-45.62
2022-09-06,-45.65
2022-09-07,-46.2
2022-09-08,-49.23
2022-09-09,-47.71
2022-09-12,-45.54
2022-09-13,-48.19
2022-09-14,-48.48
2022-09-15,-49.42
2022-09-16,-50.48
2022-09-19,-50.13
2022-09-20,-51.4
2022-09-21,-52.13
2022-09-22,-52.0
2022-09-23,-55.45
2022-09-26,-57.25
2022-09-27,-57.59
2022-09-28,-56.61
2022-09-29,-58.01
2022-09-30,-56.51
2022-10-03,-53.9
2022-10-04,-51.87
2022-10-05,-53.51
2022-10-06,-55.59
2022-10-07,-56.5
2022-10-10,-55.22
2022-10-11,-56.0
2022-10-12,-57.77
2022-10-13,-55.13
2022-10-14,-55.16
2022-10-17,-53.97
2022-10-18,-53.57
2022-10-19,-55.54
2022-10-20,-55.63
2022-10-21,-56.06
2022-10-24,-55.56
2022-10-25,-52.79
2022-10-26,-51.97
2022-10-27,-51.84
2022-10-28,-51.77
2022-10-31,-52.29
2022-11-01,-50.11
2022-11-02,-49.97
2022-11-03,-50.31
2022-11-04,-47.8
2022-11-07,-47.36
2022-11-08,-44.81
2022-11-09,-45.91
2022-11-10,-46.36
2022-11-11,-41.3
2022-11-14,-39.14
2022-11-15,-40.52
2022-11-16,-40.88
2022-11-17,-40.78
2022-11-18,-38.94
2022-11-21,-38.91
2022-11-22,-38.72
2022-11-23,-35.88
2022-11-25,-36.17
2022-11-28,-37.14
2022-11-29,-36.81
2022-11-30,-36.27
2022-12-01,-34.75
2022-12-02,-33.82
2022-12-05,-34.04
2022-12-06,-35.33
2022-12-07,-35.59
2022-12-08,-36.01
2022-12-09,-35.4
2022-12-12,-36.01
2022-12-13,-34.98
2022-12-14,-34.33
2022-12-15,-35.53
2022-12-16,-36.07
2022-12-19,-36.04
2022-12-20,-36.22
2022-12-21,-35.2
2022-12-22,-36.14
2022-12-23,-36.56
2022-12-27,-37.16
2022-12-28,-36.69
2022-12-29,-36.01
2022-12-30,-36.23
2023-01-03,-34.75
2023-01-04,-31.08
2023-01-05,-31.5
2023-01-06,-29.82
2023-01-09,-30.21
2023-01-10,-29.95
2023-01-11,-30.01
2023-01-12,-29.11
2023-01-13,-30.79
2023-01-17,-29.98
2023-01-18,-30.05
2023-01-19,-30.88
2023-01-20,-29.92
2023-01-23,-29.95
2023-01-24,-30.5
2023-01-25,-29.85
2023-01-26,-28.95
2023-01-27,-29.14
2023-01-30,-27.92
2023-01-31,-28.5
2023-02-01,-27.5
2023-02-02,-24.76
2023-02-03,-23.5
