date,pct_chg
2022-02-04,3.85
2022-02-07,13.46
2022-02-08,11.54
2022-02-09,17.31
2022-02-10,16.35
2022-02-11,7.69
2022-02-14,5.77
2022-02-15,19.23
2022-02-16,21.15
2022-02-17,17.31
2022-02-18,19.23
2022-02-22,16.35
2022-02-23,10.58
2022-02-24,11.54
2022-02-25,10.58
2022-02-28,10.58
2022-03-01,9.62
2022-03-02,10.58
2022-03-03,7.69
2022-03-04,-0.0
2022-03-07,1.92
2022-03-08,6.73
2022-03-09,13.46
2022-03-10,8.65
2022-03-11,4.81
2022-03-14,0.96
2022-03-15,4.81
2022-03-16,8.65
2022-03-17,15.87
2022-03-18,19.23
2022-03-21,24.04
2022-03-22,26.92
2022-03-23,25.96
2022-03-24,27.88
2022-03-25,21.15
2022-03-28,18.27
2022-03-29,19.23
2022-03-30,17.31
2022-03-31,15.38
2022-04-01,10.58
2022-04-04,14.42
2022-04-05,12.5
2022-04-06,9.62
2022-04-07,8.65
2022-04-08,6.73
2022-04-11,5.77
2022-04-12,3.85
2022-04-13,5.77
2022-04-14,1.92
2022-04-18,0.96
2022-04-19,4.81
2022-04-20,4.81
2022-04-21,-1.92
2022-04-22,-3.85
2022-04-25,-3.85
2022-04-26,-4.81
2022-04-27,-7.6
2022-04-28,-3.94
2022-04-29,-6.06
2022-05-02,0.0
2022-05-03,1.92
2022-05-04,6.73
2022-05-05,3.85
2022-05-06,2.88
2022-05-09,-6.73
2022-05-10,-5.77
2022-05-11,-15.67
2022-05-12,-14.42
2022-05-13,-4.81
2022-05-16,-1.92
2022-05-17,0.96
2022-05-18,-2.88
2022-05-19,-2.88
2022-05-20,-7.5
2022-05-23,-7.69
2022-05-24,-18.17
2022-05-25,-17.98
2022-05-26,-19.13
2022-05-27,-16.35
2022-05-31,-14.71
2022-06-01,-19.23
2022-06-02,-18.08
2022-06-03,-19.13
2022-06-06,-22.69
2022-06-07,-21.92
2022-06-08,-21.15
2022-06-09,-26.83
2022-06-10,-28.08
2022-06-13,-34.62
2022-06-14,-35.96
2022-06-15,-35.77
2022-06-16,-36.35
2022-06-17,-33.75
2022-06-21,-35.58
2022-06-22,-34.52
2022-06-23,-32.69
2022-06-24,-29.04
2022-06-27,-24.04
2022-06-28,-29.52
2022-06-29,-33.56
2022-06-30,-34.62
2022-07-01,-35.1
2022-07-05,-37.12
2022-07-06,-38.46
2022-07-07,-35.58
2022-07-08,-34.04
2022-07-11,-31.73
2022-07-12,-29.9
2022-07-13,-31.63
2022-07-14,-33.08
2022-07-15,-33.85
2022-07-18,-33.94
2022-07-19,-33.65
2022-07-20,-34.62
2022-07-21,-34.81
2022-07-22,-43.75
2022-07-25,-43.94
2022-07-26,-45.96
2022-07-27,-46.15
2022-07-28,-47.88
2022-07-29,-49.9
2022-08-01,-47.69
2022-08-02,-46.54
2022-08-03,-43.56
2022-08-04,-38.03
2022-08-05,-36.95
2022-08-08,-36.35
2022-08-09,-36.54
2022-08-10,-36.12
2022-08-11,-32.84
2022-08-12,-27.88
2022-08-15,-25.95
2022-08-16,-25.95
2022-08-17,-29.53
2022-08-18,-31.38
2022-08-19,-33.17
2022-08-22,-36.24
2022-08-23,-36.54
2022-08-24,-35.28
2022-08-25,-34.29
2022-08-26,-39.42
2022-08-29,-39.41
2022-08-30,-39.36
2022-08-31,-37.17
2022-09-01,-38.34
2022-09-02,-36.57
2022-09-06,-37.14
2022-09-07,-37.49
2022-09-08,-38.8
2022-09-09,-35.58
2022-09-12,-37.52
2022-09-13,-37.51
2022-09-14,-38.06
2022-09-15,-37.98
2022-09-16,-40.13
2022-09-19,-40.85
2022-09-20,-42.31
2022-09-21,-43.14
2022-09-22,-43.1
2022-09-23,-42.79
2022-09-26,-44.23
2022-09-27,-44.71
2022-09-28,-43.75
2022-09-29,-42.79
2022-09-30,-40.38
2022-10-03,-40.48
2022-10-04,-39.42
2022-10-05,-38.46
2022-10-06,-38.46
2022-10-07,-39.43
2022-10-10,-45.19
2022-10-11,-46.14
2022-10-12,-47.11
2022-10-13,-50.12
2022-10-14,-51.92
2022-10-17,-49.76
2022-10-18,-49.66
2022-10-19,-50.0
2022-10-20,-51.1
2022-10-21,-52.2
2022-10-24,-55.75
2022-10-25,-52.88
2022-10-26,-52.68
2022-10-27,-50.77
2022-10-28,-49.6
2022-10-31,-49.06
2022-11-01,-50.96
2022-11-02,-51.84
2022-11-03,-51.35
2022-11-04,-53.38
2022-11-07,-53.17
2022-11-08,-52.19
2022-11-09,-55.79
2022-11-10,-58.56
2022-11-11,-53.57
2022-11-14,-52.76
2022-11-15,-52.4
2022-11-16,-55.3
2022-11-17,-58.8
2022-11-18,-59.62
2022-11-21,-59.9
2022-11-22,-60.38
2022-11-23,-59.63
2022-11-25,-58.83
2022-11-28,-60.83
2022-11-29,-60.77
2022-11-30,-61.04
2022-12-01,-62.5
2022-12-02,-62.43
2022-12-05,-65.48
2022-12-06,-70.0
2022-12-07,-70.26
2022-12-08,-68.47
2022-12-09,-68.27
2022-12-12,-67.6
2022-12-13,-68.19
2022-12-14,-68.74
2022-12-15,-69.18
