date,pct_chg
2022-02-04,5.84
2022-02-07,20.42
2022-02-08,21.75
2022-02-09,5.57
2022-02-10,21.49
2022-02-11,20.95
2022-02-14,20.95
2022-02-15,20.95
2022-02-16,19.36
2022-02-17,20.95
2022-02-18,2.92
2022-02-22,19.36
2022-02-23,24.67
2022-02-24,6.9
2022-02-25,6.9
2022-02-28,16.71
2022-03-01,15.65
2022-03-02,24.67
2022-03-03,31.3
2022-03-04,19.63
2022-03-07,27.32
2022-03-08,27.32
2022-03-09,20.42
2022-03-10,3.71
2022-03-11,14.06
2022-03-14,14.06
2022-03-15,6.1
2022-03-16,6.1
2022-03-17,18.57
2022-03-18,18.57
2022-03-21,18.57
2022-03-22,14.06
2022-03-23,14.06
2022-03-24,14.06
2022-03-25,25.73
2022-03-28,32.63
2022-03-29,19.36
2022-03-30,32.63
2022-03-31,29.97
2022-04-01,29.97
2022-04-04,42.97
2022-04-05,58.62
2022-04-06,57.29
2022-04-07,40.58
2022-04-08,53.85
2022-04-11,53.85
2022-04-12,45.89
2022-04-13,59.15
2022-04-14,58.62
2022-04-18,45.89
2022-04-19,58.62
2022-04-20,45.89
2022-04-21,69.76
2022-04-22,71.09
2022-04-25,72.41
2022-04-26,64.46
2022-04-27,56.5
2022-04-28,56.5
2022-04-29,59.15
2022-05-02,59.15
2022-05-03,55.84
2022-05-04,46.15
2022-05-05,59.15
2022-05-06,59.15
2022-05-09,45.89
2022-05-10,45.89
2022-05-11,45.89
2022-05-12,45.89
2022-05-13,45.89
2022-05-16,45.89
2022-05-17,22.28
2022-05-18,24.93
2022-05-19,41.64
2022-05-20,41.64
2022-05-23,41.64
2022-05-24,41.64
2022-05-25,41.64
2022-05-26,41.64
2022-05-27,41.64
2022-05-31,35.81
2022-06-01,25.99
2022-06-02,25.99
2022-06-03,18.04
2022-06-06,24.27
2022-06-07,24.27
2022-06-08,24.27
2022-06-09,24.27
2022-06-10,25.99
2022-06-13,29.97
2022-06-14,19.36
2022-06-15,19.36
2022-06-16,14.06
2022-06-17,16.45
2022-06-21,16.45
2022-06-22,16.45
2022-06-23,14.06
2022-06-24,14.06
2022-06-27,14.06
2022-06-28,19.36
2022-06-29,23.34
2022-06-30,23.34
2022-07-01,18.83
2022-07-05,27.32
2022-07-06,59.68
2022-07-07,65.78
2022-07-08,51.19
2022-07-11,19.63
2022-07-12,20.69
2022-07-13,55.97
2022-07-14,59.15
2022-07-15,32.63
2022-07-18,32.63
2022-07-19,32.89
2022-07-20,32.89
2022-07-21,35.28
2022-07-22,43.24
2022-07-25,31.3
2022-07-26,31.3
2022-07-27,29.97
2022-07-28,43.24
2022-07-29,43.24
2022-08-01,43.24
2022-08-02,43.24
2022-08-03,43.24
2022-08-04,32.63
2022-08-05,32.63
2022-08-08,32.63
2022-08-09,20.69
2022-08-10,20.69
2022-08-11,20.69
2022-08-12,20.69
2022-08-15,20.69
2022-08-16,20.69
2022-08-17,24.67
2022-08-18,20.69
2022-08-19,20.69
2022-08-22,20.69
2022-08-23,32.63
2022-08-24,90.98
2022-08-25,80.37
2022-08-26,84.35
2022-08-29,37.93
2022-08-30,65.78
2022-08-31,64.46
2022-09-01,64.46
2022-09-02,64.46
2022-09-06,64.46
2022-09-07,48.54
2022-09-08,64.19
2022-09-09,65.78
2022-09-12,63.13
2022-09-13,55.17
2022-09-14,59.15
2022-09-15,54.11
2022-09-16,85.68
2022-09-19,88.33
2022-09-20,85.68
2022-09-21,85.68
2022-09-22,85.68
2022-09-23,48.81
2022-09-26,59.15
2022-09-27,59.15
2022-09-28,85.68
2022-09-29,85.68
2022-09-30,88.33
2022-10-03,69.5
2022-10-04,59.15
2022-10-05,47.21
2022-10-06,81.7
2022-10-07,85.68
2022-10-10,83.02
2022-10-11,85.68
2022-10-12,87.0
2022-10-13,88.59
2022-10-14,60.48
2022-10-17,84.85
2022-10-18,92.31
2022-10-19,90.21
2022-10-20,85.94
2022-10-21,92.04
2022-10-24,72.15
2022-10-25,72.41
2022-10-26,85.68
2022-10-27,90.98
2022-10-28,85.68
2022-10-31,63.13
2022-11-01,63.13
2022-11-02,61.8
2022-11-03,59.42
2022-11-04,59.68
2022-11-07,79.84
2022-11-08,79.84
2022-11-09,79.58
2022-11-10,64.17
2022-11-11,64.16
2022-11-14,83.02
2022-11-15,67.11
2022-11-16,63.13
2022-11-17,72.41
2022-11-18,62.6
2022-11-21,64.46
2022-11-22,65.78
2022-11-23,65.78
2022-11-25,72.41
2022-11-28,72.41
2022-11-29,85.68
2022-11-30,85.68
2022-12-01,72.41
2022-12-02,83.02
2022-12-05,81.17
2022-12-06,85.15
2022-12-07,92.31
2022-12-08,88.06
2022-12-09,83.02
2022-12-12,83.02
2022-12-13,83.02
2022-12-14,76.39
2022-12-15,76.39
2022-12-16,54.38
2022-12-19,54.38
2022-12-20,54.38
2022-12-21,53.85
2022-12-22,53.85
2022-12-23,53.85
2022-12-27,53.85
2022-12-28,75.86
2022-12-29,32.89
2022-12-30,45.89
2023-01-03,80.72
2023-01-04,80.72
2023-01-05,53.85
2023-01-06,53.85
2023-01-09,59.95
2023-01-10,59.95
2023-01-11,54.51
2023-01-12,56.5
2023-01-13,56.5
2023-01-17,74.8
2023-01-18,73.01
2023-01-19,73.02
2023-01-20,73.02
2023-01-23,73.74
2023-01-24,71.35
2023-01-25,71.35
2023-01-26,71.35
2023-01-27,71.35
2023-01-30,70.56
2023-01-31,51.19
2023-02-01,58.62
2023-02-02,58.62
2023-02-03,58.62
