date,pct_chg
2022-02-01,0.0
2022-02-02,0.0
2022-02-03,0.0
2022-02-04,0.0
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,0.0
2022-02-18,-25.45
2022-02-22,-26.01
2022-02-23,-35.32
2022-02-24,-44.41
2022-02-25,-42.4
2022-02-28,-35.58
2022-03-01,-26.46
2022-03-02,-20.28
2022-03-03,-18.18
2022-03-04,-20.12
2022-03-08,-20.92
2022-03-09,-20.64
2022-03-10,-15.58
2022-03-11,-19.33
2022-03-15,-11.81
2022-03-16,-45.45
2022-03-17,-47.0
2022-03-18,-48.18
2022-03-21,-45.46
2022-03-22,-39.65
2022-03-23,-33.23
2022-03-24,-32.94
2022-03-25,-33.62
2022-03-28,-36.37
2022-03-29,-32.59
2022-03-30,-30.07
2022-03-31,-26.62
2022-04-01,-19.58
2022-04-04,-18.18
2022-04-05,-18.33
2022-04-06,-23.37
2022-04-07,-86.79
2022-04-08,-85.91
2022-04-11,-89.54
2022-04-12,-91.36
2022-04-13,-91.97
2022-04-14,-92.0
2022-04-18,-92.12
2022-04-19,-92.08
2022-04-20,-92.6
2022-04-21,-93.44
2022-04-22,-93.7
2022-04-25,-94.05
2022-04-26,-94.6
2022-04-27,-94.73
2022-04-28,-95.25
2022-04-29,-95.34
2022-05-02,-95.66
2022-05-03,-91.62
2022-05-04,-94.36
2022-05-05,-95.21
2022-05-06,-95.12
2022-05-09,-92.96
2022-05-10,-93.42
2022-05-11,-92.19
2022-05-12,-91.29
2022-05-13,-92.65
2022-05-16,-94.67
2022-05-17,-93.73
2022-05-18,-93.96
2022-05-19,-94.35
2022-05-20,-94.6
2022-05-23,-94.62
2022-05-24,-94.65
2022-05-25,-94.42
2022-05-26,-94.35
2022-05-27,-94.64
2022-05-31,-94.27
2022-06-01,-94.73
2022-06-02,-94.86
2022-06-03,-95.0
2022-06-06,-95.26
2022-06-07,-95.49
2022-06-08,-95.1
2022-06-09,-95.62
2022-06-10,-95.78
2022-06-13,-96.36
2022-06-14,-96.62
2022-06-15,-96.36
2022-06-16,-96.8
2022-06-17,-96.8
2022-06-21,-96.93
2022-06-22,-97.14
2022-06-23,-96.93
2022-06-24,-96.69
2022-06-27,-96.74
2022-06-28,-96.99
2022-06-29,-97.16
2022-06-30,-97.23
2022-07-01,-97.21
2022-07-05,-96.95
2022-07-06,-97.25
2022-07-07,-97.01
2022-07-08,-97.12
2022-07-11,-97.17
2022-07-12,-97.29
2022-07-13,-97.35
2022-07-14,-97.6
2022-07-15,-97.6
2022-07-18,-97.53
2022-07-19,-97.47
2022-07-20,-97.26
2022-07-21,-97.34
2022-07-22,-97.52
2022-07-25,-97.55
2022-07-26,-97.34
2022-07-27,-95.92
2022-07-28,-96.14
2022-07-29,-95.65
2022-08-01,-96.56
2022-08-02,-96.87
2022-08-03,-96.66
2022-08-04,-96.43
2022-08-05,-96.83
2022-08-08,-96.68
2022-08-09,-96.77
2022-08-10,-96.8
2022-08-11,-96.88
2022-08-12,-96.91
2022-08-15,-96.83
2022-08-16,-96.69
2022-08-17,-90.08
2022-08-18,-94.43
2022-08-19,-95.08
2022-08-22,-95.48
2022-08-23,-95.75
2022-08-24,-95.78
2022-08-25,-96.22
2022-08-26,-96.51
2022-08-29,-96.3
2022-08-30,-95.66
2022-08-31,-95.91
2022-09-01,-96.44
2022-09-02,-96.4
2022-09-06,-96.45
2022-09-07,-96.27
2022-09-08,-96.36
2022-09-09,-96.23
2022-09-12,-96.22
2022-09-13,-96.44
2022-09-14,-96.38
2022-09-15,-96.44
2022-09-16,-96.56
2022-09-19,-96.71
2022-09-20,-97.17
2022-09-21,-97.4
2022-09-22,-97.56
2022-09-23,-97.69
2022-09-26,-97.73
2022-09-27,-97.69
2022-09-28,-97.61
2022-09-29,-97.77
2022-09-30,-97.78
2022-10-03,-97.79
2022-10-04,-97.68
2022-10-05,-97.68
2022-10-06,-97.7
2022-10-07,-97.79
2022-10-10,-97.81
2022-10-11,-97.93
2022-10-12,-98.17
2022-10-13,-98.16
2022-10-14,-98.36
2022-10-17,-98.31
2022-10-18,-98.32
2022-10-19,-98.34
2022-10-20,-98.39
2022-10-21,-98.38
2022-10-24,-98.48
2022-10-25,-98.4
2022-10-26,-98.4
2022-10-27,-98.36
2022-10-28,-98.42
2022-10-31,-98.39
2022-11-01,-98.38
2022-11-02,-98.4
2022-11-03,-98.45
2022-11-04,-98.51
2022-11-07,-98.53
2022-11-08,-98.62
2022-11-09,-98.81
2022-11-10,-98.61
2022-11-11,-98.22
2022-11-14,-98.1
2022-11-15,-98.25
2022-11-16,-98.42
2022-11-17,-98.52
