date,pct_chg
2022-02-04,0.32
2022-02-07,2.22
2022-02-08,3.87
2022-02-09,3.78
2022-02-10,3.78
2022-02-11,6.17
2022-02-14,5.51
2022-02-15,5.51
2022-02-16,7.73
2022-02-17,8.72
2022-02-18,10.2
2022-02-22,9.95
2022-02-23,10.89
2022-02-24,10.74
2022-02-25,12.55
2022-02-28,11.29
2022-03-01,9.21
2022-03-02,10.79
2022-03-03,9.8
2022-03-04,8.72
2022-03-07,7.98
2022-03-08,7.48
2022-03-09,7.73
2022-03-10,10.59
2022-03-11,8.32
2022-03-14,7.73
2022-03-15,6.94
2022-03-16,6.0
2022-03-17,9.46
2022-03-18,8.72
2022-03-21,10.25
2022-03-22,10.69
2022-03-23,10.69
2022-03-24,11.34
2022-03-25,12.97
2022-03-28,12.92
2022-03-29,13.81
2022-03-30,15.64
2022-03-31,13.71
2022-04-01,13.66
2022-04-04,13.66
2022-04-05,14.84
2022-04-06,13.81
2022-04-07,13.71
2022-04-08,15.09
2022-04-11,14.55
2022-04-12,13.86
2022-04-13,13.66
2022-04-14,11.48
2022-04-18,11.98
2022-04-19,13.66
2022-04-20,13.16
2022-04-21,11.48
2022-04-22,10.2
2022-04-25,9.93
2022-04-26,6.0
2022-04-27,6.15
2022-04-28,7.48
2022-04-29,7.48
2022-05-02,5.55
2022-05-03,7.43
2022-05-04,6.94
2022-05-05,5.8
2022-05-06,4.86
2022-05-09,3.78
2022-05-10,2.98
2022-05-11,1.9
2022-05-12,3.38
2022-05-13,0.37
2022-05-16,0.32
2022-05-17,0.37
2022-05-18,-0.62
2022-05-19,1.6
2022-05-20,-0.38
2022-05-23,-0.13
2022-05-24,-0.87
2022-05-25,0.81
2022-05-26,0.81
2022-05-27,2.29
2022-05-31,3.58
2022-06-01,1.85
2022-06-02,1.6
2022-06-03,0.37
2022-06-06,3.4
2022-06-07,1.65
2022-06-08,2.94
2022-06-09,0.37
2022-06-10,0.42
2022-06-13,-0.62
2022-06-14,-3.09
2022-06-15,-3.09
2022-06-16,-3.64
2022-06-17,-5.37
2022-06-21,-5.32
2022-06-22,-5.32
2022-06-23,-6.55
2022-06-24,-6.55
2022-06-27,-4.97
2022-06-28,-5.76
2022-06-29,-5.61
2022-06-30,-4.77
2022-07-01,-5.37
2022-07-05,-5.12
2022-07-06,-5.56
2022-07-07,-5.02
2022-07-08,-4.13
2022-07-11,-4.82
2022-07-12,-3.88
2022-07-13,-4.63
2022-07-14,-5.37
2022-07-15,-5.55
2022-07-18,-3.85
2022-07-19,-2.5
2022-07-20,-3.54
2022-07-21,-4.33
2022-07-22,-2.25
2022-07-25,-2.01
2022-07-26,-0.92
2022-07-27,4.89
2022-07-28,1.3
2022-07-29,3.78
2022-08-01,5.26
2022-08-02,4.66
2022-08-03,2.94
