date,pct_chg
2022-02-04,-0.91
2022-02-07,-0.46
2022-02-08,1.37
2022-02-09,2.51
2022-02-10,0.0
2022-02-11,-4.56
2022-02-14,-5.24
2022-02-15,-2.05
2022-02-16,-0.91
2022-02-17,-1.59
2022-02-18,-5.69
2022-02-22,-9.79
2022-02-23,-12.76
2022-02-24,-7.97
2022-02-25,-6.61
2022-02-28,-5.24
2022-03-01,-3.64
2022-03-02,-0.23
2022-03-03,0.91
2022-03-04,-0.91
2022-03-07,-1.59
2022-03-08,-5.69
2022-03-09,-2.51
2022-03-10,-2.96
2022-03-11,-4.78
2022-03-14,-8.88
2022-03-15,-6.83
2022-03-16,0.23
2022-03-17,5.92
2022-03-18,6.15
2022-03-21,9.34
2022-03-22,12.98
2022-03-23,13.9
2022-03-24,12.3
2022-03-25,7.52
2022-03-28,4.1
2022-03-29,5.92
2022-03-30,3.19
2022-03-31,2.96
2022-04-01,2.51
2022-04-04,7.29
2022-04-05,-0.91
2022-04-06,-4.33
2022-04-07,-8.43
2022-04-08,-10.71
2022-04-11,-13.44
2022-04-12,-13.44
2022-04-13,-10.48
2022-04-14,-11.39
2022-04-18,61.73
2022-04-19,48.97
2022-04-20,30.75
2022-04-21,13.67
2022-04-22,8.66
2022-04-25,15.49
2022-04-26,9.79
2022-04-27,7.06
2022-04-28,16.17
2022-04-29,11.62
2022-05-02,17.77
2022-05-03,12.76
2022-05-04,19.59
2022-05-05,-5.24
2022-05-06,-9.11
2022-05-09,-18.0
2022-05-10,-17.31
2022-05-11,-19.13
2022-05-12,-12.3
2022-05-13,-7.29
2022-05-16,-6.83
2022-05-17,-1.37
2022-05-18,-3.87
2022-05-19,1.14
2022-05-20,-9.11
2022-05-23,-7.97
2022-05-24,-9.34
2022-05-25,-7.06
2022-05-26,-4.78
2022-05-27,0.23
2022-05-31,0.23
2022-06-01,-1.14
2022-06-02,6.15
2022-06-03,0.91
2022-06-06,1.14
2022-06-07,6.61
2022-06-08,3.87
2022-06-09,-0.23
2022-06-10,-4.1
2022-06-13,-12.3
2022-06-14,-15.03
2022-06-15,-11.62
2022-06-16,-18.91
2022-06-17,-17.08
2022-06-21,-12.07
2022-06-22,-10.93
2022-06-23,-6.83
2022-06-24,-2.96
2022-06-27,-3.42
2022-06-28,-6.61
2022-06-29,-8.2
2022-06-30,-10.48
2022-07-01,-10.93
2022-07-05,-10.02
2022-07-06,-10.93
2022-07-07,-7.74
2022-07-08,-6.61
2022-07-11,-10.02
2022-07-12,-10.48
2022-07-13,-8.66
2022-07-14,-9.57
2022-07-15,-6.15
2022-07-18,-9.34
2022-07-19,-7.52
2022-07-20,-5.69
2022-07-21,-4.1
2022-07-22,-5.69
2022-07-25,-3.87
2022-07-26,-5.24
2022-07-27,0.23
2022-07-28,2.28
2022-07-29,0.68
2022-08-01,0.0
2022-08-02,0.23
2022-08-03,7.97
2022-08-04,5.92
2022-08-05,5.01
2022-08-08,1.59
2022-08-09,-0.91
2022-08-10,0.23
2022-08-11,-3.87
2022-08-12,-0.46
2022-08-15,-1.59
2022-08-16,-2.05
2022-08-17,-3.64
2022-08-18,-1.59
2022-08-19,-5.01
2022-08-22,-7.52
2022-08-23,-7.29
2022-08-24,-4.56
2022-08-25,-4.33
2022-08-26,-11.16
2022-08-29,-10.25
2022-08-30,-11.39
