date,pct_chg
2022-02-04,4.35
2022-02-07,0.0
2022-02-08,0.0
2022-02-09,4.35
2022-02-10,-4.35
2022-02-11,-8.7
2022-02-14,-4.35
2022-02-15,0.0
2022-02-16,0.0
2022-02-17,-8.7
2022-02-18,-4.35
2022-02-22,-8.7
2022-02-23,-17.39
2022-02-24,-26.09
2022-02-25,-17.39
2022-02-28,-13.04
2022-03-01,-13.04
2022-03-02,-17.39
2022-03-03,-17.39
2022-03-04,-17.39
2022-03-07,-17.39
2022-03-08,-24.26
2022-03-09,-17.87
2022-03-10,-19.61
2022-03-11,-24.7
2022-03-14,-25.0
2022-03-15,-26.09
2022-03-16,-26.09
2022-03-17,-26.04
2022-03-18,-26.09
2022-03-21,-21.74
2022-03-22,-25.74
2022-03-23,-29.57
2022-03-24,-17.35
2022-03-25,8.61
2022-03-28,4.35
2022-03-29,-0.48
2022-03-30,3.43
2022-03-31,-4.35
2022-04-01,4.35
2022-04-04,12.57
2022-04-05,3.22
2022-04-06,4.35
2022-04-07,13.04
2022-04-08,-0.0
2022-04-11,-4.3
2022-04-12,-0.0
2022-04-13,-4.43
2022-04-14,-8.74
2022-04-18,-9.0
2022-04-19,-13.04
2022-04-20,-19.3
2022-04-21,-22.61
2022-04-22,-26.09
2022-04-25,-14.83
2022-04-26,-30.43
2022-04-27,-24.65
2022-04-28,-26.09
2022-04-29,-28.91
2022-05-02,-25.74
2022-05-03,-26.09
2022-05-04,-28.17
2022-05-05,-26.52
2022-05-06,-28.91
2022-05-09,-36.96
2022-05-10,-39.09
2022-05-11,-34.83
2022-05-12,-43.48
2022-05-13,-43.39
2022-05-16,-41.3
2022-05-17,-43.48
2022-05-18,-43.48
2022-05-19,-40.52
2022-05-20,-43.09
2022-05-23,-40.57
2022-05-24,-43.0
2022-05-25,-43.48
2022-05-26,-47.83
2022-05-27,-47.83
2022-05-31,-42.48
2022-06-01,-47.83
2022-06-02,-43.48
2022-06-03,-52.17
2022-06-06,-50.0
2022-06-07,-47.83
2022-06-08,-39.13
2022-06-09,-41.3
2022-06-10,-39.13
2022-06-13,-51.96
2022-06-14,-52.17
2022-06-15,-53.7
2022-06-16,-60.87
2022-06-17,-52.17
2022-06-21,-52.17
2022-06-22,-56.48
2022-06-23,-43.48
2022-06-24,-43.48
2022-06-27,-48.43
2022-06-28,-50.0
2022-06-29,-53.7
2022-06-30,-54.35
2022-07-01,-54.3
2022-07-05,-43.52
2022-07-06,-52.17
2022-07-07,-52.17
2022-07-08,-48.87
2022-07-11,-45.7
2022-07-12,-47.83
2022-07-13,-49.0
2022-07-14,-46.0
2022-07-15,-48.0
2022-07-18,-49.96
2022-07-19,-44.04
2022-07-20,-43.48
2022-07-21,-49.3
2022-07-22,-49.04
2022-07-25,-47.83
2022-07-26,-47.83
2022-07-27,-52.17
2022-07-28,-51.43
2022-07-29,-52.17
2022-08-01,-52.17
2022-08-02,-47.83
2022-08-03,-52.17
2022-08-04,-49.35
2022-08-05,-49.61
2022-08-08,-52.26
2022-08-09,-52.17
2022-08-10,-53.09
2022-08-11,-52.17
2022-08-12,-56.43
2022-08-15,-52.57
2022-08-16,-51.57
2022-08-17,-52.17
2022-08-18,-52.17
2022-08-19,-55.22
2022-08-22,-52.65
2022-08-23,-54.39
2022-08-24,-60.35
2022-08-25,-59.13
2022-08-26,-60.43
2022-08-29,-61.74
2022-08-30,-65.52
2022-08-31,-65.22
2022-09-01,-68.91
2022-09-02,-65.39
2022-09-06,-67.7
2022-09-07,-66.78
2022-09-08,-67.74
2022-09-09,-73.48
2022-09-12,-74.35
2022-09-13,-69.7
2022-09-14,-75.22
2022-09-15,-73.91
2022-09-16,-69.57
2022-09-19,-73.43
2022-09-20,-71.78
2022-09-21,-73.91
2022-09-22,-70.13
2022-09-23,-69.57
2022-09-26,-70.43
2022-09-27,-71.83
2022-09-28,-73.91
2022-09-29,-73.91
2022-09-30,-73.91
2022-10-03,-73.83
2022-10-04,-73.91
2022-10-05,-74.35
2022-10-06,-71.3
2022-10-07,-65.65
2022-10-10,-67.43
2022-10-11,-71.22
2022-10-12,-73.91
2022-10-13,-73.48
2022-10-14,-76.52
2022-10-17,-73.91
2022-10-18,-73.91
2022-10-19,-79.13
2022-10-20,-74.04
2022-10-21,-75.3
2022-10-24,-77.83
2022-10-25,-77.7
2022-10-26,-76.96
2022-10-27,-75.35
2022-10-28,-73.7
2022-10-31,-76.09
2022-11-01,-76.09
