date,pct_chg
2022-02-04,4.02
2022-02-07,0.6
2022-02-08,2.01
2022-02-09,7.23
2022-02-10,-0.8
2022-02-11,3.01
2022-02-14,-3.41
2022-02-15,3.21
2022-02-16,4.62
2022-02-17,-0.4
2022-02-18,-5.42
2022-02-22,-2.81
2022-02-23,-7.03
2022-02-24,-11.24
2022-02-25,0.8
2022-02-28,-5.22
2022-03-01,0.2
2022-03-02,-3.41
2022-03-03,-10.04
2022-03-04,-13.05
2022-03-07,-13.65
2022-03-08,-12.85
2022-03-09,-6.02
2022-03-10,-12.05
2022-03-11,-9.44
2022-03-14,-5.42
2022-03-15,-2.21
2022-03-16,4.82
2022-03-17,17.67
2022-03-18,30.92
2022-03-21,26.51
2022-03-22,28.71
2022-03-23,30.72
2022-03-24,22.69
2022-03-25,14.66
2022-03-28,11.85
2022-03-29,25.5
2022-03-30,27.31
2022-03-31,25.9
2022-04-01,37.35
2022-04-04,39.76
2022-04-05,31.12
2022-04-06,23.49
2022-04-07,18.47
2022-04-08,14.86
2022-04-11,16.47
2022-04-12,1.0
2022-04-13,-11.45
2022-04-14,-18.47
2022-04-18,-22.49
2022-04-19,-23.29
2022-04-20,-22.09
2022-04-21,-28.51
2022-04-22,-31.33
2022-04-25,-25.5
2022-04-26,-33.53
2022-04-27,-36.35
2022-04-28,-35.54
2022-04-29,-40.56
2022-05-02,-34.54
2022-05-03,-33.53
2022-05-04,-31.73
2022-05-05,-37.95
2022-05-06,-41.97
2022-05-09,-49.4
2022-05-10,-41.16
2022-05-11,-49.6
2022-05-12,-46.18
2022-05-13,-47.99
2022-05-16,-46.79
2022-05-17,-43.98
2022-05-18,-41.57
2022-05-19,-31.93
2022-05-20,-35.94
2022-05-23,-42.17
2022-05-24,-41.77
2022-05-25,-45.98
2022-05-26,-47.59
2022-05-27,-48.39
2022-05-31,-43.98
2022-06-01,-49.8
2022-06-02,-50.0
2022-06-03,-48.8
2022-06-06,-55.02
2022-06-07,-40.96
2022-06-08,-34.54
2022-06-09,-30.32
2022-06-10,-41.97
2022-06-13,-39.56
2022-06-14,-43.98
2022-06-15,-42.17
2022-06-16,-44.58
2022-06-17,-43.17
2022-06-21,-41.37
2022-06-22,-35.94
2022-06-23,-23.49
2022-06-24,-21.89
2022-06-27,-16.87
2022-06-28,-24.3
2022-06-29,-26.91
2022-06-30,-42.17
2022-07-01,-48.19
2022-07-05,-42.17
2022-07-06,-44.38
2022-07-07,-36.35
2022-07-08,-35.94
2022-07-11,-39.56
2022-07-12,-39.76
2022-07-13,-43.57
2022-07-14,-42.77
2022-07-15,-43.37
2022-07-18,-44.18
2022-07-19,-46.59
2022-07-20,-46.79
2022-07-21,-45.78
2022-07-22,-48.39
2022-07-25,-47.39
2022-07-26,-47.99
2022-07-27,-45.78
2022-07-28,-47.19
2022-07-29,-47.39
2022-08-01,-48.59
2022-08-02,-51.2
2022-08-03,-51.2
2022-08-04,-48.8
2022-08-05,-52.01
2022-08-08,-50.8
2022-08-09,-54.02
2022-08-10,-52.01
2022-08-11,-54.02
2022-08-12,-52.01
2022-08-15,-50.6
2022-08-16,-53.82
2022-08-17,-53.61
2022-08-18,-49.4
2022-08-19,-53.61
2022-08-22,-55.42
2022-08-23,-55.82
2022-08-24,-54.82
2022-08-25,-53.61
2022-08-26,-56.22
2022-08-29,-55.62
2022-08-30,-55.02
2022-08-31,-56.83
2022-09-01,-65.06
2022-09-02,-65.46
2022-09-06,-64.46
2022-09-07,-65.06
2022-09-08,-64.06
2022-09-09,-64.06
2022-09-12,-66.47
2022-09-13,-77.71
2022-09-14,-79.52
2022-09-15,-78.92
2022-09-16,-79.12
2022-09-19,-80.32
2022-09-20,-81.37
2022-09-21,-83.59
2022-09-22,-82.53
2022-09-23,-83.1
2022-09-26,-83.55
2022-09-27,-84.23
2022-09-28,-83.43
2022-09-29,-83.25
2022-09-30,-84.3
2022-10-03,-84.09
2022-10-04,-83.26
2022-10-05,-84.74
2022-10-06,-84.96
2022-10-07,-85.95
2022-10-10,-86.51
2022-10-11,-86.33
2022-10-12,-86.53
2022-10-13,-86.75
2022-10-14,-87.01
2022-10-17,-87.15
2022-10-18,-86.87
2022-10-19,-87.75
2022-10-20,-87.35
2022-10-21,-87.55
2022-10-24,-87.13
2022-10-25,-86.31
2022-10-26,-85.62
2022-10-27,-86.22
2022-10-28,-85.62
2022-10-31,-85.71
2022-11-01,-84.54
2022-11-02,-81.76
2022-11-03,-83.29
2022-11-04,-85.54
2022-11-07,-83.97
2022-11-08,-83.98
2022-11-09,-84.74
2022-11-10,-83.53
2022-11-11,-81.97
2022-11-14,-83.14
2022-11-15,-83.11
2022-11-16,-83.13
2022-11-17,-83.54
2022-11-18,-84.03
2022-11-21,-84.73
2022-11-22,-86.12
2022-11-23,-85.54
2022-11-25,-85.14
2022-11-28,-85.34
2022-11-29,-85.94
2022-11-30,-86.14
2022-12-01,-86.74
2022-12-02,-86.23
2022-12-05,-86.55
2022-12-06,-87.35
2022-12-07,-87.75
2022-12-08,-86.75
2022-12-09,-87.68
2022-12-12,-87.75
2022-12-13,-88.07
2022-12-14,-88.35
2022-12-15,-88.96
2022-12-16,-90.73
2022-12-19,-92.17
2022-12-20,-92.57
2022-12-21,-92.97
2022-12-22,-93.25
2022-12-23,-92.89
2022-12-27,-93.57
2022-12-28,-93.31
2022-12-29,-92.91
2022-12-30,-92.01
2023-01-03,-90.86
2023-01-04,-89.66
2023-01-05,-89.16
2023-01-06,-89.54
2023-01-09,-89.36
2023-01-10,-88.94
2023-01-11,-88.51
2023-01-12,-88.35
2023-01-13,-87.91
2023-01-17,-87.95
2023-01-18,-88.15
2023-01-19,-88.35
2023-01-20,-87.79
2023-01-23,-87.71
2023-01-24,-85.14
2023-01-25,-86.55
2023-01-26,-86.55
2023-01-27,-86.15
2023-01-30,-86.2
2023-01-31,-85.74
2023-02-01,-84.59
2023-02-02,-84.94
2023-02-03,-83.81
