date,pct_chg
2022-02-04,-3.23
2022-02-07,-4.3
2022-02-08,-8.6
2022-02-09,-9.14
2022-02-10,-6.45
2022-02-11,-15.59
2022-02-14,-17.74
2022-02-15,-16.13
2022-02-16,-19.89
2022-02-17,-15.59
2022-02-18,-1.61
2022-02-22,2.69
2022-02-23,1.61
2022-02-24,-1.61
2022-02-25,0.0
2022-02-28,-2.15
2022-03-01,-7.53
2022-03-02,-4.3
2022-03-03,-4.84
2022-03-04,-10.22
2022-03-07,-19.89
2022-03-08,-28.49
2022-03-09,-16.13
2022-03-10,-12.37
2022-03-11,-15.59
2022-03-14,-18.28
2022-03-15,-18.28
2022-03-16,-8.6
2022-03-17,-8.06
2022-03-18,-16.13
2022-03-21,-8.6
2022-03-22,-8.6
2022-03-23,66.67
2022-03-24,74.19
2022-03-25,87.1
2022-03-28,144.09
2022-03-29,96.24
2022-03-30,82.26
2022-03-31,109.68
2022-04-01,96.77
2022-04-04,93.55
2022-04-05,82.8
2022-04-06,94.09
2022-04-07,90.86
2022-04-08,88.71
2022-04-11,74.73
2022-04-12,62.37
2022-04-13,57.53
2022-04-14,40.86
2022-04-18,20.97
2022-04-19,20.43
2022-04-20,31.72
2022-04-21,10.22
2022-04-22,17.74
2022-04-25,18.28
2022-04-26,12.37
2022-04-27,7.53
2022-04-28,7.53
2022-04-29,1.08
2022-05-02,0.54
2022-05-03,-1.61
2022-05-04,-2.69
2022-05-05,-11.29
2022-05-06,-19.35
2022-05-09,-25.81
2022-05-10,-24.19
2022-05-11,-25.27
2022-05-12,-20.43
2022-05-13,-0.54
2022-05-16,-9.14
2022-05-17,-13.98
2022-05-18,-15.59
2022-05-19,-17.74
2022-05-20,-45.16
2022-05-23,-45.7
2022-05-24,-46.24
2022-05-25,-47.31
2022-05-26,-47.85
2022-05-27,-50.03
2022-05-31,-50.48
2022-06-01,-48.92
2022-06-02,-48.98
2022-06-03,-49.35
2022-06-06,-50.32
2022-06-07,-52.44
2022-06-08,-52.15
2022-06-09,-53.76
2022-06-10,-54.4
2022-06-13,-60.43
2022-06-14,-62.37
2022-06-15,-61.83
2022-06-16,-64.31
2022-06-17,-66.61
2022-06-21,-65.82
2022-06-22,-65.86
2022-06-23,-65.99
2022-06-24,-64.93
2022-06-27,-62.9
2022-06-28,-63.24
2022-06-29,-62.67
2022-06-30,-59.68
2022-07-01,-60.22
2022-07-05,-60.11
2022-07-06,-65.75
2022-07-07,-65.23
2022-07-08,-66.4
2022-07-11,-65.87
2022-07-12,-64.89
2022-07-13,-65.85
2022-07-14,-66.4
2022-07-15,-65.68
2022-07-18,-60.75
2022-07-19,-61.83
2022-07-20,-61.29
2022-07-21,-62.36
2022-07-22,-63.71
2022-07-25,-64.03
2022-07-26,-63.7
2022-07-27,-63.44
2022-07-28,-60.32
2022-07-29,-60.22
2022-08-01,-59.8
2022-08-02,-62.39
2022-08-03,-61.29
2022-08-04,-60.63
2022-08-05,-60.12
2022-08-08,-58.06
2022-08-09,-59.34
2022-08-10,-60.22
2022-08-11,-59.14
2022-08-12,-59.01
2022-08-15,-59.85
2022-08-16,-60.73
2022-08-17,-60.98
2022-08-18,-61.01
2022-08-19,-61.03
2022-08-22,-61.29
2022-08-23,-61.83
2022-08-24,-61.83
2022-08-25,-61.82
2022-08-26,-61.83
2022-08-29,-62.94
2022-08-30,-63.16
2022-08-31,-62.47
2022-09-01,-63.41
2022-09-02,-63.15
2022-09-06,-63.18
2022-09-07,-63.44
2022-09-08,-60.22
2022-09-09,-61.29
2022-09-12,-62.37
2022-09-13,-61.56
2022-09-14,-63.25
2022-09-15,-62.9
2022-09-16,-63.42
2022-09-19,-63.4
2022-09-20,-66.67
2022-09-21,-67.74
2022-09-22,-70.49
2022-09-23,-70.56
2022-09-26,-73.92
2022-09-27,-72.76
2022-09-28,-72.79
2022-09-29,-74.26
2022-09-30,-76.34
2022-10-03,-75.67
2022-10-04,-75.67
2022-10-05,-75.26
2022-10-06,-72.19
2022-10-07,-75.39
2022-10-10,-74.19
2022-10-11,-75.12
2022-10-12,-74.46
2022-10-13,-77.96
2022-10-14,-78.71
2022-10-17,-78.01
2022-10-18,-79.28
2022-10-19,-79.03
2022-10-20,-77.88
2022-10-21,-76.32
2022-10-24,-77.23
2022-10-25,-76.93
2022-10-26,-76.41
2022-10-27,-77.41
2022-10-28,-78.07
2022-10-31,-76.88
2022-11-01,-77.2
2022-11-02,-78.47
2022-11-03,-73.12
2022-11-04,-76.11
2022-11-07,-73.39
2022-11-08,-75.51
2022-11-09,-78.22
2022-11-10,-78.23
2022-11-11,-78.49
2022-11-14,-78.98
2022-11-15,-78.61
2022-11-16,-79.03
2022-11-17,-78.49
2022-11-18,-78.5
2022-11-21,-79.19
2022-11-22,-79.09
2022-11-23,-78.49
2022-11-25,-77.96
2022-11-28,-77.81
2022-11-29,-78.95
2022-11-30,-77.96
2022-12-01,-77.96
2022-12-02,-77.55
2022-12-05,-78.71
2022-12-06,-79.34
2022-12-07,-78.49
2022-12-08,-79.35
2022-12-09,-80.52
2022-12-12,-77.95
2022-12-13,-77.42
2022-12-14,-78.76
2022-12-15,-80.02
2022-12-16,-79.05
2022-12-19,-79.27
2022-12-20,-79.59
2022-12-21,-80.62
2022-12-22,-81.36
2022-12-23,-80.11
2022-12-27,-80.44
2022-12-28,-80.38
2022-12-29,-80.05
2022-12-30,-79.51
2023-01-03,-80.0
2023-01-04,-79.52
