date,pct_chg
2021-06-11,0.23
2021-06-14,-0.48
2021-06-15,-1.04
2021-06-16,-2.2
2021-06-17,-2.65
2021-06-18,-2.81
2021-06-21,-1.97
2021-06-22,-2.48
2021-06-23,-3.63
2021-06-24,-3.45
2021-06-25,-3.24
2021-06-28,-3.18
2021-06-29,-3.35
2021-06-30,-3.6
2021-07-01,-3.19
2021-07-02,-2.0
2021-07-06,-1.87
2021-07-07,-1.06
2021-07-08,-1.65
2021-07-09,-1.86
2021-07-12,-1.32
2021-07-13,-1.68
2021-07-14,-1.8
2021-07-15,-1.95
2021-07-16,-4.46
2021-07-19,-5.38
2021-07-20,-4.03
2021-07-21,-4.18
2021-07-22,-3.72
2021-07-23,-3.29
2021-07-26,-3.44
2021-07-27,-2.13
2021-07-28,-2.86
2021-07-29,-3.15
2021-07-30,-0.85
2021-08-02,-1.2
2021-08-03,1.02
2021-08-04,-1.22
2021-08-05,-1.46
2021-08-06,-1.33
2021-08-09,-1.33
2021-08-10,-2.44
2021-08-11,-1.97
2021-08-12,-1.9
2021-08-13,-1.79
2021-08-16,-1.15
2021-08-17,-0.37
2021-08-18,-2.12
2021-08-19,-1.8
2021-08-20,-2.61
2021-08-23,-3.9
2021-08-24,-4.8
2021-08-25,-5.64
2021-08-26,-6.18
2021-08-27,-5.23
2021-08-30,-5.99
2021-08-31,-5.83
2021-09-01,-6.17
2021-09-02,-5.9
2021-09-03,-6.65
2021-09-07,-6.52
2021-09-08,-6.67
2021-09-09,-7.44
2021-09-10,-8.18
2021-09-13,-8.12
2021-09-14,-8.83
2021-09-15,-8.45
2021-09-16,-8.71
2021-09-17,-7.45
2021-09-20,-9.11
2021-09-21,-9.53
2021-09-22,-10.01
2021-09-23,-9.76
2021-09-24,-9.99
2021-09-27,-11.15
2021-09-28,-12.2
2021-09-29,-12.27
2021-09-30,-13.02
2021-10-01,-13.25
2021-10-04,-13.43
2021-10-05,-13.74
2021-10-06,-12.9
2021-10-07,-12.75
2021-10-08,-12.35
2021-10-11,-12.94
2021-10-12,-13.37
2021-10-13,-12.8
2021-10-14,-11.54
2021-10-15,-11.91
2021-10-18,-13.52
2021-10-19,-11.93
2021-10-20,-11.12
2021-10-21,-11.36
2021-10-22,-11.43
2021-10-25,-11.66
2021-10-26,-11.26
2021-10-27,-13.8
2021-10-28,-12.84
2021-10-29,-8.37
2021-11-01,-5.92
2021-11-02,-5.44
2021-11-03,-3.5
2021-11-04,-6.65
2021-11-05,-6.85
2021-11-08,-8.16
2021-11-09,-8.53
2021-11-10,-8.29
2021-11-11,-7.96
2021-11-12,-7.49
2021-11-15,-8.84
2021-11-16,-8.6
2021-11-17,-8.34
2021-11-18,-9.25
2021-11-19,-10.29
2021-11-22,-9.42
2021-11-23,-8.82
2021-11-24,-9.36
2021-11-26,-10.83
2021-11-29,-10.14
2021-11-30,-13.11
2021-12-01,-13.65
2021-12-02,-11.36
2021-12-03,-11.61
2021-12-06,-9.98
2021-12-07,-9.0
2021-12-08,-7.25
2021-12-09,-7.31
2021-12-10,-8.28
