date,pct_chg
2022-02-04,1.98
2022-02-07,-1.55
2022-02-08,-0.5
2022-02-09,-0.76
2022-02-10,0.22
2022-02-11,4.27
2022-02-14,-2.91
2022-02-15,-1.87
2022-02-16,1.11
2022-02-17,3.52
2022-02-18,-0.45
2022-02-22,0.31
2022-02-23,1.2
2022-02-24,6.74
2022-02-25,8.02
2022-02-28,10.31
2022-03-01,11.89
2022-03-02,15.07
2022-03-03,18.34
2022-03-04,23.98
2022-03-07,30.01
2022-03-08,26.74
2022-03-09,25.46
2022-03-10,32.13
2022-03-11,30.5
2022-03-14,28.98
2022-03-15,28.89
2022-03-16,19.78
2022-03-17,25.29
2022-03-18,29.42
2022-03-21,37.65
2022-03-22,35.87
2022-03-23,40.75
2022-03-24,44.57
2022-03-25,48.8
2022-03-28,42.83
2022-03-29,35.57
2022-03-30,37.24
2022-03-31,40.03
2022-04-01,35.58
2022-04-04,38.23
2022-04-05,39.63
2022-04-06,39.12
2022-04-07,42.95
2022-04-08,47.02
2022-04-11,45.45
2022-04-12,49.21
2022-04-13,48.11
2022-04-14,47.3
2022-04-18,49.5
2022-04-19,45.38
2022-04-20,44.21
2022-04-21,35.0
2022-04-22,31.71
2022-04-25,28.33
2022-04-26,29.08
2022-04-27,31.94
2022-04-28,33.89
2022-04-29,31.56
2022-05-02,31.03
2022-05-03,36.77
2022-05-04,38.63
2022-05-05,36.26
2022-05-06,35.63
2022-05-09,23.48
2022-05-10,26.83
2022-05-11,29.88
2022-05-12,34.01
2022-05-13,41.11
2022-05-16,45.39
2022-05-17,47.35
2022-05-18,38.06
2022-05-19,36.35
2022-05-20,30.15
2022-05-23,37.35
2022-05-24,36.03
2022-05-25,36.64
2022-05-26,31.4
2022-05-27,30.05
2022-05-31,34.2
2022-06-01,29.77
2022-06-02,32.49
2022-06-03,30.24
2022-06-06,28.14
2022-06-07,25.54
2022-06-08,22.07
2022-06-09,20.77
2022-06-10,19.18
2022-06-13,17.38
2022-06-14,26.7
2022-06-15,25.1
2022-06-16,23.11
2022-06-17,18.11
2022-06-21,23.27
2022-06-22,20.35
2022-06-23,9.51
2022-06-24,13.21
2022-06-27,17.96
2022-06-28,19.32
2022-06-29,17.35
2022-06-30,16.48
2022-07-01,15.87
2022-07-05,13.52
2022-07-06,13.57
2022-07-07,14.99
2022-07-08,16.85
2022-07-11,17.31
2022-07-12,16.05
2022-07-13,16.22
2022-07-14,9.58
2022-07-15,14.88
2022-07-18,13.63
2022-07-19,18.08
2022-07-20,16.29
2022-07-21,15.91
2022-07-22,15.23
2022-07-25,22.66
2022-07-26,22.83
2022-07-27,28.57
2022-07-28,27.65
2022-07-29,29.74
2022-08-01,28.32
2022-08-02,33.38
2022-08-03,31.68
2022-08-04,34.58
2022-08-05,35.94
2022-08-08,35.11
2022-08-09,39.4
2022-08-10,39.01
2022-08-11,39.09
2022-08-12,42.01
2022-08-15,39.44
2022-08-16,40.26
2022-08-17,40.76
2022-08-18,39.09
2022-08-19,40.63
2022-08-22,43.53
2022-08-23,48.17
2022-08-24,52.85
2022-08-25,59.51
2022-08-26,60.8
2022-08-29,53.99
2022-08-30,44.02
2022-08-31,40.57
2022-09-01,39.16
2022-09-02,45.19
2022-09-06,39.84
2022-09-07,39.04
2022-09-08,39.21
2022-09-09,40.87
2022-09-12,35.16
2022-09-13,36.07
2022-09-14,40.07
2022-09-15,37.39
2022-09-16,33.95
2022-09-19,40.58
2022-09-20,41.73
2022-09-21,38.18
2022-09-22,37.95
2022-09-23,27.43
2022-09-26,22.77
2022-09-27,30.26
2022-09-28,36.15
2022-09-29,31.39
2022-09-30,30.77
2022-10-03,36.28
2022-10-04,42.74
2022-10-05,39.33
2022-10-06,43.65
2022-10-07,42.39
2022-10-10,44.74
2022-10-11,39.71
2022-10-12,39.33
2022-10-13,45.42
2022-10-14,33.21
2022-10-17,34.35
2022-10-18,36.2
2022-10-19,36.77
2022-10-20,41.88
2022-10-21,45.88
2022-10-24,41.48
2022-10-25,46.33
2022-10-26,43.11
2022-10-27,45.31
2022-10-28,43.59
2022-10-31,44.38
2022-11-01,46.47
2022-11-02,40.18
2022-11-03,42.99
2022-11-04,43.18
2022-11-07,41.73
2022-11-08,47.62
2022-11-09,42.2
2022-11-10,47.4
2022-11-11,39.7
2022-11-14,46.41
2022-11-15,45.26
2022-11-16,39.54
2022-11-17,38.8
2022-11-18,37.69
2022-11-21,39.63
2022-11-22,49.02
2022-11-23,44.44
2022-11-25,47.58
2022-11-28,41.85
2022-11-29,44.57
2022-11-30,47.0
2022-12-01,40.82
2022-12-02,41.83
2022-12-05,40.6
2022-12-06,37.91
2022-12-07,36.58
2022-12-08,36.06
2022-12-09,34.1
2022-12-12,34.12
2022-12-13,32.89
2022-12-14,26.36
2022-12-15,28.46
2022-12-16,29.17
2022-12-19,25.98
2022-12-20,27.11
2022-12-21,27.08
2022-12-22,22.15
2022-12-23,23.29
2022-12-27,19.02
2022-12-28,17.31
2022-12-29,16.18
2022-12-30,15.76
2023-01-03,11.35
2023-01-04,11.97
2023-01-05,13.83
2023-01-06,14.69
2023-01-09,16.85
2023-01-10,12.77
2023-01-11,14.2
2023-01-12,17.27
2023-01-13,18.08
2023-01-17,16.85
2023-01-18,14.99
2023-01-19,16.02
2023-01-20,17.5
2023-01-23,16.2
2023-01-24,15.41
2023-01-25,13.8
2023-01-26,15.63
2023-01-27,12.88
2023-01-30,12.36
2023-01-31,15.08
2023-02-01,15.87
2023-02-02,15.53
2023-02-03,16.75
