date,pct_chg
2020-08-24,0.6
2020-08-25,2.82
2020-08-26,0.6
2020-08-27,-0.2
2020-08-28,1.21
2020-08-31,10.46
2020-09-01,6.04
2020-09-02,7.24
2020-09-03,4.83
2020-09-04,4.63
2020-09-08,5.23
2020-09-09,10.26
2020-09-10,7.65
2020-09-11,9.46
2020-09-14,10.66
2020-09-15,5.84
2020-09-16,6.84
2020-09-17,8.45
2020-09-18,9.26
2020-09-21,2.01
2020-09-22,-0.8
2020-09-23,-8.85
2020-09-24,-11.67
2020-09-25,-10.26
2020-09-28,-11.47
2020-09-29,-12.47
2020-09-30,-13.48
2020-10-01,-16.1
2020-10-02,-17.71
2020-10-05,-16.7
2020-10-06,-16.7
2020-10-07,-16.7
2020-10-08,-18.31
2020-10-09,-21.33
2020-10-12,-21.33
2020-10-13,-20.93
2020-10-14,-19.32
2020-10-15,-19.32
2020-10-16,-19.32
2020-10-19,-19.52
2020-10-20,-21.33
2020-10-21,-21.93
2020-10-22,-21.73
2020-10-23,-21.93
2020-10-26,-22.94
2020-10-27,-23.34
2020-10-28,-25.15
2020-10-29,-23.34
2020-10-30,-24.55
2020-11-02,-24.95
2020-11-03,-24.55
2020-11-04,-21.73
2020-11-05,-20.72
2020-11-06,-18.71
2020-11-09,-19.11
2020-11-10,-18.11
2020-11-11,-18.51
2020-11-12,-19.52
2020-11-13,-19.72
2020-11-16,-18.91
2020-11-17,-18.71
2020-11-18,-21.33
2020-11-19,-19.72
2020-11-20,-19.52
2020-11-23,-20.93
2020-11-24,-19.72
2020-11-25,-14.49
2020-11-27,-14.29
2020-11-30,-13.88
2020-12-01,-14.89
2020-12-02,-12.27
2020-12-03,-11.27
2020-12-04,-7.65
2020-12-07,-7.04
2020-12-08,-6.64
2020-12-09,-7.85
2020-12-10,-6.24
2020-12-11,-6.84
2020-12-14,-8.65
2020-12-15,-8.65
2020-12-16,-7.44
2020-12-17,-8.05
2020-12-18,-8.05
2020-12-21,-6.84
2020-12-22,-7.44
2020-12-23,-6.44
2020-12-24,-7.85
2020-12-28,-9.26
2020-12-29,-14.08
2020-12-30,-14.08
2020-12-31,-12.47
2021-01-04,-13.48
2021-01-05,-15.09
2021-01-06,-14.29
2021-01-07,-15.29
2021-01-08,-15.69
2021-01-11,-18.11
2021-01-12,-19.52
2021-01-13,-19.92
2021-01-14,-20.72
2021-01-15,-21.13
2021-01-19,-20.52
2021-01-20,-19.92
2021-01-21,-16.3
2021-01-22,-15.49
2021-01-25,-18.11
2021-01-26,-14.29
2021-01-27,-16.1
2021-01-28,-17.1
2021-01-29,-20.32
2021-02-01,-20.12
2021-02-02,-19.32
2021-02-03,-18.11
2021-02-04,-14.69
2021-02-05,-12.37
2021-02-08,-1.61
2021-02-09,-8.45
2021-02-10,-10.06
2021-02-11,-12.07
2021-02-12,-12.88
2021-02-16,-14.29
2021-02-17,-13.28
2021-02-18,-14.89
2021-02-19,-15.49
2021-02-22,-18.31
2021-02-23,-21.33
2021-02-24,-20.32
2021-02-25,-22.54
2021-02-26,-21.73
2021-03-01,-20.52
2021-03-02,-19.72
2021-03-03,-24.35
2021-03-04,-30.89
2021-03-05,-38.03
2021-03-08,-40.04
2021-03-09,-37.83
2021-03-10,-36.42
2021-03-11,-34.41
2021-03-12,-32.19
2021-03-15,-33.0
2021-03-16,-32.6
2021-03-17,-31.99
2021-03-18,-32.8
2021-03-19,-31.39
2021-03-22,-30.78
2021-03-23,-29.38
2021-03-24,-39.24
2021-03-25,-37.63
2021-03-26,-39.13
2021-03-29,-40.44
2021-03-30,-39.64
2021-03-31,-37.02
2021-04-01,-36.02
2021-04-05,-38.63
2021-04-06,-38.03
2021-04-07,-40.44
2021-04-08,-39.24
2021-04-09,-39.44
2021-04-12,-43.26
2021-04-13,-42.05
2021-04-14,-41.45
2021-04-15,-41.25
2021-04-16,-41.25
2021-04-19,-41.85
2021-04-20,-42.45
2021-04-21,-38.93
2021-04-22,-38.63
2021-04-23,-42.45
2021-04-26,-40.85
2021-04-27,-40.44
2021-04-28,-37.83
2021-04-29,-39.44
2021-04-30,-40.04
2021-05-03,-40.44
2021-05-04,-42.86
2021-05-05,-19.92
2021-05-06,-19.92
2021-05-07,-18.91
2021-05-10,-15.9
2021-05-11,-17.1
2021-05-12,-16.5
2021-05-13,-19.11
2021-05-14,-19.32
2021-05-17,-19.72
2021-05-18,-16.5
2021-05-19,-14.89
2021-05-20,-10.26
2021-05-21,-12.88
2021-05-24,-14.08
2021-05-25,-15.29
2021-05-26,-15.09
2021-05-27,-13.88
2021-05-28,-14.89
2021-06-01,-14.69
2021-06-02,-15.09
2021-06-03,-15.9
2021-06-04,-16.3
2021-06-07,-15.9
2021-06-08,-16.1
2021-06-09,-16.3
2021-06-10,-16.1
2021-06-11,-15.69
2021-06-14,-15.9
2021-06-15,-17.91
2021-06-16,-16.7
2021-06-17,-16.9
2021-06-18,-15.29
2021-06-21,-15.49
2021-06-22,-16.5
2021-06-23,-15.09
2021-06-24,-12.47
2021-06-25,-4.23
2021-06-28,-5.23
2021-06-29,-4.63
2021-06-30,-4.83
2021-07-01,-4.83
2021-07-02,-5.23
2021-07-06,-11.47
2021-07-07,-12.07
2021-07-08,-12.47
2021-07-09,-9.86
2021-07-12,-7.24
2021-07-13,-8.05
2021-07-14,-9.86
2021-07-15,-10.46
2021-07-16,-12.07
2021-07-19,-16.7
2021-07-20,-13.68
2021-07-21,-12.88
2021-07-22,-13.28
2021-07-23,-14.69
2021-07-26,-15.9
2021-07-27,-16.7
2021-07-28,-16.9
2021-07-29,-16.5
2021-07-30,-19.52
2021-08-02,-16.1
2021-08-03,-18.71
2021-08-04,-19.52
2021-08-05,-24.35
2021-08-11,-24.35
2021-08-12,-24.35
2021-09-15,-24.35
2022-01-31,-24.35
2022-02-01,-24.35
2022-02-02,-24.35
2022-02-03,-24.35
2022-02-04,-24.35
2022-02-07,-24.35
2022-02-08,-24.35
2022-02-09,-24.35
