date,pct_chg
2022-02-04,-1.76
2022-02-07,-2.38
2022-02-08,-6.2
2022-02-09,-5.84
2022-02-10,-4.19
2022-02-11,-6.93
2022-02-14,-6.11
2022-02-15,-4.34
2022-02-16,-3.67
2022-02-17,-4.08
2022-02-18,-9.26
2022-02-22,-7.52
2022-02-23,-7.64
2022-02-24,-7.86
2022-02-25,-7.57
2022-02-28,-5.79
2022-03-01,-3.98
2022-03-02,-7.24
2022-03-03,-6.72
2022-03-04,-8.22
2022-03-07,-7.65
2022-03-08,-10.6
2022-03-09,-8.95
2022-03-10,-6.51
2022-03-11,-12.2
2022-03-14,-9.57
2022-03-15,-10.34
2022-03-16,-5.25
2022-03-17,-4.76
2022-03-18,-3.83
2022-03-21,-5.27
2022-03-22,-6.15
2022-03-23,-7.08
2022-03-24,-7.34
2022-03-25,-8.58
2022-03-28,-6.77
2022-03-29,-3.99
2022-03-30,-4.6
2022-03-31,-4.5
2022-04-01,-4.14
2022-04-04,-3.46
2022-04-05,-1.91
2022-04-06,1.96
2022-04-07,5.79
2022-04-08,4.81
2022-04-11,1.94
2022-04-12,2.17
2022-04-13,0.48
2022-04-14,0.16
2022-04-18,-0.49
2022-04-19,0.52
2022-04-20,0.62
2022-04-21,1.24
2022-04-22,0.1
2022-04-25,1.34
2022-04-26,0.31
2022-04-27,-0.54
2022-04-28,0.57
2022-04-29,1.53
2022-05-02,2.07
2022-05-03,1.5
2022-05-04,5.07
2022-05-05,2.74
2022-05-06,-0.47
2022-05-09,-5.64
2022-05-10,-4.34
2022-05-11,-4.5
2022-05-12,-5.07
2022-05-13,-3.83
2022-05-16,-4.08
2022-05-17,-2.71
2022-05-18,-7.14
2022-05-19,-6.51
2022-05-20,-4.14
2022-05-23,-3.15
2022-05-24,-3.15
2022-05-25,-4.81
2022-05-26,-4.19
2022-05-27,-3.05
2022-05-31,-2.79
2022-06-01,-6.26
2022-06-02,-4.32
2022-06-03,-4.86
2022-06-06,-5.22
2022-06-07,-5.07
2022-06-08,-5.61
2022-06-09,-8.79
2022-06-10,-9.88
2022-06-13,-10.43
2022-06-14,-13.91
2022-06-15,-11.63
2022-06-16,-11.91
2022-06-17,-11.69
2022-06-21,-10.01
2022-06-22,-11.38
2022-06-23,-9.46
2022-06-24,-3.41
2022-06-27,-1.55
