date,pct_chg
2022-02-04,0.64
2022-02-07,1.33
2022-02-08,5.97
2022-02-09,10.4
2022-02-10,11.73
2022-02-11,0.91
2022-02-14,-1.49
2022-02-15,5.44
2022-02-16,5.92
2022-02-17,2.29
2022-02-18,1.81
2022-02-22,2.35
2022-02-23,-0.05
2022-02-24,3.47
2022-02-25,14.72
2022-02-28,19.25
2022-03-01,24.27
2022-03-02,25.97
2022-03-03,35.52
2022-03-04,38.4
2022-03-07,38.99
2022-03-08,26.29
2022-03-09,31.79
2022-03-10,41.01
2022-03-11,37.92
2022-03-14,33.92
2022-03-15,35.15
2022-03-16,39.63
2022-03-17,46.4
2022-03-18,46.51
2022-03-21,53.01
2022-03-22,51.41
2022-03-23,55.52
2022-03-24,74.24
2022-03-25,76.0
2022-03-28,76.37
2022-03-29,70.51
2022-03-30,71.36
2022-03-31,71.79
2022-04-01,72.59
2022-04-04,73.07
2022-04-05,73.55
2022-04-06,65.81
2022-04-07,67.41
2022-04-08,64.11
2022-04-11,62.4
2022-04-12,64.27
2022-04-13,70.77
2022-04-14,64.48
2022-04-18,64.05
2022-04-19,67.63
2022-04-20,62.99
2022-04-21,57.76
2022-04-22,54.4
2022-04-25,47.95
2022-04-26,41.65
2022-04-27,46.35
2022-04-28,46.35
2022-04-29,35.95
2022-05-02,38.24
2022-05-03,39.57
2022-05-04,44.05
2022-05-05,33.49
2022-05-06,28.64
2022-05-09,18.45
2022-05-10,17.44
2022-05-11,14.13
2022-05-12,13.28
2022-05-13,15.89
2022-05-16,15.25
2022-05-17,20.37
2022-05-18,12.91
2022-05-19,15.15
2022-05-20,16.21
2022-05-23,22.72
2022-05-24,20.64
2022-05-25,20.96
2022-05-26,25.12
2022-05-27,31.04
2022-05-31,23.63
2022-06-01,25.07
2022-06-02,25.44
2022-06-03,22.56
2022-06-06,24.37
2022-06-07,27.52
2022-06-08,20.0
2022-06-09,10.08
2022-06-10,4.75
2022-06-13,-3.25
2022-06-14,-5.92
2022-06-15,-3.73
2022-06-16,-9.81
2022-06-17,-8.85
2022-06-21,-10.61
2022-06-22,-13.23
2022-06-23,-16.37
2022-06-24,-12.11
2022-06-27,-12.75
2022-06-28,-15.2
2022-06-29,-16.53
2022-06-30,-18.03
2022-07-01,-15.95
2022-07-05,-19.04
2022-07-06,-18.99
2022-07-07,-16.16
2022-07-08,-17.49
2022-07-11,-19.47
2022-07-12,-19.52
2022-07-13,-17.01
2022-07-14,-22.56
2022-07-15,-20.05
2022-07-18,-17.17
2022-07-19,-12.27
2022-07-20,-11.47
2022-07-21,-8.59
2022-07-22,-16.69
2022-07-25,-11.68
2022-07-26,-12.85
2022-07-27,-11.2
2022-07-28,-9.6
2022-07-29,-5.55
2022-08-01,-6.61
2022-08-02,-9.07
2022-08-03,-8.69
2022-08-04,-4.32
2022-08-05,-2.35
2022-08-08,-0.96
2022-08-09,1.49
2022-08-10,5.33
2022-08-11,3.73
2022-08-12,4.91
2022-08-15,2.56
2022-08-16,4.85
2022-08-17,-1.49
2022-08-18,-1.6
2022-08-19,-5.12
2022-08-22,-7.89
2022-08-23,-4.64
2022-08-24,-2.72
2022-08-25,3.41
2022-08-26,-0.11
2022-08-29,-1.07
2022-08-30,-6.13
2022-08-31,-7.89
2022-09-01,-11.41
2022-09-02,-10.35
2022-09-06,-7.73
2022-09-07,-7.79
2022-09-08,-5.97
2022-09-09,-0.11
2022-09-12,-3.84
2022-09-13,-10.51
2022-09-14,-18.13
2022-09-15,-18.77
2022-09-16,-20.0
2022-09-19,-19.89
2022-09-20,-22.35
2022-09-21,-23.84
2022-09-22,-24.8
2022-09-23,-29.23
2022-09-26,-30.24
2022-09-27,-27.47
2022-09-28,-25.44
2022-09-29,-26.56
2022-09-30,-28.16
2022-10-03,-22.03
2022-10-04,-17.49
2022-10-05,-17.81
2022-10-06,-20.16
2022-10-07,-20.91
2022-10-10,-16.85
2022-10-11,-18.13
2022-10-12,-18.93
2022-10-13,-18.24
2022-10-14,-22.93
2022-10-17,-20.59
2022-10-18,-19.15
2022-10-19,-20.96
2022-10-20,-19.15
2022-10-21,-12.85
2022-10-24,-17.17
2022-10-25,-23.73
2022-10-26,-21.28
2022-10-27,-25.81
2022-10-28,-28.27
2022-10-31,-30.72
2022-11-01,-28.8
2022-11-02,-34.72
2022-11-03,-36.69
2022-11-04,-30.56
2022-11-07,-27.41
2022-11-08,-25.87
2022-11-09,-30.4
2022-11-10,-25.55
2022-11-11,-19.41
2022-11-14,-16.91
2022-11-15,-17.76
2022-11-16,-18.45
2022-11-17,-21.33
2022-11-18,-23.57
2022-11-21,-19.63
2022-11-22,-16.85
2022-11-23,-15.2
2022-11-25,-16.27
2022-11-28,-19.57
2022-11-29,-19.25
2022-11-30,-17.44
2022-12-01,-15.41
2022-12-02,-12.43
2022-12-05,-15.84
2022-12-06,-14.03
2022-12-07,-15.57
2022-12-08,-13.81
2022-12-09,-17.33
2022-12-12,-16.48
2022-12-13,-15.09
2022-12-14,-16.48
2022-12-15,-19.89
2022-12-16,-19.31
2022-12-19,-23.63
2022-12-20,-23.25
2022-12-21,-19.31
2022-12-22,-9.76
2022-12-23,-9.87
2022-12-27,-7.63
2022-12-28,-13.33
2022-12-29,-12.05
2022-12-30,-14.08
2023-01-03,-10.45
2023-01-04,-8.27
2023-01-05,-6.13
2023-01-06,-0.53
2023-01-09,-3.04
2023-01-10,0.32
2023-01-11,2.56
2023-01-12,11.47
2023-01-13,11.57
2023-01-17,11.57
2023-01-18,10.61
2023-01-19,8.69
2023-01-20,11.84
2023-01-23,9.92
2023-01-24,7.68
2023-01-25,10.83
2023-01-26,13.49
2023-01-27,15.31
2023-01-30,13.17
2023-01-31,13.87
2023-02-01,16.75
2023-02-02,15.36
2023-02-03,15.2
