date,pct_chg
2022-02-04,-0.72
2022-02-07,6.54
2022-02-08,7.84
2022-02-09,11.65
2022-02-10,14.74
2022-02-11,17.11
2022-02-14,17.54
2022-02-15,20.56
2022-02-16,17.69
2022-02-17,14.16
2022-02-18,8.05
2022-02-22,5.32
2022-02-23,3.45
2022-02-24,5.32
2022-02-25,5.54
2022-02-28,11.43
2022-03-01,5.97
2022-03-02,8.99
2022-03-03,11.65
2022-03-04,11.14
2022-03-07,13.3
2022-03-08,15.17
2022-03-09,7.98
2022-03-10,7.33
2022-03-11,8.91
2022-03-14,-2.73
2022-03-15,0.58
2022-03-16,2.3
2022-03-17,4.1
2022-03-18,-0.07
2022-03-21,-1.01
2022-03-22,-1.08
2022-03-23,-5.46
2022-03-24,-0.79
2022-03-25,-2.59
2022-03-28,-4.03
2022-03-29,-3.02
2022-03-30,-4.24
2022-03-31,-2.16
2022-04-01,-2.23
2022-04-04,-6.69
2022-04-05,-4.96
2022-04-06,-6.54
2022-04-07,-6.04
2022-04-08,-5.9
2022-04-11,-9.42
2022-04-12,-9.78
2022-04-13,-3.81
2022-04-14,-2.37
2022-04-18,-4.17
2022-04-19,-2.52
2022-04-20,2.59
2022-04-21,-0.58
2022-04-22,0.65
2022-04-25,3.09
2022-04-26,7.91
2022-04-27,13.16
2022-04-28,9.63
2022-04-29,2.52
2022-05-02,2.8
2022-05-03,9.13
2022-05-04,13.44
2022-05-05,10.57
2022-05-06,2.95
2022-05-09,-10.14
2022-05-10,-10.42
2022-05-11,-5.46
2022-05-12,-6.04
2022-05-13,-2.95
2022-05-16,-3.67
2022-05-17,-3.95
2022-05-18,-4.46
2022-05-19,-7.4
2022-05-20,-8.05
2022-05-23,-6.83
2022-05-24,-7.76
2022-05-25,-5.61
2022-05-26,-3.52
2022-05-27,3.16
2022-05-31,-0.14
2022-06-01,3.88
2022-06-02,3.09
2022-06-03,3.02
2022-06-06,6.61
2022-06-07,7.98
2022-06-08,6.4
2022-06-09,5.9
2022-06-10,3.38
2022-06-13,-5.61
2022-06-14,-6.83
2022-06-15,-5.82
2022-06-16,-17.04
2022-06-17,-27.03
2022-06-21,-22.5
2022-06-22,-24.73
2022-06-23,-28.61
2022-06-24,-24.59
2022-06-27,-17.18
2022-06-28,-17.47
2022-06-29,-22.36
2022-06-30,-25.31
2022-07-01,-26.53
2022-07-05,-35.37
2022-07-06,-37.89
2022-07-07,-29.55
2022-07-08,-26.17
2022-07-11,-27.1
2022-07-12,-26.17
2022-07-13,-26.17
2022-07-14,-29.62
2022-07-15,-24.44
2022-07-18,-24.51
2022-07-19,-23.58
2022-07-20,-20.27
2022-07-21,-21.64
2022-07-22,-17.69
2022-07-25,-18.4
2022-07-26,-20.85
2022-07-27,-17.9
2022-07-28,-15.96
2022-07-29,-11.5
2022-08-01,-8.34
2022-08-02,-3.16
2022-08-03,-5.46
2022-08-04,-5.39
2022-08-05,12.8
2022-08-08,17.9
2022-08-09,12.87
2022-08-10,13.16
2022-08-11,13.8
2022-08-12,18.48
2022-08-15,16.97
2022-08-16,17.18
2022-08-17,19.91
2022-08-18,25.52
2022-08-19,20.35
2022-08-22,22.65
2022-08-23,26.82
2022-08-24,28.47
2022-08-25,28.83
2022-08-26,28.25
2022-08-29,26.1
2022-08-30,21.5
2022-08-31,24.51
2022-09-01,24.59
2022-09-02,25.66
2022-09-06,20.56
2022-09-07,23.36
2022-09-08,23.44
2022-09-09,26.53
2022-09-12,24.87
2022-09-13,23.51
2022-09-14,23.72
2022-09-15,19.63
2022-09-16,19.12
2022-09-19,23.22
2022-09-20,21.28
2022-09-21,14.67
2022-09-22,15.46
2022-09-23,3.81
2022-09-26,-6.18
2022-09-27,-4.74
2022-09-28,-1.15
2022-09-29,-5.54
2022-09-30,-7.91
2022-10-03,-4.39
2022-10-04,-2.44
2022-10-05,-3.59
2022-10-06,-2.16
2022-10-07,4.24
2022-10-10,7.48
2022-10-11,5.9
2022-10-12,7.69
2022-10-13,13.59
2022-10-14,13.3
2022-10-17,21.14
2022-10-18,20.78
2022-10-19,26.24
2022-10-20,26.74
2022-10-21,28.68
2022-10-24,23.36
2022-10-25,30.12
2022-10-26,37.31
2022-10-27,36.95
2022-10-28,36.02
2022-10-31,42.92
2022-11-01,42.27
2022-11-02,38.68
2022-11-03,39.18
2022-11-04,38.82
2022-11-07,43.13
2022-11-08,43.28
2022-11-09,29.91
2022-11-10,30.77
2022-11-11,30.12
2022-11-14,27.82
2022-11-15,26.89
2022-11-16,25.59
2022-11-17,23.29
2022-11-18,21.21
2022-11-21,19.84
2022-11-22,22.14
2022-11-23,19.84
2022-11-25,19.19
2022-11-28,16.18
2022-11-29,13.52
2022-11-30,14.52
2022-12-01,14.63
2022-12-02,7.91
2022-12-05,1.73
2022-12-06,1.51
2022-12-07,-4.17
2022-12-08,0.65
2022-12-09,1.94
2022-12-12,1.58
2022-12-13,0.79
2022-12-14,0.14
2022-12-15,4.82
2022-12-16,1.22
2022-12-19,-0.58
2022-12-20,-1.58
2022-12-21,-2.44
2022-12-22,-7.26
2022-12-23,-6.69
2022-12-27,-3.81
2022-12-28,1.8
2022-12-29,15.24
2022-12-30,21.35
2023-01-03,17.54
2023-01-04,16.82
2023-01-05,23.51
2023-01-06,20.49
2023-01-09,21.28
2023-01-10,22.21
2023-01-11,21.21
2023-01-12,21.78
2023-01-13,21.42
2023-01-17,22.93
2023-01-18,20.85
2023-01-19,22.14
2023-01-20,20.99
2023-01-23,19.34
2023-01-24,19.7
2023-01-25,21.28
2023-01-26,21.93
2023-01-27,19.41
2023-01-30,17.18
2023-01-31,17.11
2023-02-01,18.62
2023-02-02,22.21
2023-02-03,23.65
