date,pct_chg
2022-02-04,14.56
2022-02-07,25.32
2022-02-08,28.48
2022-02-09,25.32
2022-02-10,34.81
2022-02-11,48.73
2022-02-14,56.96
2022-02-15,53.16
2022-02-16,51.27
2022-02-17,59.49
2022-02-18,51.9
2022-02-22,46.84
2022-02-23,44.3
2022-02-24,34.81
2022-02-25,26.58
2022-02-28,28.48
2022-03-01,27.22
2022-03-02,17.72
2022-03-03,12.03
2022-03-04,3.16
2022-03-07,-8.86
2022-03-08,-12.66
2022-03-09,-5.06
2022-03-10,-9.49
2022-03-11,-3.8
2022-03-14,-8.86
2022-03-15,-2.53
2022-03-16,-6.96
2022-03-17,-8.23
2022-03-18,-17.72
2022-03-21,-12.66
2022-03-22,-12.66
2022-03-23,-13.92
2022-03-24,-13.92
2022-03-25,-13.92
2022-03-28,-20.89
2022-03-29,-20.25
2022-03-30,-15.82
2022-03-31,-13.29
2022-04-01,-6.33
2022-04-04,1.27
2022-04-05,17.72
2022-04-06,15.82
2022-04-07,3.8
2022-04-08,-3.16
2022-04-11,-7.59
2022-04-12,-0.0
2022-04-13,1.9
2022-04-14,-3.16
2022-04-18,-4.43
2022-04-19,-3.16
2022-04-20,-0.63
2022-04-21,-3.8
2022-04-22,-1.9
2022-04-25,-5.7
2022-04-26,-4.43
2022-04-27,-8.86
2022-04-28,-9.49
2022-04-29,-6.33
2022-05-02,-7.59
2022-05-03,-5.06
2022-05-04,-8.23
2022-05-05,-5.06
2022-05-06,6.96
2022-05-09,3.8
2022-05-10,3.8
2022-05-11,16.46
2022-05-12,45.57
2022-05-13,60.76
2022-05-16,68.99
2022-05-17,55.06
2022-05-18,56.33
2022-05-19,53.71
2022-05-20,63.92
2022-05-23,74.68
2022-05-24,74.68
2022-05-25,91.14
2022-05-26,89.87
2022-05-27,91.14
2022-05-31,93.04
2022-06-01,84.81
2022-06-02,95.57
2022-06-03,96.2
2022-06-06,75.32
2022-06-07,67.09
2022-06-08,75.32
2022-06-09,59.49
2022-06-10,53.8
2022-06-13,27.22
2022-06-14,34.81
2022-06-15,47.47
2022-06-16,56.33
2022-06-17,57.59
2022-06-21,84.81
2022-06-22,75.95
2022-06-23,70.89
2022-06-24,77.22
2022-06-27,73.42
2022-06-28,71.52
2022-06-29,68.99
2022-06-30,67.72
2022-07-01,69.62
2022-07-05,72.78
2022-07-06,82.28
2022-07-07,81.01
2022-07-08,80.06
2022-07-11,72.15
2022-07-12,78.48
2022-07-13,73.42
2022-07-14,74.05
2022-07-15,77.22
2022-07-18,72.15
2022-07-19,71.52
2022-07-20,74.05
2022-07-21,74.05
2022-07-22,74.05
2022-07-25,61.39
2022-07-26,56.96
2022-07-27,63.92
2022-07-28,60.76
2022-07-29,64.56
2022-08-01,67.09
2022-08-02,66.46
2022-08-03,63.92
2022-08-04,62.03
2022-08-05,68.35
2022-08-08,64.56
2022-08-09,68.99
2022-08-10,69.62
2022-08-11,74.05
2022-08-12,89.87
2022-08-15,83.54
2022-08-16,91.14
2022-08-17,89.87
2022-08-18,89.24
2022-08-19,89.24
2022-08-22,93.04
2022-08-23,92.41
2022-08-24,93.04
2022-08-25,90.51
2022-08-26,89.87
2022-08-29,86.08
2022-08-30,89.24
2022-08-31,74.05
2022-09-01,83.54
2022-09-02,83.54
2022-09-06,96.84
2022-09-07,93.04
2022-09-08,89.87
2022-09-09,89.24
2022-09-12,88.61
2022-09-13,100.0
2022-09-14,113.29
2022-09-15,97.47
2022-09-16,93.04
2022-09-19,89.24
2022-09-20,83.54
2022-09-21,63.92
2022-09-22,45.57
2022-09-23,41.77
2022-09-26,20.25
2022-09-27,32.91
2022-09-28,44.94
2022-09-29,40.51
2022-09-30,44.3
2022-10-03,61.39
2022-10-04,72.78
2022-10-05,77.22
2022-10-06,70.89
2022-10-07,79.11
2022-10-10,79.75
2022-10-11,95.57
2022-10-12,91.77
2022-10-13,92.41
2022-10-14,97.47
2022-10-17,98.1
2022-10-18,89.87
2022-10-19,87.97
2022-10-20,90.51
2022-10-21,90.51
2022-10-24,89.87
2022-10-25,89.87
2022-10-26,100.63
2022-10-27,95.57
2022-10-28,101.27
2022-10-31,100.0
2022-11-01,116.46
2022-11-02,139.24
2022-11-03,152.53
2022-11-04,153.16
2022-11-07,144.3
2022-11-08,168.99
2022-11-09,165.19
2022-11-10,158.23
2022-11-11,181.65
2022-11-14,196.84
2022-11-15,200.63
2022-11-16,184.81
2022-11-17,183.54
2022-11-18,179.75
2022-11-21,170.89
2022-11-22,171.52
2022-11-23,181.65
2022-11-25,176.58
2022-11-28,156.96
2022-11-29,168.99
2022-11-30,160.13
2022-12-01,191.14
2022-12-02,212.66
2022-12-05,186.71
2022-12-06,194.3
2022-12-07,184.81
2022-12-08,198.1
2022-12-09,172.78
2022-12-12,175.95
2022-12-13,181.01
2022-12-14,183.54
2022-12-15,184.18
2022-12-16,191.77
2022-12-19,197.47
2022-12-20,203.16
2022-12-21,225.32
2022-12-22,232.91
2022-12-23,242.41
2022-12-27,236.71
2022-12-28,208.86
2022-12-29,216.46
2022-12-30,218.35
2023-01-03,225.95
2023-01-04,220.89
2023-01-05,223.42
2023-01-06,226.58
2023-01-09,225.95
2023-01-10,246.84
2023-01-11,232.91
2023-01-12,217.09
2023-01-13,228.48
2023-01-17,216.46
2023-01-18,166.46
2023-01-19,137.34
2023-01-20,134.18
2023-01-23,141.14
2023-01-24,166.46
2023-01-25,166.46
2023-01-26,150.0
2023-01-27,149.37
2023-01-30,143.67
2023-01-31,153.16
2023-02-01,152.53
2023-02-02,151.27
2023-02-03,150.0
