date,pct_chg
2022-02-03,3.66
2022-02-04,29.57
2022-02-07,37.2
2022-02-08,20.81
2022-02-09,14.33
2022-02-10,14.33
2022-02-11,10.44
2022-02-14,-0.91
2022-02-15,-0.84
2022-02-16,-0.84
2022-02-17,-0.15
2022-02-18,5.49
2022-02-22,5.49
2022-02-23,5.49
2022-02-24,2.9
2022-02-25,2.9
2022-02-28,2.9
2022-03-01,2.9
2022-03-02,2.9
2022-03-03,2.9
2022-03-04,14.33
2022-03-07,0.61
2022-03-08,-0.91
2022-03-09,-8.54
2022-03-10,-4.73
2022-03-11,-4.73
2022-03-14,-16.16
2022-03-15,2.52
2022-03-16,-1.37
2022-03-17,3.28
2022-03-18,13.57
2022-03-21,-4.73
2022-03-22,-4.73
2022-03-23,-4.73
2022-03-24,-16.16
2022-03-25,-13.57
2022-03-28,-0.91
2022-03-29,-0.91
2022-03-30,6.71
2022-03-31,0.91
2022-04-01,13.57
2022-04-04,14.33
2022-04-05,1.37
2022-04-06,18.14
2022-04-07,-0.91
2022-04-08,-1.3
2022-04-11,-5.03
2022-04-12,-16.92
2022-04-13,-16.08
2022-04-14,6.48
2022-04-18,25.0
2022-04-19,21.95
2022-04-20,21.95
2022-04-21,21.95
2022-04-22,-15.4
2022-04-25,-8.54
2022-04-26,-6.25
2022-04-27,-8.54
2022-04-28,-16.16
2022-04-29,-8.54
2022-05-02,18.14
2022-05-03,-15.24
2022-05-04,-15.09
2022-05-05,-8.54
2022-05-06,4.19
2022-05-09,-13.64
2022-05-10,-16.92
2022-05-11,-16.16
2022-05-12,-16.16
2022-05-13,-16.92
2022-05-16,4.12
2022-05-17,-16.16
2022-05-18,-19.44
2022-05-19,-18.83
2022-05-20,-19.05
2022-05-23,-8.92
2022-05-24,-19.21
2022-05-25,-21.49
2022-05-26,-21.49
2022-05-27,-22.26
2022-05-31,-23.78
2022-06-01,-27.59
2022-06-02,-27.59
2022-06-03,-19.97
2022-06-06,-25.69
2022-06-07,-31.4
2022-06-08,-31.4
2022-06-09,-38.8
2022-06-10,-39.02
2022-06-13,-38.64
2022-06-14,-35.37
2022-06-15,-35.37
2022-06-16,-35.21
2022-06-17,-37.88
2022-06-21,-40.55
2022-06-22,-39.56
2022-06-23,-57.32
2022-06-24,-56.55
2022-06-27,-56.55
