date,pct_chg
2020-10-29,2.15
2020-10-30,0.96
2020-11-02,0.4
2020-11-03,3.48
2020-11-04,6.35
2020-11-05,10.2
2020-11-06,10.07
2020-11-09,12.92
2020-11-10,9.06
2020-11-11,6.86
2020-11-12,5.87
2020-11-13,8.68
2020-11-16,9.49
2020-11-17,11.75
2020-11-18,11.93
2020-11-19,14.14
2020-11-20,14.27
2020-11-23,16.34
2020-11-24,16.05
2020-11-25,16.5
2020-11-27,19.11
2020-11-30,17.33
2020-12-01,17.8
2020-12-02,18.66
2020-12-03,17.86
2020-12-04,18.12
2020-12-07,17.43
2020-12-08,18.71
2020-12-09,15.17
2020-12-10,16.08
2020-12-11,16.95
2020-12-14,18.15
2020-12-15,18.5
2020-12-16,18.63
2020-12-17,20.97
2020-12-18,20.49
2020-12-21,18.95
2020-12-22,23.31
2020-12-23,21.47
2020-12-24,21.23
2020-12-28,18.79
2020-12-29,16.82
2020-12-30,18.5
2020-12-31,17.03
2021-01-04,12.7
2021-01-05,13.05
2021-01-06,14.08
2021-01-07,15.15
2021-01-08,14.88
2021-01-11,11.83
2021-01-12,13.37
2021-01-13,11.69
2021-01-14,13.55
2021-01-15,15.36
2021-01-19,13.55
2021-01-20,14.86
2021-01-21,14.2
2021-01-22,15.04
2021-01-25,15.36
2021-01-26,14.72
2021-01-27,11.35
2021-01-28,10.92
2021-01-29,8.69
2021-02-01,13.21
2021-02-02,15.97
2021-02-03,17.19
2021-02-04,22.11
2021-02-05,21.9
2021-02-08,21.68
2021-02-09,25.41
2021-02-10,24.74
2021-02-11,24.32
2021-02-12,25.99
2021-02-16,22.93
2021-02-17,46.64
2021-02-18,39.52
2021-02-19,37.15
2021-02-22,40.63
2021-02-23,40.45
2021-02-24,39.61
2021-02-25,37.15
2021-02-26,34.25
2021-03-01,39.84
2021-03-02,36.65
2021-03-03,29.82
2021-03-04,26.71
2021-03-05,27.0
2021-03-08,26.23
2021-03-09,28.75
2021-03-10,29.21
2021-03-11,34.27
2021-03-12,34.79
2021-03-15,29.5
2021-03-16,25.27
2021-03-17,23.84
2021-03-18,19.9
2021-03-19,20.06
2021-03-22,19.19
2021-03-23,19.45
2021-03-24,14.88
2021-03-25,15.55
2021-03-26,16.74
2021-03-29,13.93
2021-03-30,12.65
2021-03-31,15.81
2021-04-01,18.81
2021-04-05,17.54
2021-04-06,20.65
2021-04-07,18.12
2021-04-08,20.22
2021-04-09,19.51
2021-04-12,19.69
2021-04-13,21.13
2021-04-14,21.53
2021-04-15,24.53
2021-04-16,21.74
2021-04-19,19.88
2021-04-20,17.35
2021-04-21,17.94
2021-04-22,16.69
2021-04-23,18.34
2021-04-26,18.44
2021-04-27,18.92
2021-04-28,20.06
2021-04-29,19.08
2021-04-30,17.63
2021-05-03,16.69
2021-05-04,13.82
2021-05-05,14.14
2021-05-06,11.4
2021-05-07,12.28
2021-05-10,11.51
2021-05-11,12.7
2021-05-12,11.0
2021-05-13,12.06
2021-05-14,13.93
2021-05-17,15.79
2021-05-18,17.54
2021-05-19,19.45
2021-05-20,19.98
2021-05-21,18.18
2021-05-24,19.03
2021-05-25,16.66
2021-05-26,17.62
2021-05-27,17.06
2021-05-28,16.85
2021-06-01,16.82
2021-06-02,24.37
2021-06-03,24.66
2021-06-04,28.89
2021-06-07,31.3
2021-06-08,34.6
2021-06-09,34.95
2021-06-10,35.05
2021-06-11,35.42
2021-06-14,35.8
2021-06-15,34.07
2021-06-16,34.73
2021-06-17,35.5
2021-06-18,35.56
2021-06-21,36.17
2021-06-22,36.25
2021-06-23,36.35
2021-06-24,37.55
2021-06-25,39.28
2021-06-28,40.26
2021-06-29,40.98
2021-06-30,37.07
2021-07-01,38.08
2021-07-02,38.61
2021-07-06,39.25
2021-07-07,37.9
2021-07-08,37.12
2021-07-09,37.36
2021-07-12,37.92
2021-07-13,36.57
2021-07-14,34.52
2021-07-15,33.06
2021-07-16,32.18
2021-07-19,30.88
2021-07-20,32.34
2021-07-21,32.02
2021-07-22,29.87
2021-07-23,30.0
2021-07-26,28.75
2021-07-27,26.18
2021-07-28,27.98
2021-07-29,27.77
2021-07-30,27.4
2021-08-02,29.44
2021-08-03,29.63
2021-08-04,31.3
2021-08-05,32.66
2021-08-06,50.57
2021-08-09,50.28
2021-08-10,50.33
2021-08-11,50.84
2021-08-12,50.73
2021-08-13,50.52
2021-08-16,50.54
2021-08-17,50.62
2021-08-18,50.44
2021-08-19,50.6
2021-08-20,50.54
2021-08-23,50.89
2021-08-24,51.16
2021-08-25,51.02
2021-08-26,51.13
2021-08-27,51.21
2021-08-30,51.42
2021-08-31,52.27
2021-09-01,52.03
2021-09-02,51.77
2021-09-03,51.79
2021-09-07,51.58
2021-09-08,51.98
2021-09-09,51.69
2021-09-10,52.01
2021-09-13,52.03
2021-09-14,52.14
2021-09-15,52.06
2021-09-16,52.06
2021-09-17,51.87
2021-09-20,52.17
2021-09-21,52.19
2021-09-22,52.33
2021-09-23,52.3
2021-09-24,52.19
2021-09-27,51.98
2021-09-28,52.09
2021-09-29,52.14
2021-09-30,52.17
2021-10-01,52.19
2021-10-04,52.25
2021-10-05,52.35
2021-10-06,52.46
2021-10-07,52.46
2021-10-08,52.56
2021-10-11,52.59
2021-10-12,52.62
2021-10-13,52.75
2021-10-14,52.78
2021-10-15,52.78
2022-01-31,52.78
2022-02-01,52.78
2022-02-02,52.78
2022-02-03,52.78
2022-02-04,52.78
2022-02-07,52.78
2022-02-08,52.78
2022-02-09,52.78
