date,pct_chg
2022-02-04,0.73
2022-02-07,0.65
2022-02-08,1.96
2022-02-09,-2.45
2022-02-10,-5.3
2022-02-11,-4.89
2022-02-14,-4.4
2022-02-15,-3.26
2022-02-16,-1.39
2022-02-17,-1.39
2022-02-18,-0.57
2022-02-22,-1.79
2022-02-23,-4.24
2022-02-24,-5.22
2022-02-25,-1.88
2022-02-28,-2.2
2022-03-01,-1.06
2022-03-02,-2.28
2022-03-03,-4.73
2022-03-04,-6.28
2022-03-07,-6.69
2022-03-08,-6.2
2022-03-09,-4.4
2022-03-10,-5.71
2022-03-11,-6.61
2022-03-14,-7.42
2022-03-15,-7.1
2022-03-16,-5.38
2022-03-17,-6.69
2022-03-18,-5.95
2022-03-21,-7.75
2022-03-22,-7.67
2022-03-23,-8.65
2022-03-24,-11.17
2022-03-25,-13.13
2022-03-28,-13.3
2022-03-29,-10.03
2022-03-30,-12.48
2022-03-31,-14.19
2022-04-01,-13.62
2022-04-04,-14.11
2022-04-05,-15.99
2022-04-06,-15.17
2022-04-07,-14.6
2022-04-08,-13.7
2022-04-11,-15.01
2022-04-12,-16.23
2022-04-13,-14.6
2022-04-14,-15.17
2022-04-18,-15.17
2022-04-19,-14.36
2022-04-20,-13.7
2022-04-21,-15.25
2022-04-22,-17.13
2022-04-25,-18.03
2022-04-26,-19.66
2022-04-27,-20.15
2022-04-28,-18.6
2022-04-29,-19.82
2022-05-02,-22.68
2022-05-03,-21.29
2022-05-04,-20.07
2022-05-05,-25.37
2022-05-06,-28.87
2022-05-09,-29.61
2022-05-10,-28.63
2022-05-11,-22.43
2022-05-12,-19.82
2022-05-13,-25.69
2022-05-16,-26.67
2022-05-17,-25.69
2022-05-18,-30.26
2022-05-19,-28.14
2022-05-20,-29.85
2022-05-23,-31.24
2022-05-24,-31.32
2022-05-25,-29.53
2022-05-26,-28.55
2022-05-27,-27.65
2022-05-31,-25.69
2022-06-01,-23.0
2022-06-02,-20.07
2022-06-03,-23.33
2022-06-06,-20.15
2022-06-07,-22.92
2022-06-08,-21.7
2022-06-09,-19.9
2022-06-10,-22.84
2022-06-13,-23.16
2022-06-14,-22.51
2022-06-15,-21.29
2022-06-16,-25.29
2022-06-17,-24.63
2022-06-21,-22.43
2022-06-22,-24.39
2022-06-23,-24.23
2022-06-24,-23.25
2022-06-27,-22.35
2022-06-28,-24.31
2022-06-29,-26.75
2022-06-30,-25.53
2022-07-01,-24.39
2022-07-05,-26.59
2022-07-06,-28.14
2022-07-07,-27.65
2022-07-08,-28.06
2022-07-11,-26.26
2022-07-12,-25.45
2022-07-13,-25.37
2022-07-14,-24.55
2022-07-15,-24.71
2022-07-18,-25.29
2022-07-19,-22.68
2022-07-20,-22.92
2022-07-21,-23.9
2022-07-22,-23.98
2022-07-25,-24.55
2022-07-26,-25.94
2022-07-27,-25.53
2022-07-28,-26.35
2022-07-29,-26.75
2022-08-01,-27.24
2022-08-02,-28.55
2022-08-03,-21.37
2022-08-04,-17.78
2022-08-05,-18.19
2022-08-08,-17.05
2022-08-09,-18.19
2022-08-10,-15.99
2022-08-11,-16.39
2022-08-12,-14.36
2022-08-15,-13.95
2022-08-16,-16.72
2022-08-17,-17.29
2022-08-18,-16.39
2022-08-19,-15.99
2022-08-22,-16.48
2022-08-23,-16.88
2022-08-24,-14.52
2022-08-25,-13.62
2022-08-26,-15.17
2022-08-29,-15.58
2022-08-30,-16.31
2022-08-31,-16.88
2022-09-01,-19.33
2022-09-02,-19.25
2022-09-06,-19.9
2022-09-07,-17.62
2022-09-08,-17.7
2022-09-09,-17.29
2022-09-12,-15.91
2022-09-13,-19.74
2022-09-14,-22.51
2022-09-15,-22.43
2022-09-16,-20.88
2022-09-19,-21.62
2022-09-20,-23.74
2022-09-21,-20.88
2022-09-22,-25.61
2022-09-23,-27.81
2022-09-26,-27.9
2022-09-27,-27.24
2022-09-28,-26.92
2022-09-29,-29.53
2022-09-30,-24.06
2022-10-03,-22.43
2022-10-04,-20.8
2022-10-05,-21.86
2022-10-06,-22.76
2022-10-07,-24.88
2022-10-10,-22.68
2022-10-11,-23.98
2022-10-12,-25.29
2022-10-13,-22.76
2022-10-14,-24.55
2022-10-17,-23.0
2022-10-18,-22.92
2022-10-19,-24.31
2022-10-20,-25.2
2022-10-21,-24.39
2022-10-24,-23.98
2022-10-25,-21.94
2022-10-26,-21.29
2022-10-27,-23.82
2022-10-28,-24.14
2022-10-31,-27.57
2022-11-01,-28.06
2022-11-02,-30.91
2022-11-03,-33.28
2022-11-04,-32.54
2022-11-07,-32.3
2022-11-08,-30.42
2022-11-09,-43.23
2022-11-10,-42.9
2022-11-11,-41.92
2022-11-14,-44.78
2022-11-15,-44.78
2022-11-16,-44.29
2022-11-17,-46.82
2022-11-18,-46.25
2022-11-21,-48.53
2022-11-22,-47.31
2022-11-23,-48.45
2022-11-25,-46.9
2022-11-28,-49.84
2022-11-29,-49.43
2022-11-30,-48.86
2022-12-01,-48.12
2022-12-02,-48.94
2022-12-05,-50.0
2022-12-06,-50.24
2022-12-07,-51.06
2022-12-08,-50.08
2022-12-09,-50.41
2022-12-12,-50.08
2022-12-13,-50.24
2022-12-14,-50.49
2022-12-15,-52.12
2022-12-16,-53.1
2022-12-19,-53.67
2022-12-20,-53.75
2022-12-21,-53.18
2022-12-22,-53.18
2022-12-23,-52.45
2022-12-27,-52.69
2022-12-28,-54.16
2022-12-29,-53.34
2022-12-30,-53.43
2023-01-03,-49.76
2023-01-04,-47.63
2023-01-05,-48.12
2023-01-06,-47.23
2023-01-09,-48.53
2023-01-10,-48.69
2023-01-11,-48.21
2023-01-12,-46.98
2023-01-13,-47.06
2023-01-17,-48.29
2023-01-18,-49.67
2023-01-19,-51.79
2023-01-20,-50.65
2023-01-23,-49.18
2023-01-24,-50.65
2023-01-25,-50.65
2023-01-26,-51.06
2023-01-27,-50.73
2023-01-30,-51.39
2023-01-31,-49.1
2023-02-01,-48.94
2023-02-02,-47.8
2023-02-03,-47.15
