date,pct_chg
2022-02-02,-1.36
2022-02-03,8.84
2022-02-04,8.84
2022-02-07,8.84
2022-02-08,8.84
2022-02-09,3.91
2022-02-10,3.91
2022-02-11,-4.76
2022-02-14,-4.76
2022-02-15,-4.76
2022-02-16,-6.46
2022-02-17,0.34
2022-02-18,0.34
2022-02-22,-8.16
2022-02-23,-8.16
2022-02-24,-11.56
2022-02-25,-24.83
2022-02-28,-16.67
2022-03-01,-21.77
2022-03-02,-20.41
2022-03-03,-14.97
2022-03-04,-18.37
2022-03-07,-18.03
2022-03-08,-18.03
2022-03-09,-18.03
2022-03-10,-14.63
2022-03-11,-8.16
2022-03-14,-14.97
2022-03-15,-14.97
2022-03-16,-14.97
2022-03-17,-8.27
2022-03-18,-8.27
2022-03-21,-21.77
2022-03-22,-14.97
2022-03-23,-21.43
2022-03-24,-21.77
2022-03-25,-14.97
2022-03-28,-21.77
2022-03-29,-18.37
2022-03-30,-18.37
2022-03-31,-21.77
2022-04-01,-16.53
2022-04-04,-13.27
2022-04-05,-20.92
2022-04-06,-20.07
2022-04-07,-20.07
2022-04-08,-20.07
2022-04-11,-21.77
2022-04-12,-21.77
2022-04-13,-18.37
2022-04-14,-19.05
2022-04-18,-20.41
2022-04-19,-21.77
2022-04-20,-23.47
2022-04-21,-25.17
2022-04-22,-25.17
2022-04-25,-23.47
2022-04-26,-25.2
2022-04-27,-28.23
2022-04-28,-28.57
2022-04-29,-28.57
2022-05-02,-28.57
2022-05-03,-30.27
2022-05-04,-29.42
2022-05-05,-30.27
2022-05-06,-31.97
2022-05-09,-31.97
2022-05-10,-28.61
2022-05-11,-28.61
2022-05-12,-31.63
2022-05-13,-31.63
2022-05-16,-31.63
2022-05-17,-31.63
2022-05-18,-29.25
2022-05-19,-29.25
2022-05-20,-30.27
2022-05-23,-31.97
2022-05-24,-31.97
2022-05-25,-31.97
2022-05-26,-31.97
2022-05-27,-35.37
2022-05-31,-37.07
2022-06-01,-37.07
2022-06-02,-37.07
2022-06-03,-37.07
2022-06-06,-33.71
2022-06-07,-30.27
2022-06-08,-35.37
2022-06-09,-30.27
2022-06-10,-30.27
2022-06-13,-31.97
2022-06-14,-31.97
2022-06-15,-31.97
2022-06-16,-31.63
2022-06-17,-30.27
2022-06-21,-29.42
2022-06-22,-28.57
2022-06-23,-30.27
2022-06-24,-30.27
2022-06-27,-30.27
2022-06-28,-31.97
2022-06-29,-30.27
2022-06-30,-31.97
2022-07-01,-31.97
2022-07-05,-31.97
2022-07-06,-35.03
2022-07-07,-35.03
2022-07-08,-35.03
2022-07-11,-35.03
2022-07-12,-38.78
2022-07-13,-64.97
2022-07-14,-39.12
2022-07-15,-63.61
2022-07-18,-63.44
2022-07-19,-50.71
2022-07-20,-40.48
2022-07-21,-40.48
2022-07-22,-42.52
2022-07-25,-63.61
2022-07-26,-42.52
2022-07-27,-42.52
2022-07-28,-38.1
2022-07-29,-29.59
2022-08-01,19.05
2022-08-02,87.07
2022-08-03,88.1
2022-08-04,82.31
2022-08-05,70.07
2022-08-08,202.72
2022-08-09,155.1
2022-08-10,514.97
2022-08-11,525.85
2022-08-12,666.67
2022-08-15,614.29
2022-08-16,525.51
2022-08-17,513.95
2022-08-18,460.54
2022-08-19,291.16
2022-08-22,410.2
2022-08-23,481.63
2022-08-24,434.01
2022-08-25,437.41
2022-08-26,558.16
2022-08-29,576.87
2022-08-30,535.71
2022-08-31,614.29
2022-09-01,495.24
2022-09-02,491.84
2022-09-06,427.21
2022-09-07,381.29
2022-09-08,419.73
2022-09-09,342.18
2022-09-12,399.66
2022-09-13,410.2
2022-09-14,410.2
2022-09-15,376.19
2022-09-16,444.22
2022-09-19,410.2
2022-09-20,342.18
2022-09-21,374.49
2022-09-22,266.67
2022-09-23,177.21
2022-09-26,342.18
2022-09-27,83.33
2022-09-28,90.48
2022-09-29,117.69
2022-09-30,138.1
2022-10-03,124.49
2022-10-04,121.09
2022-10-05,163.95
2022-10-06,148.3
2022-10-07,307.82
2022-10-10,239.12
2022-10-11,172.11
2022-10-12,182.31
2022-10-13,152.04
2022-10-14,146.6
2022-10-17,175.17
2022-10-18,182.31
2022-10-19,206.12
2022-10-20,151.7
2022-10-21,138.1
2022-10-24,134.69
2022-10-25,199.32
2022-10-26,107.82
2022-10-27,118.03
2022-10-28,137.07
2022-10-31,103.06
2022-11-01,63.27
2022-11-02,63.27
2022-11-03,49.66
2022-11-04,70.07
2022-11-07,81.63
2022-11-08,104.08
2022-11-09,70.07
2022-11-10,83.67
2022-11-11,104.08
2022-11-14,100.34
2022-11-15,137.76
2022-11-16,137.76
2022-11-17,137.41
2022-11-18,137.76
2022-11-21,134.69
2022-11-22,134.69
2022-11-23,130.95
2022-11-25,109.18
2022-11-28,103.06
2022-11-29,100.34
2022-11-30,130.61
2022-12-01,131.29
2022-12-02,155.1
2022-12-05,155.1
2022-12-06,138.1
2022-12-07,172.11
2022-12-08,144.9
2022-12-09,176.19
2022-12-12,406.8
2022-12-13,342.18
2022-12-14,342.18
2022-12-15,375.85
2022-12-16,384.35
2022-12-19,376.19
2022-12-20,376.19
2022-12-21,376.19
2022-12-22,307.48
2022-12-23,239.8
2022-12-27,202.72
2022-12-28,146.6
2022-12-29,171.09
2022-12-30,168.71
2023-01-03,168.71
2023-01-04,168.03
2023-01-05,212.93
2023-01-06,240.14
2023-01-09,240.14
2023-01-10,172.11
2023-01-11,240.14
2023-01-12,131.29
2023-01-13,213.61
2023-01-17,209.18
2023-01-18,205.44
2023-01-19,240.14
2023-01-20,73.47
2023-01-23,75.17
2023-01-24,75.17
2023-01-25,75.17
2023-01-26,75.17
2023-01-27,75.17
2023-01-30,75.17
2023-02-01,75.17
2023-02-02,75.17
