date,pct_chg
2022-02-04,1.96
2022-02-07,4.9
2022-02-08,3.92
2022-02-09,4.9
2022-02-10,12.75
2022-02-11,17.65
2022-02-14,11.76
2022-02-15,11.76
2022-02-16,15.69
2022-02-17,11.76
2022-02-18,9.8
2022-02-22,0.0
2022-02-23,-4.71
2022-02-24,-12.65
2022-02-25,-6.86
2022-02-28,-8.53
2022-03-01,-10.78
2022-03-02,-8.82
2022-03-03,-8.33
2022-03-04,0.0
2022-03-07,5.88
2022-03-08,15.98
2022-03-09,17.65
2022-03-10,12.75
2022-03-11,6.86
2022-03-14,-4.9
2022-03-15,2.45
2022-03-16,7.84
2022-03-17,66.67
2022-03-18,69.61
2022-03-21,71.57
2022-03-22,47.06
2022-03-23,52.94
2022-03-24,51.96
2022-03-25,48.04
2022-03-28,37.25
2022-03-29,37.25
2022-03-30,39.22
2022-03-31,26.47
2022-04-01,31.37
2022-04-04,29.41
2022-04-05,17.65
2022-04-06,10.29
2022-04-07,25.49
2022-04-08,26.47
2022-04-11,36.27
2022-04-12,33.33
2022-04-13,32.35
2022-04-14,28.43
2022-04-18,28.43
2022-04-19,33.33
2022-04-20,30.39
2022-04-21,21.57
2022-04-22,-0.98
2022-04-25,0.98
2022-04-26,0.0
2022-04-27,-2.94
2022-04-28,-3.92
2022-04-29,-4.9
2022-05-02,-6.18
2022-05-03,0.0
2022-05-04,0.98
2022-05-05,-2.94
2022-05-06,-2.84
2022-05-09,-14.02
2022-05-10,-23.53
2022-05-11,-21.08
2022-05-12,-28.53
2022-05-13,-32.35
2022-05-16,-37.16
2022-05-17,-34.41
2022-05-18,-32.35
2022-05-19,-28.63
2022-05-20,-31.37
2022-05-23,-25.69
2022-05-24,-38.24
2022-05-25,-32.35
2022-05-26,-36.08
2022-05-27,-33.73
2022-05-31,-35.59
2022-06-01,-36.18
2022-06-02,-35.29
2022-06-03,-38.04
2022-06-06,-36.47
2022-06-07,-38.73
2022-06-08,-38.24
2022-06-09,-33.33
2022-06-10,-31.67
2022-06-13,-34.8
2022-06-14,-39.22
2022-06-15,-33.82
2022-06-16,-32.35
2022-06-17,-33.33
2022-06-21,-31.76
2022-06-22,-27.65
2022-06-23,-31.37
2022-06-24,-33.43
2022-06-27,-38.24
2022-06-28,-38.24
2022-06-29,-37.55
2022-06-30,-38.63
2022-07-01,-38.53
2022-07-05,-42.16
2022-07-06,-42.45
2022-07-07,-43.73
2022-07-08,-43.14
2022-07-11,-45.78
2022-07-12,-45.98
2022-07-13,-48.04
2022-07-14,-50.0
2022-07-15,-47.45
2022-07-18,-47.65
2022-07-19,-47.06
2022-07-20,-47.06
2022-07-21,-47.06
2022-07-22,-46.08
2022-07-25,-47.06
2022-07-26,-50.88
2022-07-27,-51.96
2022-07-28,-51.96
2022-07-29,-51.76
2022-08-01,-48.53
2022-08-02,-48.33
