date,pct_chg
2022-02-04,1.09
2022-02-07,2.63
2022-02-08,2.63
2022-02-09,1.53
2022-02-10,3.28
2022-02-11,3.06
2022-02-14,-1.53
2022-02-15,0.0
2022-02-16,-0.44
2022-02-17,-0.44
2022-02-18,0.44
2022-02-22,-1.53
2022-02-23,-4.16
2022-02-24,-5.25
2022-02-25,-2.63
2022-02-28,-4.16
2022-03-01,-6.78
2022-03-02,-4.33
2022-03-03,-7.22
2022-03-04,-5.03
2022-03-07,-10.72
2022-03-08,-7.66
2022-03-09,-3.72
2022-03-10,-4.81
2022-03-11,-9.54
2022-03-14,-14.44
2022-03-15,-14.22
2022-03-16,-11.82
2022-03-17,-9.19
2022-03-18,-5.91
2022-03-21,-1.53
2022-03-22,-3.5
2022-03-23,-3.94
2022-03-24,-7.0
2022-03-25,-7.88
2022-03-28,-4.38
2022-03-29,-0.66
2022-03-30,-1.75
2022-03-31,-1.97
2022-04-01,-0.22
2022-04-04,4.3
2022-04-05,7.0
2022-04-06,5.25
2022-04-07,4.6
2022-04-08,5.47
2022-04-11,8.32
2022-04-12,10.5
2022-04-13,10.28
2022-04-14,10.28
2022-04-18,10.28
2022-04-19,7.22
2022-04-20,6.13
2022-04-21,1.31
2022-04-22,-4.6
2022-04-25,-5.69
2022-04-26,-4.81
2022-04-27,0.88
2022-04-28,0.44
2022-04-29,-1.75
2022-05-02,-4.6
2022-05-03,-2.19
2022-05-04,1.75
2022-05-05,0.51
2022-05-06,-3.94
2022-05-09,-8.1
2022-05-10,-7.22
2022-05-11,-7.44
2022-05-12,-10.28
2022-05-13,-7.66
2022-05-16,-7.44
2022-05-17,-5.91
2022-05-18,-8.1
2022-05-19,-5.03
2022-05-20,-5.69
2022-05-23,-4.81
2022-05-24,-8.97
2022-05-25,-9.41
2022-05-26,-8.53
2022-05-27,-8.42
2022-05-31,-8.21
2022-06-01,-8.97
2022-06-02,-7.55
2022-06-03,-10.94
2022-06-06,-11.16
2022-06-07,-10.07
2022-06-08,-9.41
2022-06-09,-9.19
2022-06-10,-11.16
2022-06-13,-16.63
2022-06-14,-17.94
2022-06-15,-17.29
2022-06-16,-17.94
2022-06-17,-18.6
2022-06-21,-17.94
2022-06-22,-17.51
2022-06-23,-16.41
2022-06-24,-15.75
2022-06-27,-15.97
2022-06-28,-16.79
2022-06-29,-16.96
2022-06-30,-13.57
2022-07-01,-16.85
2022-07-05,-16.85
2022-07-06,-17.07
2022-07-07,-15.97
2022-07-08,-12.69
2022-07-11,-14.22
2022-07-12,-14.0
2022-07-13,-13.35
2022-07-14,-7.0
2022-07-15,-7.22
2022-07-18,-7.0
2022-07-19,-7.44
2022-07-20,-2.84
2022-07-21,0.98
2022-07-22,0.88
2022-07-25,0.88
2022-07-26,1.97
2022-07-27,5.14
2022-07-28,7.22
2022-07-29,7.88
2022-08-01,8.97
2022-08-02,5.47
2022-08-03,7.44
2022-08-04,26.04
2022-08-05,36.76
2022-08-08,31.29
2022-08-09,30.2
2022-08-10,40.26
2022-08-11,26.91
2022-08-12,38.29
2022-08-15,29.32
2022-08-16,15.75
2022-08-17,9.85
2022-08-18,12.25
2022-08-19,16.19
2022-08-22,12.04
2022-08-23,16.41
2022-08-24,20.57
2022-08-25,31.29
2022-08-26,22.54
2022-08-29,21.31
2022-08-30,18.62
2022-08-31,17.94
2022-09-01,16.63
2022-09-02,15.32
2022-09-06,14.66
2022-09-07,17.07
2022-09-08,15.54
2022-09-09,18.16
2022-09-12,16.19
2022-09-13,11.82
2022-09-14,9.41
2022-09-15,7.44
2022-09-16,7.0
2022-09-19,5.25
2022-09-20,1.53
2022-09-21,0.88
2022-09-22,2.08
2022-09-23,-0.22
2022-09-26,-1.53
2022-09-27,-0.44
2022-09-28,17.07
2022-09-29,13.79
2022-09-30,13.79
2022-10-03,20.79
2022-10-04,21.44
2022-10-05,16.85
2022-10-06,15.65
2022-10-07,12.25
2022-10-10,10.94
2022-10-11,8.32
2022-10-12,7.88
2022-10-13,9.23
2022-10-14,6.56
2022-10-17,10.28
2022-10-18,10.72
2022-10-19,7.88
2022-10-20,9.41
2022-10-21,13.79
2022-10-24,16.41
2022-10-25,16.85
2022-10-26,18.6
2022-10-27,32.82
2022-10-28,33.92
2022-10-31,39.17
2022-11-01,39.83
2022-11-02,40.04
2022-11-03,39.51
2022-11-04,36.76
2022-11-07,34.57
2022-11-08,35.23
2022-11-09,32.6
2022-11-10,37.09
2022-11-11,36.32
2022-11-14,37.42
2022-11-15,28.01
2022-11-16,24.29
2022-11-17,14.22
2022-11-18,18.16
2022-11-21,13.57
2022-11-22,11.82
2022-11-23,15.32
2022-11-25,15.1
2022-11-28,13.79
2022-11-29,15.32
2022-11-30,17.07
2022-12-01,15.53
2022-12-02,18.16
2022-12-05,22.54
2022-12-06,33.26
2022-12-07,36.0
2022-12-08,32.82
2022-12-09,30.2
2022-12-12,25.82
2022-12-13,24.95
2022-12-14,24.73
2022-12-15,22.63
2022-12-16,26.26
2022-12-19,21.44
2022-12-20,17.94
2022-12-21,19.69
2022-12-22,20.35
2022-12-23,21.44
2022-12-27,20.35
2022-12-28,20.79
2022-12-29,21.84
2022-12-30,20.57
2023-01-03,23.41
2023-01-04,20.79
2023-01-05,19.26
2023-01-06,26.92
2023-01-09,32.39
2023-01-10,37.86
2023-01-11,68.49
2023-01-12,80.74
2023-01-13,79.21
2023-01-17,62.36
2023-01-18,70.24
2023-01-19,64.11
2023-01-20,70.24
2023-01-23,99.12
2023-01-24,104.6
2023-01-25,131.07
2023-01-26,170.9
2023-01-27,195.4
2023-01-30,219.47
2023-01-31,166.74
2023-02-01,152.95
2023-02-02,155.14
2023-02-03,189.72
