date,pct_chg
2022-02-04,-5.71
2022-02-07,-8.06
2022-02-08,-6.84
2022-02-09,-3.96
2022-02-10,-4.96
2022-02-11,-5.6
2022-02-14,-6.54
2022-02-15,-2.54
2022-02-16,0.75
2022-02-17,-6.94
2022-02-18,-8.04
2022-02-22,-11.33
2022-02-23,-13.14
2022-02-24,-11.62
2022-02-25,-10.74
2022-02-28,-10.4
2022-03-01,-15.75
2022-03-02,-12.6
2022-03-03,-16.71
2022-03-04,-23.77
2022-03-07,-27.11
2022-03-08,-24.98
2022-03-09,-21.92
2022-03-10,-19.48
2022-03-11,-20.1
2022-03-14,-22.16
2022-03-15,-19.3
2022-03-16,-14.47
2022-03-17,-14.18
2022-03-18,-9.61
2022-03-21,-13.61
2022-03-22,-13.0
2022-03-23,-16.37
2022-03-24,-16.17
2022-03-25,-16.59
2022-03-28,-14.45
2022-03-29,-10.29
2022-03-30,-12.65
2022-03-31,-15.02
2022-04-01,-14.12
2022-04-04,-10.97
2022-04-05,-14.28
2022-04-06,-16.73
2022-04-07,-16.82
2022-04-08,-18.13
2022-04-11,-19.18
2022-04-12,-17.63
2022-04-13,-15.62
2022-04-14,-15.8
2022-04-18,-15.88
2022-04-19,-9.87
2022-04-20,-10.09
2022-04-21,-10.24
2022-04-22,-14.96
2022-04-25,-13.54
2022-04-26,-18.61
2022-04-27,-17.75
2022-04-28,-15.16
2022-04-29,-17.51
2022-05-02,-15.23
2022-05-03,-15.74
2022-05-04,-13.37
2022-05-05,-19.61
2022-05-06,-23.44
2022-05-09,-26.43
2022-05-10,-26.58
2022-05-11,-28.87
2022-05-12,-26.52
2022-05-13,-23.48
2022-05-16,-25.81
2022-05-17,-24.2
2022-05-18,-29.45
2022-05-19,-29.6
2022-05-20,-20.76
2022-05-23,-22.98
2022-05-24,-25.21
2022-05-25,-23.14
2022-05-26,-18.62
2022-05-27,-15.61
2022-05-31,-16.64
2022-06-01,-18.97
2022-06-02,-15.36
2022-06-03,-16.01
2022-06-06,-14.66
2022-06-07,-15.42
2022-06-08,-14.28
2022-06-09,-14.54
2022-06-10,-16.2
2022-06-13,-22.13
2022-06-14,-21.86
2022-06-15,-19.95
2022-06-16,-24.99
2022-06-17,-22.3
2022-06-21,-19.84
2022-06-22,-20.84
2022-06-23,-19.02
2022-06-24,-15.16
2022-06-27,-16.7
2022-06-28,-18.21
2022-06-29,-19.22
2022-06-30,-20.74
2022-07-01,-24.05
2022-07-05,-18.45
2022-07-06,-19.26
2022-07-07,-15.51
2022-07-08,-16.32
2022-07-11,-18.78
2022-07-12,-18.12
2022-07-13,-15.89
2022-07-14,-17.63
2022-07-15,-15.96
2022-07-18,-14.35
2022-07-19,-10.11
2022-07-20,-7.89
2022-07-21,-7.3
2022-07-22,-8.76
2022-07-25,-9.62
2022-07-26,-14.33
2022-07-27,-12.66
2022-07-28,-10.79
2022-07-29,-2.78
2022-08-01,-2.53
2022-08-02,-4.55
2022-08-03,-1.86
2022-08-04,-2.73
2022-08-05,-1.5
2022-08-08,-0.62
2022-08-09,-3.05
2022-08-10,1.58
2022-08-11,2.14
2022-08-12,3.49
2022-08-15,5.12
2022-08-16,6.05
2022-08-17,4.52
2022-08-18,4.65
2022-08-19,1.6
2022-08-22,1.93
2022-08-23,1.33
2022-08-24,0.65
2022-08-25,3.35
2022-08-26,1.96
2022-08-29,1.78
2022-08-30,0.75
2022-08-31,-0.18
2022-09-01,-0.71
2022-09-02,-1.5
2022-09-06,0.77
2022-09-07,5.36
2022-09-08,8.3
2022-09-09,8.24
2022-09-12,11.03
2022-09-13,3.58
2022-09-14,3.79
2022-09-15,5.32
2022-09-16,4.67
2022-09-19,6.45
2022-09-20,4.58
2022-09-21,2.34
2022-09-22,-0.08
2022-09-23,-0.67
2022-09-26,-2.51
2022-09-27,-0.97
2022-09-28,2.47
2022-09-29,0.29
2022-09-30,-2.96
2022-10-03,0.26
2022-10-04,3.69
2022-10-05,5.86
2022-10-06,5.67
2022-10-07,3.95
2022-10-10,2.81
2022-10-11,4.77
2022-10-12,5.05
2022-10-13,6.53
2022-10-14,5.86
2022-10-17,9.68
2022-10-18,12.08
2022-10-19,10.06
2022-10-20,7.96
2022-10-21,12.77
2022-10-24,12.25
2022-10-25,14.6
2022-10-26,12.19
2022-10-27,11.73
2022-10-28,7.2
2022-10-31,8.62
2022-11-01,12.67
2022-11-02,7.59
2022-11-03,10.56
2022-11-04,9.77
2022-11-07,6.21
2022-11-08,3.48
2022-11-09,2.35
2022-11-10,8.87
2022-11-11,7.12
2022-11-14,1.27
2022-11-15,7.8
2022-11-16,7.71
2022-11-17,9.56
2022-11-18,16.53
2022-11-21,13.11
2022-11-22,14.89
2022-11-23,17.58
2022-11-25,18.32
2022-11-28,19.04
2022-11-29,20.66
2022-11-30,23.82
2022-12-01,21.19
2022-12-02,20.85
2022-12-05,17.06
2022-12-06,16.82
2022-12-07,17.29
2022-12-08,18.21
2022-12-09,15.81
2022-12-12,17.72
2022-12-13,18.01
2022-12-14,21.07
2022-12-15,17.22
2022-12-16,14.7
2022-12-19,13.87
2022-12-20,12.7
2022-12-21,18.65
2022-12-22,20.64
2022-12-23,21.33
2022-12-27,23.18
2022-12-28,21.43
2022-12-29,24.17
2022-12-30,23.91
2023-01-03,20.82
2023-01-04,21.04
2023-01-05,22.64
2023-01-06,23.41
2023-01-09,25.98
2023-01-10,26.03
2023-01-11,27.41
2023-01-12,29.36
2023-01-13,30.66
2023-01-17,30.37
2023-01-18,30.48
2023-01-19,29.42
2023-01-20,29.75
2023-01-23,31.08
2023-01-24,31.22
2023-01-25,30.54
2023-01-26,30.69
2023-01-27,32.39
2023-01-30,30.48
2023-01-31,32.7
2023-02-01,32.98
2023-02-02,30.79
2023-02-03,28.62
