date,pct_chg
2022-02-02,0.94
2022-02-03,-6.01
2022-02-04,-7.98
2022-02-07,6.2
2022-02-08,-3.19
2022-02-09,-3.19
2022-02-10,-3.19
2022-02-11,1.41
2022-02-14,-1.41
2022-02-15,-1.31
2022-02-16,-0.94
2022-02-17,-0.94
2022-02-18,-0.94
2022-02-22,12.58
2022-02-23,6.1
2022-02-24,-3.66
2022-02-25,-2.16
2022-02-28,10.89
2022-03-01,10.89
2022-03-02,22.35
2022-03-03,12.77
2022-03-04,12.77
2022-03-07,12.77
2022-03-08,19.25
2022-03-09,10.33
2022-03-10,10.33
2022-03-11,10.33
2022-03-14,7.51
2022-03-15,2.35
2022-03-16,3.47
2022-03-17,-0.19
2022-03-18,7.04
2022-03-21,14.55
2022-03-22,22.07
2022-03-23,28.64
2022-03-24,28.64
2022-03-25,16.62
2022-03-28,34.74
2022-03-29,34.27
2022-03-30,40.75
2022-03-31,33.8
2022-04-01,33.8
2022-04-04,33.8
2022-04-05,32.39
2022-04-06,35.31
2022-04-07,35.31
2022-04-08,30.14
2022-04-11,40.14
2022-04-12,47.42
2022-04-13,50.7
2022-04-14,54.93
2022-04-18,50.33
2022-04-19,68.54
2022-04-20,68.54
2022-04-21,69.01
2022-04-22,69.01
2022-04-25,56.81
2022-04-26,54.93
2022-04-27,54.93
2022-04-28,47.89
2022-04-29,47.89
2022-05-02,40.94
2022-05-03,44.6
2022-05-04,44.13
2022-05-05,46.1
2022-05-06,46.1
2022-05-09,39.44
2022-05-10,34.27
2022-05-11,36.15
2022-05-12,18.69
2022-05-13,33.05
2022-05-16,34.74
2022-05-17,42.16
2022-05-18,46.95
2022-05-19,47.71
2022-05-20,40.85
2022-05-23,51.46
2022-05-24,51.36
2022-05-25,53.15
2022-05-26,53.15
2022-05-27,49.72
2022-05-31,50.23
2022-06-01,50.23
2022-06-02,39.91
2022-06-03,39.91
2022-06-06,39.91
2022-06-07,39.91
2022-06-08,46.85
2022-06-09,46.85
2022-06-10,46.85
2022-06-13,46.85
2022-06-14,40.85
2022-06-15,38.5
2022-06-16,21.5
2022-06-17,33.33
2022-06-21,20.19
2022-06-22,10.8
2022-06-23,9.39
2022-06-24,15.02
2022-06-27,15.49
2022-06-28,15.49
2022-06-29,24.51
2022-06-30,23.0
2022-07-01,23.0
2022-07-05,23.0
2022-07-06,8.45
2022-07-07,14.55
2022-07-08,14.55
2022-07-11,15.02
2022-07-12,15.21
2022-07-13,15.21
2022-07-14,9.86
2022-07-15,9.86
2022-07-18,20.75
2022-07-19,20.75
2022-07-20,18.12
2022-07-21,17.84
2022-07-22,17.84
2022-07-25,17.84
2022-07-26,22.07
2022-07-27,22.07
2022-07-28,30.7
2022-07-29,30.7
2022-08-01,36.62
2022-08-02,45.45
2022-08-03,41.13
2022-08-04,40.28
2022-08-05,40.28
2022-08-08,40.85
2022-08-09,40.55
2022-08-10,32.21
2022-08-11,46.01
2022-08-12,43.66
2022-08-15,43.66
2022-08-16,46.38
2022-08-17,46.48
2022-08-18,55.87
2022-08-19,53.05
2022-08-22,59.62
2022-08-23,63.19
2022-08-24,67.42
2022-08-25,81.22
2022-08-26,83.94
2022-08-29,68.08
2022-08-30,68.08
2022-08-31,68.08
2022-09-01,65.26
2022-09-02,51.64
2022-09-06,61.27
2022-09-07,61.27
2022-09-08,54.93
2022-09-09,57.75
2022-09-12,75.77
2022-09-13,75.77
2022-09-14,61.03
2022-09-15,49.48
2022-09-16,59.62
2022-09-19,59.62
2022-09-20,59.62
2022-09-21,51.74
2022-09-22,51.17
2022-09-23,50.23
2022-09-26,50.23
2022-09-27,50.23
2022-09-28,50.23
2022-09-29,44.23
2022-09-30,40.85
2022-10-03,41.31
2022-10-04,41.31
2022-10-05,39.91
2022-10-06,44.13
2022-10-07,44.6
2022-10-10,59.53
2022-10-11,55.87
2022-10-12,55.87
2022-10-13,55.87
2022-10-14,46.95
2022-10-17,57.75
2022-10-18,57.75
2022-10-19,45.07
2022-10-20,45.07
2022-10-21,45.07
2022-10-24,47.42
2022-10-25,41.78
2022-10-26,31.83
2022-10-27,33.8
2022-10-28,33.8
2022-10-31,36.15
2022-11-01,38.69
2022-11-02,38.69
2022-11-03,38.69
2022-11-04,42.25
2022-11-07,42.25
2022-11-08,42.25
2022-11-09,42.72
2022-11-10,39.44
2022-11-11,38.03
2022-11-14,38.03
2022-11-15,27.55
2022-11-16,22.07
2022-11-17,19.72
2022-11-18,19.72
2022-11-21,30.61
2022-11-22,24.6
2022-11-23,26.76
2022-11-25,26.76
2022-11-28,7.98
2022-11-29,7.98
2022-11-30,7.98
2022-12-01,17.37
2022-12-05,25.66
2022-12-06,25.66
2022-12-07,15.77
2022-12-08,15.77
2022-12-09,17.84
2022-12-12,17.84
2022-12-13,24.98
2022-12-14,20.66
2022-12-15,21.69
2022-12-16,21.69
2022-12-19,16.17
2022-12-20,12.68
2022-12-21,12.68
2022-12-22,12.68
2022-12-23,12.68
2022-12-27,9.63
2022-12-28,7.98
2022-12-29,7.98
2022-12-30,3.99
2023-01-03,6.85
2023-01-05,3.29
2023-01-06,3.29
2023-01-09,3.29
2023-01-10,3.29
2023-01-11,3.29
2023-01-12,5.07
2023-01-13,5.07
2023-01-17,5.16
2023-01-18,5.82
2023-01-19,0.94
2023-01-20,8.17
2023-01-23,9.39
2023-01-24,9.39
2023-01-25,6.76
2023-01-26,2.72
2023-01-27,0.99
2023-01-30,1.41
2023-01-31,3.66
2023-02-01,4.13
2023-02-02,7.98
2023-02-03,5.16
