date,pct_chg
2022-02-04,-0.38
2022-02-07,-0.19
2022-02-08,-0.25
2022-02-09,0.83
2022-02-10,-0.85
2022-02-11,-2.03
2022-02-14,-3.64
2022-02-15,-2.88
2022-02-16,-3.52
2022-02-17,-3.58
2022-02-18,-3.03
2022-02-22,-3.22
2022-02-23,-3.26
2022-02-24,-6.27
2022-02-25,-1.93
2022-02-28,-3.03
2022-03-01,-4.65
2022-03-02,-5.25
2022-03-03,-6.56
2022-03-04,-9.11
2022-03-07,-14.53
2022-03-08,-13.61
2022-03-09,-9.13
2022-03-10,-13.45
2022-03-11,-14.71
2022-03-14,-12.73
2022-03-15,-11.17
2022-03-16,-7.32
2022-03-17,-5.14
2022-03-18,-3.72
2022-03-21,-4.6
2022-03-22,-2.91
2022-03-23,-4.05
2022-03-24,-2.97
2022-03-25,-1.6
2022-03-28,-2.02
2022-03-29,0.12
2022-03-30,-0.58
2022-03-31,-1.35
2022-04-01,-0.39
2022-04-04,0.0
2022-04-05,1.08
2022-04-06,2.88
2022-04-07,2.22
2022-04-08,1.99
2022-04-11,1.31
2022-04-12,0.38
2022-04-13,0.61
2022-04-14,1.6
2022-04-18,0.62
2022-04-19,-1.1
2022-04-20,-0.35
2022-04-21,-1.22
2022-04-22,-2.51
2022-04-25,-0.64
2022-04-26,-2.42
2022-04-27,-3.2
2022-04-28,-2.08
2022-04-29,-3.52
2022-05-02,-4.04
2022-05-03,-2.89
2022-05-04,-2.48
2022-05-05,-5.27
2022-05-06,-8.61
2022-05-09,-10.34
2022-05-10,-10.36
2022-05-11,-11.39
2022-05-12,-11.47
2022-05-13,-7.83
2022-05-16,-7.02
2022-05-17,-6.58
2022-05-18,-10.32
2022-05-19,-12.78
2022-05-20,-11.49
2022-05-23,-10.64
2022-05-24,-10.36
2022-05-25,-10.59
2022-05-26,-10.54
2022-05-27,-9.73
2022-05-31,-9.21
2022-06-01,-10.85
2022-06-02,-8.67
2022-06-03,-10.12
2022-06-06,-9.19
2022-06-07,-9.18
2022-06-08,-11.65
2022-06-09,-12.8
2022-06-10,-14.55
2022-06-13,-16.63
2022-06-14,-18.58
2022-06-15,-16.64
2022-06-16,-17.31
2022-06-17,-16.58
2022-06-21,-15.36
2022-06-22,-14.9
2022-06-23,-14.83
2022-06-24,-11.23
2022-06-27,-12.01
2022-06-28,-12.92
2022-06-29,-14.94
2022-06-30,-15.45
2022-07-01,-16.17
2022-07-05,-16.61
2022-07-06,-15.72
2022-07-07,-16.67
2022-07-08,-16.59
2022-07-11,-17.12
2022-07-12,-16.58
2022-07-13,-15.59
2022-07-14,-16.29
2022-07-15,-15.15
2022-07-18,-15.55
2022-07-19,-13.24
2022-07-20,-14.67
2022-07-21,-13.29
2022-07-22,-13.05
2022-07-25,-12.39
2022-07-26,-12.12
2022-07-27,-9.88
2022-07-28,-7.52
2022-07-29,-7.06
2022-08-01,-6.66
2022-08-02,-8.13
2022-08-03,-7.42
2022-08-04,-7.74
2022-08-05,-8.53
2022-08-08,-8.57
2022-08-09,-8.85
2022-08-10,-7.26
2022-08-11,-8.77
2022-08-12,-8.24
2022-08-15,-8.16
2022-08-16,-7.94
2022-08-17,-8.15
2022-08-18,-8.36
2022-08-19,-8.65
2022-08-22,-9.84
2022-08-23,-10.25
2022-08-24,-10.16
2022-08-25,-10.7
2022-08-26,-12.8
2022-08-29,-12.94
2022-08-30,-13.17
2022-08-31,-14.34
2022-09-01,-14.7
2022-09-02,-15.58
2022-09-06,-15.33
2022-09-07,-14.74
2022-09-08,-14.63
2022-09-09,-13.46
2022-09-12,-12.07
2022-09-13,-14.72
2022-09-14,-14.5
2022-09-15,-15.4
2022-09-16,-15.55
2022-09-19,-15.02
2022-09-20,-15.84
2022-09-21,-15.77
2022-09-22,-16.51
2022-09-23,-18.96
2022-09-26,-18.92
2022-09-27,-18.87
2022-09-28,-18.0
2022-09-29,-17.48
2022-09-30,-17.54
2022-10-03,-17.2
2022-10-04,-14.48
2022-10-05,-15.71
2022-10-06,-18.13
2022-10-07,-18.76
2022-10-10,-20.33
2022-10-11,-20.37
2022-10-12,-19.24
2022-10-13,-18.84
2022-10-14,-19.66
2022-10-17,-18.2
2022-10-18,-17.96
2022-10-19,-19.08
2022-10-20,-20.55
2022-10-21,-20.26
2022-10-24,-19.47
2022-10-25,-17.95
2022-10-26,-18.52
2022-10-27,-19.81
2022-10-28,-18.41
2022-10-31,-18.92
2022-11-01,-18.61
2022-11-02,-19.73
2022-11-03,-20.86
2022-11-04,-17.22
2022-11-07,-17.72
2022-11-08,-17.67
2022-11-09,-18.94
2022-11-10,-14.23
2022-11-11,-15.55
2022-11-14,-15.94
2022-11-15,-15.67
2022-11-16,-14.77
2022-11-17,-14.76
2022-11-18,-13.74
2022-11-21,-13.41
2022-11-22,-12.5
2022-11-23,-11.13
2022-11-25,-10.6
2022-11-28,-11.25
2022-11-29,-11.4
2022-11-30,-9.41
2022-12-01,-7.61
2022-12-02,-7.06
2022-12-05,-8.48
2022-12-06,-8.27
2022-12-07,-8.42
2022-12-08,-9.1
2022-12-09,-10.08
2022-12-12,-9.49
2022-12-13,-8.85
2022-12-14,-8.29
2022-12-15,-11.36
2022-12-16,-13.15
2022-12-19,-12.68
2022-12-20,-13.35
2022-12-21,-12.24
2022-12-22,-12.83
2022-12-23,-12.53
2022-12-27,-12.78
2022-12-28,-13.47
2022-12-29,-12.87
2022-12-30,-13.47
2023-01-03,-14.56
2023-01-04,-12.71
2023-01-05,-13.88
2023-01-06,-13.12
2023-01-09,-13.36
2023-01-10,-12.98
2023-01-11,-11.58
2023-01-12,-12.3
2023-01-13,-11.03
2023-01-17,-8.83
2023-01-18,-10.93
2023-01-19,-10.36
2023-01-20,-9.7
2023-01-23,-9.8
2023-01-24,-10.5
2023-01-25,-10.47
2023-01-26,-15.47
2023-01-27,-16.37
2023-01-30,-16.92
2023-01-31,-14.12
2023-02-01,-13.63
2023-02-02,-14.34
2023-02-03,-14.98
