date,pct_chg
2022-02-04,2.97
2022-02-07,4.83
2022-02-08,8.55
2022-02-09,13.38
2022-02-10,13.75
2022-02-11,9.67
2022-02-14,11.52
2022-02-15,15.24
2022-02-16,15.61
2022-02-17,12.64
2022-02-18,4.83
2022-02-22,4.46
2022-02-23,1.49
2022-02-24,3.35
2022-02-25,-2.23
2022-02-28,-2.23
2022-03-01,-4.46
2022-03-02,-2.6
2022-03-03,-5.95
2022-03-04,-8.92
2022-03-07,-8.92
2022-03-08,-8.18
2022-03-09,-1.86
2022-03-10,-2.97
2022-03-11,-5.58
2022-03-14,-14.13
2022-03-15,-14.5
2022-03-16,-11.52
2022-03-17,-2.6
2022-03-18,1.86
2022-03-21,4.46
2022-03-22,10.78
2022-03-23,7.43
2022-03-24,4.09
2022-03-25,4.46
2022-03-28,-3.72
2022-03-29,-6.32
2022-03-30,-5.58
2022-03-31,-7.06
2022-04-01,-5.58
2022-04-04,-7.43
2022-04-05,-11.15
2022-04-06,-12.27
2022-04-07,-13.75
2022-04-08,-15.99
2022-04-11,-16.36
2022-04-12,-15.99
2022-04-13,-14.5
2022-04-14,-13.75
2022-04-18,-19.33
2022-04-19,-13.38
2022-04-20,-13.01
2022-04-21,-15.61
2022-04-22,-14.13
2022-04-25,-16.36
2022-04-26,-15.99
2022-04-27,-15.24
2022-04-28,-15.24
2022-04-29,-13.75
2022-05-02,-6.69
2022-05-03,-2.6
2022-05-04,-7.81
2022-05-05,-5.2
2022-05-06,-4.09
2022-05-09,-4.46
2022-05-10,-12.64
2022-05-11,-14.13
2022-05-12,-7.06
2022-05-13,-9.29
2022-05-16,-11.15
2022-05-17,-7.06
2022-05-18,-14.5
2022-05-19,-10.04
2022-05-20,-11.52
2022-05-23,-12.64
2022-05-24,-17.1
2022-05-25,-13.01
2022-05-26,-11.52
2022-05-27,-9.29
2022-05-31,-9.67
2022-06-01,-8.92
2022-06-02,-9.29
2022-06-03,-11.52
2022-06-06,-11.15
2022-06-07,-11.15
2022-06-08,-7.43
2022-06-09,-8.92
2022-06-10,-10.78
2022-06-13,-14.31
2022-06-14,-15.61
2022-06-15,-18.22
2022-06-16,-22.68
2022-06-17,-20.07
2022-06-21,-13.75
2022-06-22,-13.38
2022-06-23,-15.61
2022-06-24,-30.86
2022-06-27,-24.91
2022-06-28,-24.54
2022-06-29,-24.54
2022-06-30,-24.91
2022-07-01,-23.05
2022-07-05,-24.91
2022-07-06,-24.91
2022-07-07,-53.16
2022-07-08,-49.81
2022-07-11,-51.67
2022-07-12,-52.42
2022-07-13,-50.19
2022-07-14,-52.79
2022-07-15,-52.42
2022-07-18,-52.04
2022-07-19,-52.04
2022-07-20,-51.86
2022-07-21,-49.07
2022-07-22,-43.12
2022-07-25,-39.41
2022-07-26,-43.49
2022-07-27,-43.87
2022-07-28,-40.15
2022-07-29,-38.66
2022-08-01,-42.38
2022-08-02,-43.12
2022-08-03,-40.15
2022-08-04,-36.8
2022-08-05,-37.17
2022-08-08,-33.83
2022-08-09,-37.55
2022-08-10,-35.69
2022-08-11,-29.37
2022-08-12,-26.77
2022-08-15,-32.71
2022-08-16,-31.6
2022-08-17,-31.97
2022-08-18,-32.71
2022-08-19,-36.8
2022-08-22,-36.43
2022-08-23,-34.76
2022-08-24,-32.71
2022-08-25,-31.23
2022-08-26,-35.32
2022-08-29,-35.69
2022-08-30,-34.76
2022-08-31,-34.2
2022-09-01,-34.57
2022-09-02,-34.57
2022-09-06,-48.33
2022-09-07,-47.21
2022-09-08,-42.01
2022-09-09,-43.49
2022-09-12,-44.61
2022-09-13,-45.35
2022-09-14,-40.89
2022-09-15,-46.1
2022-09-16,-46.47
2022-09-19,-47.58
2022-09-20,-46.1
2022-09-21,-45.72
2022-09-22,-49.44
2022-09-23,-54.65
2022-09-26,-55.39
2022-09-27,-55.39
2022-09-28,-52.42
2022-09-29,-53.9
2022-09-30,-53.9
2022-10-03,-53.9
2022-10-04,-55.02
2022-10-05,-56.51
2022-10-06,-50.56
2022-10-07,-51.67
2022-10-10,-46.1
2022-10-11,-47.21
2022-10-12,-47.21
2022-10-13,-42.75
2022-10-14,-43.49
2022-10-17,-44.61
2022-10-18,-44.42
2022-10-19,-45.72
2022-10-20,-45.83
2022-10-21,-44.98
2022-10-24,-48.7
2022-10-25,-47.21
2022-10-26,-47.21
2022-10-27,-55.39
2022-10-28,-54.28
2022-10-31,-56.13
2022-11-01,-55.39
2022-11-02,-55.02
2022-11-03,-54.28
2022-11-04,-56.13
2022-11-07,-56.51
2022-11-08,-53.9
2022-11-09,-54.28
2022-11-10,-55.02
2022-11-11,-57.62
2022-11-14,-56.13
2022-11-15,-57.62
2022-11-16,-55.02
2022-11-17,-56.13
2022-11-18,-57.99
2022-11-21,-56.88
2022-11-22,-57.25
2022-11-23,-56.88
2022-11-25,-56.13
2022-11-28,-55.76
2022-11-29,-55.39
2022-11-30,-55.76
2022-12-01,-55.39
2022-12-02,-44.98
2022-12-05,-51.3
2022-12-06,-47.21
2022-12-07,-48.33
2022-12-08,-46.47
2022-12-09,-46.84
2022-12-12,-44.61
2022-12-13,-46.65
2022-12-14,-41.26
2022-12-15,-43.87
2022-12-16,-43.12
2022-12-19,-43.68
2022-12-20,-44.61
2022-12-21,-42.75
2022-12-22,-43.49
2022-12-23,-42.38
2022-12-27,-43.12
2022-12-28,-42.57
2022-12-29,-39.78
2022-12-30,-41.26
2023-01-03,-44.98
2023-01-04,-46.1
2023-01-05,-47.21
2023-01-06,-46.1
2023-01-09,-39.78
2023-01-10,-40.89
2023-01-11,-41.26
2023-01-12,-39.78
2023-01-13,-39.03
2023-01-17,-39.03
2023-01-18,-41.26
2023-01-19,-42.75
2023-01-20,-42.01
2023-01-23,-42.38
2023-01-24,-43.49
2023-01-25,-43.49
2023-01-26,-46.47
2023-01-27,-45.35
2023-01-30,-47.96
2023-01-31,-49.81
2023-02-01,-49.81
2023-02-02,-49.44
2023-02-03,-49.81
