date,pct_chg
2022-02-04,1.35
2022-02-07,2.94
2022-02-08,2.86
2022-02-09,11.06
2022-02-10,18.85
2022-02-11,15.51
2022-02-14,15.59
2022-02-15,17.58
2022-02-16,19.89
2022-02-17,12.25
2022-02-18,9.86
2022-02-22,5.49
2022-02-23,2.63
2022-02-24,11.06
2022-02-25,7.64
2022-02-28,7.96
2022-03-01,11.38
2022-03-02,19.65
2022-03-03,18.7
2022-03-04,21.88
2022-03-07,22.75
2022-03-08,27.68
2022-03-09,39.7
2022-03-10,39.78
2022-03-11,37.23
2022-03-14,34.84
2022-03-15,38.58
2022-03-16,45.74
2022-03-17,54.42
2022-03-18,56.4
2022-03-21,47.65
2022-03-22,41.45
2022-03-23,35.96
2022-03-24,37.79
2022-03-25,31.58
2022-03-28,27.37
2022-03-29,31.11
2022-03-30,27.37
2022-03-31,28.48
2022-04-01,36.28
2022-04-04,37.87
2022-04-05,34.69
2022-04-06,28.08
2022-04-07,26.17
2022-04-08,25.78
2022-04-11,19.33
2022-04-12,17.66
2022-04-13,23.71
2022-04-14,21.24
2022-04-18,12.17
2022-04-19,14.64
2022-04-20,17.42
2022-04-21,6.76
2022-04-22,8.04
2022-04-25,7.24
2022-04-26,1.51
2022-04-27,0.4
2022-04-28,0.32
2022-04-29,-5.01
2022-05-02,-1.03
2022-05-03,-1.83
2022-05-04,-0.4
2022-05-05,-3.58
2022-05-06,-10.9
2022-05-09,-11.93
2022-05-10,-12.25
2022-05-11,-21.16
2022-05-12,-14.96
2022-05-13,-13.05
2022-05-16,-5.25
2022-05-17,-2.86
2022-05-18,-12.41
2022-05-19,-12.01
2022-05-20,-9.31
2022-05-23,3.34
2022-05-24,-5.17
2022-05-25,-6.13
2022-05-26,-4.93
2022-05-27,2.94
2022-05-31,-0.72
2022-06-01,-0.24
2022-06-02,9.47
2022-06-03,19.41
2022-06-06,10.02
2022-06-07,17.98
2022-06-08,16.63
2022-06-09,11.61
2022-06-10,6.21
2022-06-13,3.5
2022-06-14,6.92
2022-06-15,8.91
2022-06-16,5.25
2022-06-17,12.25
2022-06-21,19.25
2022-06-22,23.55
2022-06-23,29.36
2022-06-24,21.32
2022-06-27,16.15
2022-06-28,11.22
2022-06-29,11.54
2022-06-30,11.38
2022-07-01,12.09
2022-07-05,13.76
2022-07-06,16.63
2022-07-07,34.05
2022-07-08,35.64
2022-07-11,36.2
2022-07-12,35.32
2022-07-13,37.47
2022-07-14,38.03
2022-07-15,46.7
2022-07-18,45.58
2022-07-19,59.11
2022-07-20,64.6
2022-07-21,64.28
2022-07-22,55.93
2022-07-25,50.84
2022-07-26,50.2
2022-07-27,56.56
2022-07-28,57.2
2022-07-29,56.09
2022-08-01,47.81
2022-08-02,50.76
2022-08-03,60.3
2022-08-04,66.27
2022-08-05,74.46
2022-08-08,70.41
2022-08-09,74.94
2022-08-10,85.36
2022-08-11,83.21
2022-08-12,98.01
2022-08-15,103.42
2022-08-16,85.12
2022-08-17,85.12
2022-08-18,78.6
2022-08-19,73.43
2022-08-22,67.54
2022-08-23,70.56
2022-08-24,66.11
2022-08-25,74.14
2022-08-26,61.26
2022-08-29,61.42
2022-08-30,55.85
2022-08-31,61.18
2022-09-01,70.41
2022-09-02,71.6
2022-09-06,74.22
2022-09-07,84.01
2022-09-08,85.36
2022-09-09,95.86
2022-09-12,98.49
2022-09-13,84.09
2022-09-14,79.24
2022-09-15,80.83
2022-09-16,73.35
2022-09-19,54.26
2022-09-20,51.15
2022-09-21,21.48
2022-09-22,22.91
2022-09-23,12.09
2022-09-26,19.25
2022-09-27,25.93
2022-09-28,39.38
2022-09-29,33.57
2022-09-30,33.02
2022-10-03,30.07
2022-10-04,36.83
2022-10-05,33.41
2022-10-06,30.63
2022-10-07,24.74
2022-10-10,23.15
2022-10-11,27.68
2022-10-12,26.73
2022-10-13,28.24
2022-10-14,25.54
2022-10-17,26.81
2022-10-18,27.29
2022-10-19,24.18
2022-10-20,24.03
2022-10-21,24.34
2022-10-24,16.95
2022-10-25,22.12
2022-10-26,25.54
2022-10-27,26.81
2022-10-28,28.08
2022-10-31,24.26
2022-11-01,20.68
2022-11-02,23.31
2022-11-03,23.23
2022-11-04,22.99
2022-11-07,19.25
2022-11-08,22.35
2022-11-09,12.01
2022-11-10,24.66
2022-11-11,21.32
2022-11-14,17.26
2022-11-15,13.44
2022-11-16,5.33
2022-11-17,9.47
2022-11-18,19.81
2022-11-21,15.59
2022-11-22,14.24
2022-11-23,14.4
2022-11-25,17.18
2022-11-28,13.29
2022-11-29,18.06
2022-11-30,11.38
2022-12-01,11.06
2022-12-02,11.38
2022-12-05,8.75
2022-12-06,7.4
2022-12-07,0.95
2022-12-08,-32.7
2022-12-09,-37.47
2022-12-12,-31.19
2022-12-13,-28.16
2022-12-14,-29.36
2022-12-15,-35.48
2022-12-16,-30.31
2022-12-19,-33.73
2022-12-20,-35.88
2022-12-21,-32.46
2022-12-22,-26.17
2022-12-23,-24.18
2022-12-27,-26.89
2022-12-28,-24.03
2022-12-29,-18.06
2022-12-30,-18.38
2023-01-03,-22.28
2023-01-04,-24.42
2023-01-05,-29.36
2023-01-06,-25.38
2023-01-09,-28.08
2023-01-10,-28.8
2023-01-11,-27.29
2023-01-12,-27.76
2023-01-13,-28.4
2023-01-17,-31.74
2023-01-18,-33.33
2023-01-19,-33.33
2023-01-20,-29.04
2023-01-23,-31.82
2023-01-24,-30.63
2023-01-25,-29.36
2023-01-26,-32.46
2023-01-27,-34.21
2023-01-30,-36.91
2023-01-31,-37.55
2023-02-01,-36.6
2023-02-02,-34.77
2023-02-03,-36.28
