date,pct_chg
2022-02-04,3.73
2022-02-07,7.45
2022-02-08,6.21
2022-02-09,3.11
2022-02-10,2.48
2022-02-11,4.66
2022-02-14,1.55
2022-02-15,-2.17
2022-02-16,-3.73
2022-02-17,-5.28
2022-02-18,-7.76
2022-02-22,-7.76
2022-02-23,-12.11
2022-02-24,8.07
2022-02-25,2.48
2022-02-28,9.01
2022-03-01,6.83
2022-03-02,5.59
2022-03-03,2.48
2022-03-04,3.26
2022-03-07,0.31
2022-03-08,8.07
2022-03-09,4.97
2022-03-10,0.31
2022-03-11,0.62
2022-03-14,2.17
2022-03-15,-2.48
2022-03-16,-0.31
2022-03-17,-1.86
2022-03-18,1.86
2022-03-21,11.8
2022-03-22,3.42
2022-03-23,4.97
2022-03-24,2.48
2022-03-25,1.24
2022-03-28,0.0
2022-03-29,0.0
2022-03-30,-0.62
2022-03-31,0.31
2022-04-01,2.17
2022-04-04,6.83
2022-04-05,1.24
2022-04-06,3.11
2022-04-07,5.59
2022-04-08,4.35
2022-04-11,0.0
2022-04-12,-3.73
2022-04-13,-2.48
2022-04-14,-4.04
2022-04-18,-1.55
2022-04-19,-0.62
2022-04-20,-0.62
2022-04-21,-2.48
2022-04-22,-1.55
2022-04-25,-11.8
2022-04-26,-11.49
2022-04-27,-13.04
2022-04-28,-13.35
2022-04-29,-13.04
2022-05-02,-11.18
2022-05-03,-10.87
2022-05-04,-12.11
2022-05-05,-20.81
2022-05-06,-26.4
2022-05-09,-33.54
2022-05-10,-31.37
2022-05-11,-34.32
2022-05-12,-33.85
2022-05-13,-28.57
2022-05-16,7.14
2022-05-17,-0.62
2022-05-18,-5.59
2022-05-19,-13.98
2022-05-20,-17.39
2022-05-23,-17.7
2022-05-24,-17.39
2022-05-25,-13.04
2022-05-26,-9.32
2022-05-27,1.86
2022-05-31,-3.11
2022-06-01,-7.76
2022-06-02,-3.42
2022-06-03,-4.66
2022-06-06,-4.04
2022-06-07,-6.83
2022-06-08,-5.28
2022-06-09,-2.48
2022-06-10,3.73
2022-06-13,-12.42
2022-06-14,-14.91
2022-06-15,-17.39
2022-06-16,-17.7
2022-06-17,-18.94
2022-06-21,-22.98
2022-06-22,-24.84
2022-06-23,-26.09
2022-06-24,-22.98
2022-06-27,-23.91
2022-06-28,-25.47
2022-06-29,-25.47
2022-06-30,-23.91
2022-07-01,-21.43
2022-07-05,-21.74
2022-07-06,-21.43
2022-07-07,-24.22
2022-07-08,-22.67
2022-07-11,-24.53
2022-07-12,-24.22
2022-07-13,-22.98
2022-07-14,-23.6
2022-07-15,-20.19
2022-07-18,-23.6
2022-07-19,-19.57
2022-07-20,-19.88
2022-07-21,-16.46
2022-07-22,-21.43
2022-07-25,-22.67
2022-07-26,-24.22
2022-07-27,-21.74
2022-07-28,-21.43
2022-07-29,-22.36
2022-08-01,-21.12
2022-08-02,-23.6
2022-08-03,-21.74
2022-08-04,-18.85
2022-08-05,-15.22
2022-08-08,-10.56
2022-08-09,-13.66
2022-08-10,-18.01
2022-08-11,-14.91
2022-08-12,-18.01
2022-08-15,-19.57
2022-08-16,-24.22
2022-08-17,-25.16
2022-08-18,-23.6
2022-08-19,-26.09
2022-08-22,-27.64
2022-08-23,-27.02
2022-08-24,-24.84
2022-08-25,-27.95
2022-08-26,-25.47
2022-08-29,-25.47
2022-08-30,-27.64
2022-08-31,-26.09
2022-09-01,-27.64
2022-09-02,-28.88
2022-09-06,-30.12
2022-09-07,-28.57
2022-09-08,-27.33
2022-09-09,-27.95
2022-09-12,-28.88
2022-09-13,-28.26
2022-09-14,-28.88
2022-09-15,-28.88
2022-09-16,-30.12
2022-09-19,-30.75
2022-09-20,-31.99
2022-09-21,-32.28
2022-09-22,-33.85
2022-09-23,-34.47
2022-09-26,-35.71
2022-09-27,-35.09
2022-09-28,-35.4
2022-09-29,-36.34
2022-09-30,-36.65
2022-10-03,-35.09
2022-10-04,-31.68
2022-10-05,-32.92
2022-10-06,-28.88
2022-10-07,-33.85
2022-10-10,-35.71
2022-10-11,-37.89
2022-10-12,-37.58
2022-10-13,-38.51
2022-10-14,-38.2
2022-10-17,-34.78
2022-10-18,-37.58
2022-10-19,-38.82
2022-10-20,-38.51
2022-10-21,-36.65
2022-10-24,-39.13
2022-10-25,-38.2
2022-10-26,-37.27
2022-10-27,-37.58
2022-10-28,-37.27
2022-10-31,-37.89
2022-11-01,-37.27
2022-11-02,-38.51
2022-11-03,-37.08
2022-11-04,-39.13
2022-11-07,-37.58
2022-11-08,-38.82
2022-11-09,-38.82
2022-11-10,-36.96
2022-11-11,-35.4
2022-11-14,-34.16
2022-11-15,-36.34
2022-11-16,-37.27
2022-11-17,-37.89
2022-11-18,-39.91
2022-11-21,-40.99
2022-11-22,-45.96
2022-11-23,-44.1
2022-11-25,-42.55
2022-11-28,-40.99
2022-11-29,-44.1
2022-11-30,-43.17
2022-12-01,-42.06
2022-12-02,-44.41
2022-12-05,-44.1
2022-12-06,-45.03
2022-12-07,-42.86
2022-12-08,-44.72
2022-12-09,-44.1
2022-12-12,-46.27
2022-12-13,-42.86
2022-12-14,-45.03
2022-12-15,-46.27
2022-12-16,-45.96
2022-12-19,-47.52
2022-12-20,-47.52
2022-12-21,-47.83
2022-12-22,-52.48
2022-12-23,-50.62
2022-12-27,-52.48
2022-12-28,-53.42
2022-12-29,-53.73
2022-12-30,-54.04
2023-01-03,-52.8
2023-01-04,-52.48
2023-01-05,-53.11
2023-01-06,-51.24
2023-01-09,-51.24
2023-01-10,-50.31
2023-01-11,-50.62
2023-01-12,-50.0
2023-01-13,-50.0
2023-01-17,-46.89
2023-01-18,-47.67
2023-01-19,-48.76
2023-01-20,-49.38
2023-01-23,-47.2
2023-01-24,-45.97
2023-01-25,-46.58
2023-01-26,-45.66
2023-01-27,-46.27
2023-01-30,-46.58
2023-01-31,-45.96
2023-02-01,-44.1
2023-02-02,-41.93
2023-02-03,-43.48
