date,pct_chg
2022-02-04,-0.76
2022-02-07,-0.25
2022-02-08,0.79
2022-02-09,4.63
2022-02-10,6.23
2022-02-11,1.77
2022-02-14,0.57
2022-02-15,2.57
2022-02-16,2.51
2022-02-17,-0.69
2022-02-18,-2.22
2022-02-22,-2.15
2022-02-23,-4.73
2022-02-24,-3.9
2022-02-25,-2.93
2022-02-28,-6.72
2022-03-01,-16.93
2022-03-02,-14.12
2022-03-03,-17.98
2022-03-04,-24.73
2022-03-07,-28.22
2022-03-08,-23.13
2022-03-09,-18.6
2022-03-10,-16.63
2022-03-11,-17.53
2022-03-14,-15.36
2022-03-15,-12.71
2022-03-16,-6.52
2022-03-17,-8.33
2022-03-18,-6.45
2022-03-21,-6.83
2022-03-22,-5.62
2022-03-23,-7.07
2022-03-24,-7.97
2022-03-25,-8.22
2022-03-28,-8.59
2022-03-29,-6.69
2022-03-30,-8.35
2022-03-31,-5.32
2022-04-01,-3.96
2022-04-04,-3.14
2022-04-05,-4.47
2022-04-06,-7.11
2022-04-07,-7.24
2022-04-08,-7.31
2022-04-11,-7.23
2022-04-12,-7.37
2022-04-13,-4.89
2022-04-14,-3.31
2022-04-18,-4.0
2022-04-19,-1.28
2022-04-20,-1.13
2022-04-21,1.97
2022-04-22,-2.01
2022-04-25,-0.76
2022-04-26,-4.38
2022-04-27,-6.35
2022-04-28,-5.65
2022-04-29,-11.51
2022-05-02,-12.27
2022-05-03,-9.76
2022-05-04,-10.17
2022-05-05,-12.87
2022-05-06,-17.06
2022-05-09,-22.87
2022-05-10,-19.98
2022-05-11,-20.61
2022-05-12,-19.8
2022-05-13,-15.97
2022-05-16,-19.23
2022-05-17,-15.33
2022-05-18,-17.6
2022-05-19,-16.99
2022-05-20,-17.04
2022-05-23,-15.33
2022-05-24,-16.96
2022-05-25,-15.29
2022-05-26,-13.49
2022-05-27,-11.12
2022-05-31,-11.86
2022-06-01,-13.49
2022-06-02,-12.4
2022-06-03,-12.37
2022-06-06,-12.34
2022-06-07,-14.08
2022-06-08,-15.09
2022-06-09,-17.69
