date,pct_chg
2022-02-04,2.25
2022-02-07,1.75
2022-02-08,4.25
2022-02-09,4.75
2022-02-10,2.5
2022-02-11,0.75
2022-02-14,0.25
2022-02-15,3.5
2022-02-16,9.25
2022-02-17,2.25
2022-02-18,-0.5
2022-02-22,-5.0
2022-02-23,-6.25
2022-02-24,-4.25
2022-02-25,-2.5
2022-02-28,-2.25
2022-03-01,-4.0
2022-03-02,-2.5
2022-03-03,-4.75
2022-03-04,-6.0
2022-03-07,6.75
2022-03-08,11.75
2022-03-09,13.0
2022-03-10,18.0
2022-03-11,21.5
2022-03-14,10.5
2022-03-15,9.75
2022-03-16,15.5
2022-03-17,21.5
2022-03-18,19.5
2022-03-21,13.75
2022-03-22,21.75
2022-03-23,19.0
2022-03-24,25.25
2022-03-25,21.75
2022-03-28,29.0
2022-03-29,32.5
2022-03-30,30.25
2022-03-31,30.5
2022-04-01,29.75
2022-04-04,35.0
2022-04-05,26.75
2022-04-06,26.75
2022-04-07,23.5
2022-04-08,23.0
2022-04-11,21.0
2022-04-12,22.5
2022-04-13,34.0
2022-04-14,35.25
2022-04-18,32.25
2022-04-19,35.75
2022-04-20,30.0
2022-04-21,25.5
2022-04-22,21.25
2022-04-25,19.5
2022-04-26,10.0
2022-04-27,12.75
2022-04-28,-15.5
2022-04-29,-10.75
2022-05-02,-11.75
2022-05-03,-11.5
2022-05-04,-7.25
2022-05-05,-7.25
2022-05-06,-12.75
2022-05-09,-18.0
2022-05-10,-21.5
2022-05-11,-22.25
2022-05-12,-19.75
2022-05-13,-15.0
2022-05-16,-18.0
2022-05-17,-13.25
2022-05-18,-12.75
2022-05-19,-12.5
2022-05-20,-12.5
2022-05-23,-12.0
2022-05-24,-16.25
2022-05-25,-14.0
2022-05-26,-12.25
2022-05-27,-9.0
2022-05-31,-9.5
2022-06-01,-13.0
2022-06-02,-27.0
2022-06-03,-28.75
2022-06-06,-30.25
2022-06-07,-30.75
2022-06-08,-30.75
2022-06-09,-33.0
2022-06-10,-34.0
2022-06-13,-39.25
2022-06-14,-39.5
2022-06-15,-38.5
2022-06-16,-45.0
2022-06-17,-45.25
2022-06-21,-42.75
2022-06-22,-42.75
2022-06-23,-41.25
2022-06-24,-40.5
2022-06-27,-42.5
2022-06-28,-42.25
2022-06-29,-42.5
2022-06-30,-42.25
2022-07-01,-43.25
2022-07-05,-41.75
2022-07-06,-44.0
2022-07-07,-41.75
2022-07-08,-41.5
2022-07-11,-44.5
2022-07-12,-44.25
2022-07-13,-46.75
2022-07-14,-47.75
2022-07-15,-47.75
2022-07-18,-47.5
2022-07-19,-44.5
2022-07-20,-40.75
2022-07-21,-40.25
2022-07-22,-42.75
2022-07-25,-40.75
2022-07-26,-41.25
2022-07-27,-40.5
2022-07-28,-39.0
2022-07-29,-36.75
2022-08-01,-36.75
2022-08-02,-33.0
2022-08-03,-32.0
2022-08-04,-31.0
2022-08-05,-31.25
2022-08-08,-29.75
2022-08-09,-15.25
2022-08-10,-12.5
2022-08-11,-10.5
2022-08-12,-8.75
2022-08-15,-9.0
2022-08-16,-9.0
2022-08-17,-8.25
2022-08-18,-7.75
2022-08-19,-9.75
2022-08-22,-12.25
2022-08-23,-10.0
2022-08-24,-10.25
2022-08-25,-3.75
2022-08-26,-8.75
2022-08-29,-6.75
2022-08-30,-9.25
2022-08-31,-8.0
2022-09-01,-12.5
2022-09-02,-12.0
2022-09-06,-14.75
2022-09-07,-14.0
2022-09-08,-16.5
2022-09-09,-15.0
2022-09-12,-13.0
2022-09-13,-15.25
2022-09-14,-16.75
2022-09-15,-20.75
2022-09-16,-21.5
2022-09-19,-22.75
2022-09-20,-23.75
2022-09-21,-24.75
2022-09-22,-28.5
2022-09-23,-32.75
2022-09-26,-34.0
2022-09-27,-29.25
2022-09-28,-26.75
2022-09-29,-29.75
2022-09-30,-30.5
2022-10-03,-28.5
2022-10-04,-22.25
2022-10-05,-22.25
2022-10-06,-24.5
2022-10-07,-26.75
2022-10-10,-30.0
2022-10-11,-31.5
2022-10-12,-32.0
2022-10-13,-31.0
2022-10-14,-35.0
2022-10-17,-31.75
2022-10-18,-29.75
2022-10-19,-29.75
2022-10-20,-30.25
2022-10-21,-29.5
2022-10-24,-30.0
2022-10-25,-25.5
2022-10-26,-28.25
2022-10-27,-30.5
2022-10-28,-31.5
2022-10-31,-32.75
2022-11-01,-33.5
2022-11-02,-39.25
2022-11-03,-41.0
2022-11-04,-42.75
2022-11-07,-43.0
2022-11-08,-44.0
2022-11-09,-46.0
2022-11-10,-65.25
2022-11-11,-67.75
2022-11-14,-68.5
2022-11-15,-66.5
2022-11-16,-68.0
2022-11-17,-66.5
2022-11-18,-64.0
2022-11-21,-63.25
2022-11-22,-64.25
2022-11-23,-63.25
2022-11-25,-62.5
2022-11-28,-64.5
2022-11-29,-64.0
2022-11-30,-64.0
2022-12-01,-62.75
2022-12-02,-61.75
2022-12-05,-63.75
2022-12-06,-65.25
