date,pct_chg
2022-02-04,0.25
2022-02-07,1.25
2022-02-08,3.0
2022-02-09,3.25
2022-02-10,2.5
2022-02-11,2.5
2022-02-14,2.5
2022-02-15,2.75
2022-02-16,3.25
2022-02-17,4.5
2022-02-18,2.5
2022-02-22,2.5
2022-02-23,3.5
2022-02-24,2.5
2022-02-25,3.0
2022-02-28,4.25
2022-03-01,2.5
2022-03-02,4.5
2022-03-03,4.49
2022-03-04,3.0
2022-03-07,2.5
2022-03-08,2.5
2022-03-09,2.5
2022-03-10,4.25
2022-03-11,6.0
2022-03-14,9.0
2022-03-15,15.5
2022-03-16,7.75
2022-03-17,11.0
2022-03-18,10.5
2022-03-21,7.5
2022-03-22,9.5
2022-03-23,9.75
2022-03-24,9.76
2022-03-25,11.25
2022-03-28,17.5
2022-03-29,18.0
2022-03-30,16.62
2022-03-31,16.5
2022-04-01,16.0
2022-04-04,14.25
2022-04-05,17.75
2022-04-06,20.75
2022-04-07,20.5
2022-04-08,17.0
2022-04-11,15.25
2022-04-12,18.25
2022-04-13,18.25
2022-04-14,24.25
2022-04-18,18.5
2022-04-19,23.0
2022-04-20,32.25
2022-04-21,25.0
2022-04-22,26.25
2022-04-25,31.25
2022-04-26,28.0
2022-04-27,29.5
2022-04-28,35.75
2022-04-29,35.75
2022-05-02,30.75
2022-05-03,32.0
2022-05-04,25.0
2022-05-05,19.75
2022-05-06,22.25
2022-05-09,21.0
2022-05-10,21.0
2022-05-11,18.0
2022-05-12,15.5
2022-05-13,19.0
2022-05-16,20.75
2022-05-17,27.5
2022-05-18,22.75
2022-05-19,25.5
2022-05-20,22.25
2022-05-23,24.03
2022-05-24,20.0
2022-05-25,21.05
2022-05-26,23.75
2022-05-27,26.25
2022-05-31,32.5
2022-06-01,35.5
2022-06-02,44.25
2022-06-03,42.5
2022-06-06,52.25
2022-06-07,61.0
2022-06-08,71.0
2022-06-09,69.25
2022-06-10,67.75
2022-06-13,51.5
2022-06-14,56.0
2022-06-15,55.25
2022-06-16,41.5
2022-06-17,52.5
2022-06-21,62.75
2022-06-22,55.0
2022-06-23,65.75
2022-06-24,77.5
2022-06-27,77.5
2022-06-28,74.5
2022-06-29,70.25
2022-06-30,78.25
2022-07-01,76.25
2022-07-05,77.5
2022-07-06,74.5
2022-07-07,80.25
2022-07-08,81.25
2022-07-11,90.75
2022-07-12,85.75
2022-07-13,88.75
2022-07-14,88.0
2022-07-15,84.0
2022-07-18,88.75
2022-07-19,95.75
2022-07-20,85.25
2022-07-21,92.5
2022-07-22,83.0
2022-07-25,79.5
2022-07-26,73.0
2022-07-27,74.5
2022-07-28,74.75
2022-07-29,66.25
2022-08-01,71.0
2022-08-02,68.5
2022-08-03,77.25
2022-08-04,103.0
2022-08-05,93.25
2022-08-08,96.5
2022-08-09,100.0
2022-08-10,109.25
2022-08-11,101.75
2022-08-12,101.25
2022-08-15,101.25
2022-08-16,102.5
2022-08-17,105.0
2022-08-18,109.25
2022-08-19,104.0
2022-08-22,103.25
2022-08-23,96.25
2022-08-24,93.25
2022-08-25,94.0
2022-08-26,91.25
2022-08-29,89.25
2022-08-30,77.5
2022-08-31,81.5
2022-09-01,75.25
2022-09-02,71.5
2022-09-06,69.75
2022-09-07,74.0
2022-09-08,72.5
2022-09-09,75.5
2022-09-12,70.5
2022-09-13,67.75
2022-09-14,65.75
2022-09-15,67.0
2022-09-16,63.25
2022-09-19,54.5
2022-09-20,45.75
2022-09-21,41.5
2022-09-22,36.25
2022-09-23,27.0
2022-09-26,30.0
2022-09-27,32.0
2022-09-28,29.25
2022-09-29,28.25
2022-09-30,26.5
2022-10-03,31.75
2022-10-04,32.25
2022-10-05,30.5
2022-10-06,31.75
2022-10-07,28.0
2022-10-10,24.5
2022-10-11,20.75
2022-10-12,22.25
2022-10-13,25.5
2022-10-14,20.5
2022-10-17,26.5
2022-10-18,26.5
2022-10-19,19.75
2022-10-20,19.5
2022-10-21,21.5
2022-10-24,20.25
2022-10-25,24.0
2022-10-26,27.5
2022-10-27,32.5
2022-10-28,31.5
2022-10-31,31.25
2022-11-01,31.62
2022-11-02,24.0
2022-11-03,17.5
2022-11-04,12.5
2022-11-07,16.75
2022-11-08,19.75
2022-11-09,19.25
2022-11-10,20.0
2022-11-11,19.75
2022-11-14,19.75
2022-11-15,22.25
2022-11-16,21.5
2022-11-17,25.75
2022-11-18,31.75
2022-11-21,23.25
2022-11-22,27.25
2022-11-23,33.75
2022-11-25,36.5
2022-11-28,30.25
2022-11-29,27.5
2022-11-30,29.25
2022-12-01,32.5
2022-12-02,33.0
2022-12-05,32.0
2022-12-06,31.0
2022-12-07,30.25
2022-12-08,31.0
2022-12-09,37.25
2022-12-12,37.5
2022-12-13,46.5
2022-12-14,36.0
2022-12-15,42.25
2022-12-16,36.0
2022-12-19,31.75
2022-12-20,30.0
2022-12-21,33.25
2022-12-22,33.75
2022-12-23,32.25
2022-12-27,30.75
2022-12-28,31.5
2022-12-29,29.0
2022-12-30,31.5
2023-01-03,31.5
2023-01-04,30.5
2023-01-05,30.5
2023-01-06,31.25
2023-01-09,37.0
2023-01-10,42.25
2023-01-11,40.0
2023-01-12,38.0
2023-01-13,46.25
2023-01-17,43.25
2023-01-18,43.0
2023-01-19,41.75
2023-01-20,51.0
2023-01-23,51.75
2023-01-24,56.0
2023-01-25,55.5
2023-01-26,55.5
2023-01-27,56.25
2023-01-30,56.25
2023-01-31,66.99
2023-02-01,66.0
2023-02-02,66.5
2023-02-03,72.75
