date,pct_chg
2022-02-03,1.34
2022-02-04,1.34
2022-02-07,6.12
2022-02-08,6.12
2022-02-09,7.34
2022-02-10,9.24
2022-02-11,9.24
2022-02-14,8.23
2022-02-15,9.44
2022-02-16,9.69
2022-02-17,9.44
2022-02-18,9.44
2022-02-22,8.23
2022-02-23,4.42
2022-02-24,-0.24
2022-02-25,-2.11
2022-02-28,10.26
2022-03-01,9.04
2022-03-02,15.23
2022-03-03,10.46
2022-03-04,7.22
2022-03-07,7.54
2022-03-08,5.8
2022-03-09,8.11
2022-03-10,7.3
2022-03-11,8.43
2022-03-14,3.61
2022-03-15,4.54
2022-03-16,9.44
2022-03-17,9.49
2022-03-18,7.22
2022-03-21,9.44
2022-03-22,7.38
2022-03-23,6.28
2022-03-24,4.18
2022-03-25,7.13
2022-03-28,5.59
2022-03-29,7.82
2022-03-30,7.82
2022-03-31,7.82
2022-04-01,3.81
2022-04-04,5.84
2022-04-05,5.84
2022-04-06,6.89
2022-04-07,6.45
2022-04-08,16.13
2022-04-11,9.24
2022-04-12,9.24
2022-04-13,8.23
2022-04-14,8.23
2022-04-18,4.78
2022-04-19,4.78
2022-04-20,5.39
2022-04-21,6.0
2022-04-22,4.18
2022-04-25,4.58
2022-04-26,4.58
2022-04-27,6.0
2022-04-28,5.39
2022-04-29,5.8
2022-05-02,-1.7
2022-05-03,-2.39
2022-05-04,1.86
2022-05-05,1.86
2022-05-06,1.86
2022-05-09,-8.27
2022-05-10,-6.4
2022-05-11,-6.4
2022-05-12,-4.26
2022-05-13,-0.41
2022-05-16,-0.41
2022-05-17,0.45
2022-05-18,0.45
2022-05-19,0.45
2022-05-20,-3.24
2022-05-23,-3.24
2022-05-24,-3.24
2022-05-25,-3.24
2022-05-26,-3.24
2022-05-27,-2.72
2022-05-31,-1.62
2022-06-01,-1.62
2022-06-02,-1.62
2022-06-03,-4.7
2022-06-06,-3.53
2022-06-07,-4.74
2022-06-08,-4.05
2022-06-09,-4.05
2022-06-10,-6.81
2022-06-13,-16.9
2022-06-14,-12.97
2022-06-15,-12.4
2022-06-16,-11.76
2022-06-17,-11.76
2022-06-21,-7.58
2022-06-22,-8.43
2022-06-23,-11.23
2022-06-24,-11.23
2022-06-27,-11.23
2022-06-28,-11.23
2022-06-29,-6.81
2022-06-30,-9.24
2022-07-01,-10.62
2022-07-05,-7.74
2022-07-06,-5.43
2022-07-07,-2.27
2022-07-08,-2.27
2022-07-11,-2.63
2022-07-12,1.13
2022-07-13,-1.91
2022-07-14,-1.26
2022-07-15,-1.54
2022-07-18,2.15
2022-07-19,2.15
2022-07-20,2.15
2022-07-21,2.15
2022-07-22,2.68
2022-07-25,2.68
2022-07-26,2.68
2022-07-27,2.68
2022-07-28,5.39
2022-07-29,5.39
2022-08-01,10.34
2022-08-02,8.51
2022-08-03,7.22
2022-08-04,8.31
2022-08-05,8.31
2022-08-08,8.31
2022-08-09,7.22
2022-08-10,7.22
2022-08-11,12.36
2022-08-12,12.97
2022-08-15,8.03
2022-08-16,6.81
2022-08-17,6.81
2022-08-18,6.81
2022-08-19,8.11
2022-08-22,8.11
2022-08-23,8.11
2022-08-24,8.11
2022-08-25,3.77
2022-08-26,3.77
2022-08-29,6.0
2022-08-30,7.58
2022-08-31,5.51
2022-09-01,5.51
2022-09-02,8.84
2022-09-06,6.2
2022-09-07,2.55
2022-09-08,-0.28
2022-09-09,3.81
2022-09-12,5.39
2022-09-13,0.53
2022-09-14,-0.85
2022-09-15,0.2
2022-09-16,0.2
2022-09-19,0.2
2022-09-20,0.2
2022-09-21,-9.36
2022-09-22,-7.17
2022-09-23,-11.23
2022-09-26,-11.07
2022-09-27,-10.42
2022-09-28,-12.85
2022-09-29,-20.96
2022-09-30,-19.34
2022-10-03,-23.39
2022-10-04,-22.78
2022-10-05,-19.42
2022-10-06,-19.7
2022-10-07,-19.78
2022-10-10,-19.78
2022-10-11,-20.96
2022-10-12,-24.28
2022-10-13,-25.62
2022-10-14,-26.06
2022-10-17,-23.75
2022-10-18,-21.77
2022-10-19,-18.57
2022-10-20,-22.98
2022-10-21,-20.63
2022-10-24,-20.63
2022-10-25,-20.63
2022-10-26,-17.71
2022-10-27,-17.71
2022-10-28,-20.06
2022-10-31,-22.94
2022-11-01,-22.94
2022-11-02,-24.93
2022-11-03,-24.93
2022-11-04,-24.93
2022-11-07,-27.56
2022-11-08,-27.56
2022-11-09,-27.56
2022-11-10,-27.56
2022-11-11,-25.17
2022-11-14,-26.51
2022-11-15,-24.28
2022-11-16,-25.29
2022-11-17,-29.79
2022-11-18,-27.2
2022-11-21,-32.47
2022-11-22,-30.28
2022-11-23,-32.79
2022-11-25,-32.79
2022-11-28,-37.86
2022-11-29,-40.49
2022-11-30,-38.39
2022-12-01,-39.2
2022-12-02,-39.2
2022-12-05,-39.2
2022-12-06,-39.2
2022-12-07,-41.71
2022-12-08,-42.52
2022-12-09,-42.52
2022-12-12,-45.28
2022-12-13,-41.55
2022-12-14,-41.55
2022-12-15,-44.59
2022-12-16,-48.12
2022-12-19,-41.43
2022-12-20,-41.43
2022-12-21,-40.33
2022-12-22,-40.33
2022-12-23,-40.33
2022-12-27,-43.01
2022-12-28,-44.59
2022-12-29,-39.24
2022-12-30,-39.56
2023-01-03,-39.56
2023-01-04,-33.6
2023-01-05,-33.6
2023-01-06,-33.6
2023-01-09,-33.6
2023-01-10,-33.6
2023-01-11,-33.6
2023-01-12,-33.6
2023-01-13,-33.6
2023-01-17,-33.6
2023-01-18,-33.6
2023-01-19,-29.02
2023-01-20,-32.67
2023-01-23,-28.62
2023-01-24,-29.06
2023-01-25,-29.06
2023-01-26,-27.44
2023-01-27,-27.44
