date,pct_chg
2022-02-04,2.29
2022-02-07,1.03
2022-02-08,2.82
2022-02-09,7.89
2022-02-10,6.07
2022-02-11,-3.92
2022-02-14,-3.51
2022-02-15,4.29
2022-02-16,1.55
2022-02-17,-0.57
2022-02-18,-0.07
2022-02-22,-3.56
2022-02-23,-5.7
2022-02-24,-13.81
2022-02-25,-13.77
2022-02-28,-53.16
2022-03-01,-52.38
2022-03-02,-44.72
2022-03-03,-51.98
2022-03-04,-55.24
2022-03-07,-60.59
2022-03-08,-57.89
2022-03-09,-55.26
2022-03-10,-57.44
2022-03-11,-54.87
2022-03-14,-50.4
2022-03-15,-49.26
2022-03-16,-36.48
2022-03-17,-38.4
2022-03-18,-33.61
2022-03-21,-35.96
2022-03-22,-31.56
2022-03-23,-30.86
2022-03-24,-35.05
2022-03-25,-39.86
2022-03-28,-37.95
2022-03-29,-30.77
2022-03-30,-33.94
2022-03-31,-33.12
2022-04-01,-35.28
2022-04-04,-32.82
2022-04-05,-36.33
2022-04-06,-37.89
2022-04-07,-36.8
2022-04-08,-30.4
2022-04-11,-31.15
2022-04-12,-32.78
2022-04-13,-30.56
2022-04-14,-34.6
2022-04-18,-36.6
2022-04-19,-32.81
2022-04-20,-34.7
2022-04-21,-35.33
2022-04-22,-37.6
2022-04-25,-36.85
2022-04-26,-40.26
2022-04-27,-39.84
2022-04-28,-36.64
2022-04-29,-40.25
2022-05-02,-34.95
2022-05-03,-33.04
2022-05-04,-29.52
2022-05-05,-21.99
2022-05-06,-21.76
2022-05-09,-28.33
2022-05-10,-27.94
2022-05-11,-33.25
2022-05-12,-33.6
2022-05-13,-28.02
2022-05-16,-29.92
2022-05-17,-29.5
2022-05-18,-29.43
2022-05-19,-26.28
2022-05-20,-27.76
2022-05-23,-29.05
2022-05-24,-30.36
2022-05-25,-31.12
2022-05-26,-27.21
2022-05-27,-23.26
2022-05-31,-23.67
2022-06-01,-26.43
2022-06-02,-21.6
2022-06-03,-25.07
2022-06-06,-25.12
2022-06-07,-22.96
2022-06-08,-25.44
2022-06-09,-28.62
2022-06-10,-31.57
2022-06-13,-35.94
2022-06-14,-37.24
2022-06-15,-34.67
2022-06-16,-35.48
2022-06-17,-33.33
2022-06-21,-32.29
2022-06-22,-30.23
2022-06-23,-26.11
2022-06-24,-26.49
2022-06-27,-26.77
2022-06-28,-29.76
2022-06-29,-30.7
2022-06-30,-33.54
2022-07-01,-31.88
2022-07-05,-29.96
2022-07-06,-29.67
2022-07-07,-25.8
2022-07-08,-27.62
2022-07-11,-28.49
2022-07-12,-31.29
2022-07-13,-31.82
2022-07-14,-32.8
2022-07-15,-31.78
2022-07-18,-31.04
2022-07-19,-27.08
2022-07-20,-28.4
2022-07-21,-25.39
2022-07-22,-27.11
2022-07-25,-27.81
2022-07-26,-29.38
2022-07-27,-26.58
2022-07-28,-22.71
2022-07-29,-21.25
2022-08-01,-17.38
2022-08-02,-17.85
2022-08-03,-16.57
2022-08-04,-6.34
2022-08-05,-3.64
2022-08-08,-3.58
2022-08-09,-5.41
2022-08-10,-0.59
2022-08-11,-1.78
2022-08-12,0.31
2022-08-15,1.13
2022-08-16,0.9
2022-08-17,3.25
2022-08-18,1.28
2022-08-19,-0.22
2022-08-22,-0.53
2022-08-23,-1.99
2022-08-24,-2.02
2022-08-25,0.58
2022-08-26,-4.72
2022-08-29,-6.2
2022-08-30,-4.24
2022-08-31,-3.84
2022-09-01,-7.06
2022-09-02,-7.08
2022-09-06,-7.37
2022-09-07,-5.91
2022-09-08,-3.35
2022-09-09,-2.5
2022-09-12,-1.09
2022-09-13,-4.99
2022-09-14,-4.31
2022-09-15,-6.88
2022-09-16,-9.35
2022-09-19,-9.18
2022-09-20,-12.76
2022-09-21,-13.13
2022-09-22,-17.24
2022-09-23,-17.9
2022-09-26,-19.88
2022-09-27,-19.19
2022-09-28,-16.46
2022-09-29,-18.35
2022-09-30,-18.34
2022-10-03,-18.02
2022-10-04,-12.35
2022-10-05,-16.31
2022-10-06,-19.66
2022-10-07,-23.34
2022-10-10,-26.63
2022-10-11,-27.84
2022-10-12,-29.01
2022-10-13,-25.56
2022-10-14,-26.29
2022-10-17,-24.81
2022-10-18,-23.35
2022-10-19,-25.22
2022-10-20,-25.02
2022-10-21,-25.28
2022-10-24,-25.13
2022-10-25,-21.51
2022-10-26,-22.1
2022-10-27,-22.25
2022-10-28,-21.27
2022-10-31,-21.09
2022-11-01,-22.84
2022-11-02,-26.29
2022-11-03,-32.13
2022-11-04,-29.54
2022-11-07,-28.75
2022-11-08,-27.91
2022-11-09,-30.72
2022-11-10,-20.98
2022-11-11,-18.78
2022-11-14,-19.26
2022-11-15,-20.61
2022-11-16,-21.19
2022-11-17,-23.52
2022-11-18,-23.01
2022-11-21,-24.39
2022-11-22,-23.05
2022-11-23,-21.34
2022-11-25,-21.28
2022-11-28,-21.05
2022-11-29,-22.45
2022-11-30,-16.9
2022-12-01,-16.67
2022-12-02,-16.61
2022-12-05,-21.65
2022-12-06,-23.31
2022-12-07,-23.57
2022-12-08,-21.98
2022-12-09,-22.47
2022-12-12,-22.01
2022-12-13,-17.83
2022-12-14,-20.0
2022-12-15,-24.22
2022-12-16,-24.85
2022-12-19,-25.92
2022-12-20,-25.21
2022-12-21,-23.57
2022-12-22,-27.12
2022-12-23,-27.02
2022-12-27,-28.27
2022-12-28,-28.61
2022-12-29,-25.43
2022-12-30,-26.1
2023-01-03,-25.28
2023-01-04,-24.42
2023-01-05,-29.32
2023-01-06,-28.6
2023-01-09,-26.73
2023-01-10,-26.3
2023-01-11,-24.1
2023-01-12,-23.12
2023-01-13,-22.03
2023-01-17,-19.37
2023-01-18,-20.43
2023-01-19,-24.24
2023-01-20,-22.21
2023-01-23,-21.38
2023-01-24,-25.16
2023-01-25,-25.81
2023-01-26,-22.4
2023-01-27,-23.02
2023-01-30,-24.49
2023-01-31,-25.0
2023-02-01,-20.46
2023-02-02,-14.47
2023-02-03,-15.26
