date,pct_chg
2021-06-15,-1.3
2021-06-16,-1.17
2021-06-17,-1.22
2021-06-18,-1.56
2021-06-21,-0.53
2021-06-22,-0.29
2021-06-23,-1.46
2021-06-24,0.4
2021-06-25,3.21
2021-06-28,0.45
2021-06-29,-0.37
2021-06-30,-1.77
2021-07-01,-0.48
2021-07-02,-0.98
2021-07-06,0.32
2021-07-07,0.45
2021-07-08,-0.37
2021-07-09,0.08
2021-07-12,1.85
2021-07-13,3.34
2021-07-14,2.62
2021-07-15,3.34
2021-07-16,0.77
2021-07-19,-0.13
2021-07-20,3.02
2021-07-21,4.64
2021-07-22,2.25
2021-07-23,4.64
2021-07-26,5.4
2021-07-27,5.35
2021-07-28,5.8
2021-07-29,6.09
2021-07-30,6.91
2021-08-02,2.2
2021-08-03,6.57
2021-08-04,5.01
2021-08-05,7.76
2021-08-06,10.41
2021-08-09,9.51
2021-08-10,7.74
2021-08-11,-0.79
2021-08-12,1.88
2021-08-13,4.87
2021-08-16,6.17
2021-08-17,4.95
2021-08-18,9.56
2021-08-19,8.93
2021-08-20,10.2
2021-08-23,9.99
2021-08-24,11.31
2021-08-25,11.21
2021-08-26,12.08
2021-08-27,15.79
2021-08-30,12.82
2021-08-31,11.97
2021-09-01,13.06
2021-09-02,14.75
2021-09-03,15.39
2021-09-07,14.89
2021-09-08,15.34
2021-09-09,13.27
2021-09-10,10.52
2021-09-13,12.4
2021-09-14,9.62
2021-09-15,10.28
2021-09-16,8.03
2021-09-17,7.66
2021-09-20,5.83
2021-09-21,4.4
2021-09-22,5.67
2021-09-23,7.07
2021-09-24,7.23
2021-09-27,7.84
2021-09-28,4.61
2021-09-29,4.69
2021-09-30,4.05
2021-10-01,4.29
2021-10-04,1.25
2021-10-05,2.81
2021-10-06,1.99
2021-10-07,4.77
2021-10-08,3.58
2021-10-11,1.03
2021-10-12,0.82
2021-10-13,1.99
2021-10-14,4.87
2021-10-15,8.05
2021-10-18,5.72
2021-10-19,6.12
2021-10-20,17.48
2021-10-21,23.89
2021-10-22,23.81
2021-10-25,26.41
2021-10-26,25.83
2021-10-27,24.08
2021-10-28,25.38
2021-10-29,22.65
2021-11-01,24.37
2021-11-02,24.77
2021-11-03,27.39
2021-11-04,25.99
2021-11-05,27.21
2021-11-08,27.5
2021-11-09,26.07
2021-11-10,24.61
2021-11-11,22.33
2021-11-12,20.26
2021-11-15,26.57
2021-11-16,28.93
2021-11-17,24.53
2021-11-18,23.76
2021-11-19,22.57
2021-11-22,23.21
2021-11-23,22.01
2021-11-24,22.49
2021-11-26,21.8
2021-11-29,19.52
2021-11-30,18.78
2021-12-01,17.56
2021-12-02,20.05
2021-12-03,15.81
2021-12-06,17.03
2021-12-07,19.05
2021-12-08,19.76
2021-12-09,18.41
2021-12-10,40.53
2021-12-13,29.64
2021-12-14,30.78
2021-12-15,33.4
2021-12-16,29.59
2021-12-17,48.69
2021-12-20,48.9
2021-12-21,49.83
2021-12-22,49.64
2021-12-23,49.72
2021-12-27,49.91
2021-12-28,49.22
2021-12-29,50.07
2021-12-30,49.62
2021-12-31,49.59
2022-01-03,49.67
2022-01-04,49.32
2022-01-05,49.4
2022-01-06,49.3
2022-01-07,49.3
2022-01-10,49.27
2022-01-11,49.54
2022-01-12,49.35
2022-01-13,49.46
2022-01-14,49.3
2022-01-18,49.3
2022-01-19,49.32
2022-01-20,49.14
2022-01-21,49.22
2022-01-24,49.51
2022-01-25,49.22
2022-01-26,49.25
2022-01-27,49.19
2022-01-28,49.75
2022-01-31,49.38
2022-02-01,49.38
2022-02-02,49.43
2022-02-03,49.91
2022-02-04,49.83
2022-02-07,49.88
2022-02-08,50.07
2022-02-09,50.17
2022-02-10,50.07
2022-02-11,50.15
2022-02-14,50.09
2022-02-15,50.25
2022-02-16,50.2
2022-02-17,50.01
2022-02-18,49.75
2022-02-22,49.96
2022-02-23,49.88
2022-02-24,49.62
2022-02-25,50.23
2022-02-28,50.04
2022-03-01,50.15
2022-03-02,50.12
2022-03-03,50.17
2022-03-04,50.09
2022-03-07,49.54
2022-03-08,49.83
2022-03-09,49.93
2022-03-10,49.91
2022-03-11,49.91
2022-03-14,49.85
2022-03-15,49.56
2022-03-16,49.59
2022-03-17,49.54
2022-03-18,50.17
2022-03-21,49.96
2022-03-22,50.07
2022-03-23,50.15
2022-03-24,50.25
2022-03-25,50.46
2022-03-28,50.33
2022-03-29,50.36
2022-03-30,50.41
2022-03-31,50.15
2022-04-01,50.36
2022-04-04,50.41
2022-04-05,50.41
2022-04-06,50.33
2022-04-07,50.33
2022-04-08,50.33
2022-04-11,50.38
2022-04-12,50.38
2022-04-13,50.38
2022-04-14,50.49
2022-04-18,50.46
2022-04-19,50.33
2022-04-20,50.28
2022-04-21,50.46
2022-04-22,50.3
2022-04-25,50.46
2022-04-26,50.12
2022-04-27,50.12
2022-04-28,50.15
2022-04-29,49.99
2022-05-02,50.38
2022-05-03,49.88
2022-05-04,49.99
2022-05-05,49.8
2022-05-06,49.88
2022-05-09,49.09
2022-05-10,49.67
2022-05-11,49.67
2022-05-12,50.97
2022-05-13,50.97
2022-05-17,50.97
2022-05-24,50.97
2022-05-25,50.97
2022-06-06,50.97
2022-06-07,50.97
2022-06-08,50.97
2022-06-09,50.97
2022-06-10,50.97
2022-06-16,50.97
2022-06-21,50.97
2022-06-29,50.97
2022-07-01,50.97
2022-07-07,50.97
2022-07-11,50.97
2022-07-15,50.97
2022-07-18,50.97
2022-07-19,50.97
2022-08-03,50.97
2022-08-04,50.97
