date,pct_chg
2022-02-04,-0.2
2022-02-07,1.01
2022-02-08,3.83
2022-02-09,5.22
2022-02-10,3.79
2022-02-11,3.65
2022-02-14,3.34
2022-02-15,3.4
2022-02-16,6.24
2022-02-17,4.94
2022-02-18,4.07
2022-02-22,3.23
2022-02-23,3.67
2022-02-24,5.62
2022-02-25,6.73
2022-02-28,23.3
2022-03-01,22.1
2022-03-02,27.7
2022-03-03,22.96
2022-03-04,21.7
2022-03-07,29.4
2022-03-08,20.22
2022-03-09,19.05
2022-03-10,23.54
2022-03-11,22.61
2022-03-14,23.06
2022-03-15,26.76
2022-03-16,25.77
2022-03-17,28.38
2022-03-18,27.89
2022-03-21,34.64
2022-03-22,37.39
2022-03-23,36.6
2022-03-24,38.07
2022-03-25,39.86
2022-03-28,41.71
2022-03-29,30.21
2022-03-30,34.98
2022-03-31,31.91
2022-04-01,31.62
2022-04-04,29.57
2022-04-05,30.74
2022-04-06,29.29
2022-04-07,31.29
2022-04-08,29.35
2022-04-11,29.55
2022-04-12,29.57
2022-04-13,30.06
2022-04-14,32.68
2022-04-18,31.35
2022-04-19,33.04
2022-04-20,34.38
2022-04-21,30.06
2022-04-22,28.88
2022-04-25,32.16
2022-04-26,28.06
2022-04-27,29.44
2022-04-28,30.73
2022-04-29,28.27
2022-05-02,25.06
2022-05-03,25.15
2022-05-04,26.77
2022-05-05,23.33
2022-05-06,22.67
2022-05-09,17.39
2022-05-10,21.13
2022-05-11,20.49
2022-05-12,21.36
2022-05-13,23.82
2022-05-16,25.3
2022-05-17,26.93
2022-05-18,26.03
2022-05-19,25.2
2022-05-20,25.09
2022-05-23,31.64
2022-05-24,19.27
2022-05-25,18.39
2022-05-26,16.19
2022-05-27,17.42
2022-05-31,22.53
2022-06-01,23.59
2022-06-02,25.17
2022-06-03,24.28
2022-06-06,25.23
2022-06-07,24.33
2022-06-08,24.5
2022-06-09,22.05
2022-06-10,20.24
2022-06-13,17.97
2022-06-14,16.56
2022-06-15,20.55
2022-06-16,14.62
2022-06-17,16.36
2022-06-21,19.65
2022-06-22,20.0
2022-06-23,19.23
2022-06-24,22.94
2022-06-27,24.46
2022-06-28,25.89
2022-06-29,30.8
2022-06-30,37.23
2022-07-01,36.6
2022-07-05,32.84
2022-07-06,30.33
2022-07-07,31.31
2022-07-08,31.4
2022-07-11,31.26
2022-07-12,31.46
2022-07-13,35.58
2022-07-14,33.86
2022-07-15,35.23
2022-07-18,37.17
2022-07-19,39.01
2022-07-20,35.14
2022-07-21,35.37
2022-07-22,33.83
2022-07-25,35.14
2022-07-26,32.54
2022-07-27,35.53
2022-07-28,36.48
2022-07-29,38.66
2022-08-01,38.44
2022-08-02,37.78
2022-08-03,43.12
2022-08-04,39.89
2022-08-05,40.53
2022-08-08,43.74
2022-08-09,42.71
2022-08-10,46.06
2022-08-11,43.07
2022-08-12,46.16
2022-08-15,38.96
2022-08-16,32.86
2022-08-17,30.2
2022-08-18,27.49
2022-08-19,25.51
2022-08-22,22.42
2022-08-23,22.67
2022-08-24,26.69
2022-08-25,24.89
2022-08-26,22.58
2022-08-29,24.24
2022-08-30,24.99
2022-08-31,25.94
2022-09-01,24.49
2022-09-02,23.65
2022-09-06,21.3
2022-09-07,21.39
2022-09-08,18.56
2022-09-09,20.51
2022-09-12,19.14
2022-09-13,19.42
2022-09-14,20.84
2022-09-15,18.05
2022-09-16,18.33
2022-09-19,18.65
2022-09-20,17.66
2022-09-21,20.7
2022-09-22,22.95
2022-09-23,20.25
2022-09-26,19.11
2022-09-27,20.56
2022-09-28,19.19
2022-09-29,13.07
2022-09-30,13.79
2022-10-03,15.58
2022-10-04,18.36
2022-10-05,16.16
2022-10-06,18.84
2022-10-07,18.24
2022-10-10,17.35
2022-10-11,20.85
2022-10-12,22.91
2022-10-13,24.43
2022-10-14,21.01
2022-10-17,24.01
2022-10-18,24.92
2022-10-19,24.19
2022-10-20,21.33
2022-10-21,22.52
2022-10-24,20.17
2022-10-25,21.41
2022-10-26,23.13
2022-10-27,20.46
2022-10-28,21.34
2022-10-31,21.31
2022-11-01,20.71
2022-11-02,18.66
2022-11-03,16.57
2022-11-04,17.72
2022-11-07,16.82
2022-11-08,16.98
2022-11-09,16.22
2022-11-10,19.06
2022-11-11,19.15
2022-11-14,13.56
2022-11-15,13.27
2022-11-16,14.71
2022-11-17,15.52
2022-11-18,15.62
2022-11-21,13.54
2022-11-22,12.81
2022-11-23,13.2
2022-11-25,13.53
2022-11-28,11.78
2022-11-29,-0.02
2022-11-30,4.49
2022-12-01,2.06
2022-12-02,2.12
2022-12-05,5.23
2022-12-06,1.74
2022-12-07,2.39
2022-12-08,2.51
2022-12-09,2.5
2022-12-12,1.62
2022-12-13,1.48
2022-12-14,0.63
2022-12-15,-0.05
2022-12-16,0.74
2022-12-19,0.8
2022-12-20,1.72
2022-12-21,2.88
2022-12-22,0.96
2022-12-23,1.77
2022-12-27,0.34
2022-12-28,-0.07
2022-12-29,-2.0
2022-12-30,-1.84
2023-01-03,0.51
2023-01-04,1.91
2023-01-05,1.02
2023-01-06,2.35
2023-01-09,2.8
2023-01-10,1.93
2023-01-11,3.02
2023-01-12,3.52
2023-01-13,2.93
2023-01-17,4.36
2023-01-18,2.69
2023-01-19,1.44
2023-01-20,1.97
2023-01-23,4.03
2023-01-24,2.81
2023-01-25,1.83
2023-01-26,-1.38
2023-01-27,-1.26
2023-01-30,-1.48
2023-01-31,1.23
2023-02-01,2.47
2023-02-02,3.18
2023-02-03,1.66
