date,pct_chg
2022-02-04,0.15
2022-02-07,0.12
2022-02-08,4.69
2022-02-09,7.2
2022-02-10,3.56
2022-02-11,1.01
2022-02-14,1.45
2022-02-15,5.89
2022-02-16,7.4
2022-02-17,1.78
2022-02-18,-0.19
2022-02-22,0.91
2022-02-23,-0.06
2022-02-24,7.96
2022-02-25,13.79
2022-02-28,17.02
2022-03-01,20.86
2022-03-02,20.89
2022-03-03,20.53
2022-03-04,18.88
2022-03-07,17.18
2022-03-08,13.19
2022-03-09,20.27
2022-03-10,14.6
2022-03-11,8.93
2022-03-14,1.36
2022-03-15,7.96
2022-03-16,9.76
2022-03-17,16.15
2022-03-18,23.88
2022-03-21,20.37
2022-03-22,26.37
2022-03-23,24.09
2022-03-24,26.32
2022-03-25,24.4
2022-03-28,29.61
2022-03-29,35.36
2022-03-30,32.53
2022-03-31,30.5
2022-04-01,31.55
2022-04-04,31.27
2022-04-05,28.27
2022-04-06,28.02
2022-04-07,28.35
2022-04-08,23.02
2022-04-11,24.01
2022-04-12,28.52
2022-04-13,35.46
2022-04-14,39.18
2022-04-18,44.44
2022-04-19,55.73
2022-04-20,54.92
2022-04-21,53.51
2022-04-22,58.58
2022-04-25,63.67
2022-04-26,53.1
2022-04-27,48.01
2022-04-28,44.02
2022-04-29,37.03
2022-05-02,43.65
2022-05-03,40.82
2022-05-04,41.56
2022-05-05,33.06
2022-05-06,19.64
2022-05-09,-2.89
2022-05-10,7.03
2022-05-11,-0.79
2022-05-12,1.41
2022-05-13,7.55
2022-05-16,11.54
2022-05-17,18.03
2022-05-18,11.12
2022-05-19,8.95
2022-05-20,12.32
2022-05-23,16.98
2022-05-24,10.13
2022-05-25,14.37
2022-05-26,15.49
2022-05-27,21.71
2022-05-31,19.48
2022-06-01,17.0
2022-06-02,20.51
2022-06-03,21.03
2022-06-06,23.78
2022-06-07,24.75
2022-06-08,22.41
2022-06-09,16.83
2022-06-10,13.26
2022-06-13,5.85
2022-06-14,6.06
2022-06-15,8.75
2022-06-16,1.94
2022-06-17,3.2
2022-06-21,3.7
2022-06-22,8.09
2022-06-23,13.17
2022-06-24,12.88
2022-06-27,12.99
2022-06-28,9.41
2022-06-29,9.28
2022-06-30,5.31
2022-07-01,6.45
2022-07-05,6.24
2022-07-06,4.22
2022-07-07,8.23
2022-07-08,7.75
2022-07-11,-1.18
2022-07-12,4.42
2022-07-13,4.47
2022-07-14,5.31
2022-07-15,8.38
2022-07-18,6.1
2022-07-19,7.96
2022-07-20,10.01
2022-07-21,12.45
2022-07-22,8.83
2022-07-25,8.54
2022-07-26,8.33
2022-07-27,12.28
2022-07-28,12.92
2022-07-29,14.81
2022-08-01,14.68
2022-08-02,14.5
2022-08-03,18.75
2022-08-04,19.0
2022-08-05,25.02
2022-08-08,29.34
2022-08-09,21.28
2022-08-10,25.64
2022-08-11,24.19
2022-08-12,26.65
2022-08-15,31.37
2022-08-16,30.33
2022-08-17,26.16
2022-08-18,28.8
2022-08-19,29.4
2022-08-22,20.33
2022-08-23,21.07
2022-08-24,25.95
2022-08-25,30.64
2022-08-26,26.49
2022-08-29,23.06
2022-08-30,19.48
2022-08-31,20.41
2022-09-01,16.87
2022-09-02,19.02
2022-09-06,17.64
2022-09-07,24.48
2022-09-08,24.69
2022-09-09,26.82
2022-09-12,29.73
2022-09-13,24.73
2022-09-14,23.64
2022-09-15,20.16
2022-09-16,13.83
2022-09-19,13.23
2022-09-20,13.85
2022-09-21,12.59
2022-09-22,7.42
2022-09-23,1.2
2022-09-26,-2.3
2022-09-27,-1.55
2022-09-28,3.29
2022-09-29,2.44
2022-09-30,5.75
2022-10-03,9.2
2022-10-04,11.46
2022-10-05,13.13
2022-10-06,10.98
2022-10-07,7.15
2022-10-10,5.36
2022-10-11,8.99
2022-10-12,8.37
2022-10-13,11.31
2022-10-14,8.0
2022-10-17,10.79
2022-10-18,9.12
2022-10-19,-0.99
2022-10-20,-1.05
2022-10-21,0.58
2022-10-24,2.69
2022-10-25,7.42
2022-10-26,7.96
2022-10-27,8.17
2022-10-28,9.64
2022-10-31,9.2
2022-11-01,10.13
2022-11-02,9.31
2022-11-03,5.05
2022-11-04,4.74
2022-11-07,2.92
2022-11-08,-3.27
2022-11-09,-0.91
2022-11-10,7.22
2022-11-11,16.34
2022-11-14,24.3
2022-11-15,22.7
2022-11-16,20.89
2022-11-17,16.07
2022-11-18,18.22
2022-11-21,21.26
2022-11-22,18.51
2022-11-23,23.41
2022-11-25,22.06
2022-11-28,17.74
2022-11-29,16.71
2022-11-30,23.47
2022-12-01,30.85
2022-12-02,37.49
2022-12-05,33.17
2022-12-06,31.06
2022-12-07,33.13
2022-12-08,32.75
2022-12-09,33.5
2022-12-12,38.44
2022-12-13,41.25
2022-12-14,36.95
2022-12-15,29.57
2022-12-16,30.5
2022-12-19,26.45
2022-12-20,26.61
2022-12-21,24.65
2022-12-22,22.42
2022-12-23,21.96
2022-12-27,16.42
2022-12-28,17.06
2022-12-29,25.64
2022-12-30,27.13
2023-01-03,21.46
2023-01-04,25.95
2023-01-05,24.36
2023-01-06,23.57
2023-01-09,18.98
2023-01-10,19.91
2023-01-11,24.65
2023-01-12,33.91
2023-01-13,34.18
2023-01-17,35.34
2023-01-18,34.74
2023-01-19,27.21
2023-01-20,33.11
2023-01-23,32.09
2023-01-24,30.46
2023-01-25,32.53
2023-01-26,30.5
2023-01-27,27.85
2023-01-30,30.17
2023-01-31,31.76
2023-02-01,32.69
2023-02-02,37.55
2023-02-03,37.2
