date,pct_chg
2022-02-04,0.9
2022-02-07,2.01
2022-02-08,5.58
2022-02-09,7.24
2022-02-10,7.55
2022-02-11,4.61
2022-02-14,7.36
2022-02-15,15.39
2022-02-16,16.41
2022-02-17,13.97
2022-02-18,13.89
2022-02-22,11.45
2022-02-23,8.15
2022-02-24,5.49
2022-02-25,8.86
2022-02-28,6.78
2022-03-01,2.28
2022-03-02,4.67
2022-03-03,0.87
2022-03-04,-4.05
2022-03-07,-14.51
2022-03-08,-9.78
2022-03-09,-4.89
2022-03-10,-2.59
2022-03-11,-2.37
2022-03-14,-2.48
2022-03-15,2.64
2022-03-16,5.03
2022-03-17,4.54
2022-03-18,5.18
2022-03-21,3.55
2022-03-22,4.38
2022-03-23,1.79
2022-03-24,6.19
2022-03-25,4.63
2022-03-28,5.19
2022-03-29,6.4
2022-03-30,4.63
2022-03-31,6.54
2022-04-01,7.92
2022-04-04,7.42
2022-04-05,3.69
2022-04-06,-1.2
2022-04-07,-0.91
2022-04-08,-2.11
2022-04-11,-3.46
2022-04-12,-2.75
2022-04-13,2.0
2022-04-14,4.3
2022-04-18,1.19
2022-04-19,1.46
2022-04-20,1.2
2022-04-21,-0.15
2022-04-22,-1.09
2022-04-25,1.69
2022-04-26,-2.77
2022-04-27,-0.62
2022-04-28,-0.14
2022-04-29,-4.85
2022-05-02,-4.82
2022-05-03,-18.16
2022-05-04,-18.57
2022-05-05,-24.04
2022-05-06,-27.95
2022-05-09,-30.42
2022-05-10,-27.94
2022-05-11,-27.46
2022-05-12,-30.12
2022-05-13,-28.25
2022-05-16,-32.57
2022-05-17,-33.12
2022-05-18,-34.58
2022-05-19,-31.08
2022-05-20,-32.16
2022-05-23,-33.77
2022-05-24,-36.43
2022-05-25,-32.63
2022-05-26,-29.06
2022-05-27,-28.69
2022-05-31,-29.58
2022-06-01,-31.27
2022-06-02,-26.94
2022-06-03,-28.31
2022-06-06,-27.39
2022-06-07,-28.59
2022-06-08,-29.51
2022-06-09,-33.58
2022-06-10,-37.3
2022-06-13,-42.14
2022-06-14,-44.5
2022-06-15,-43.15
2022-06-16,-47.55
2022-06-17,-45.35
2022-06-21,-46.22
2022-06-22,-47.11
2022-06-23,-48.81
2022-06-24,-44.28
2022-06-27,-44.9
2022-06-28,-46.71
2022-06-29,-47.74
2022-06-30,-48.37
2022-07-01,-47.51
2022-07-05,-47.09
2022-07-06,-48.89
2022-07-07,-47.35
2022-07-08,-48.34
2022-07-11,-50.36
2022-07-12,-49.89
2022-07-13,-49.37
2022-07-14,-51.31
2022-07-15,-49.72
2022-07-18,-48.66
2022-07-19,-45.38
2022-07-20,-43.82
2022-07-21,-44.26
2022-07-22,-45.89
2022-07-25,-45.14
2022-07-26,-46.79
2022-07-27,-43.5
2022-07-28,-42.66
2022-07-29,-42.26
2022-08-01,-44.03
2022-08-02,-43.43
2022-08-03,-42.48
2022-08-04,-44.35
2022-08-05,-44.18
2022-08-08,-42.62
2022-08-09,-43.56
2022-08-10,-40.53
2022-08-11,-40.04
2022-08-12,-38.2
2022-08-15,-38.38
2022-08-16,-36.21
2022-08-17,-37.92
2022-08-18,-38.11
2022-08-19,-40.77
2022-08-22,-42.35
2022-08-23,-42.3
2022-08-24,-41.85
2022-08-25,-40.97
2022-08-26,-43.69
2022-08-29,-43.73
2022-08-30,-44.11
2022-08-31,-44.11
2022-09-01,-44.61
2022-09-02,-44.41
2022-09-06,-45.09
2022-09-07,-43.28
2022-09-08,-42.84
2022-09-09,-40.56
2022-09-12,-39.16
2022-09-13,-41.09
2022-09-14,-40.0
2022-09-15,-41.31
2022-09-16,-44.52
2022-09-19,-44.2
2022-09-20,-43.03
2022-09-21,-46.09
2022-09-22,-49.91
2022-09-23,-50.31
2022-09-26,-51.17
2022-09-27,-50.01
2022-09-28,-47.78
2022-09-29,-48.7
