date,pct_chg
2022-02-04,1.45
2022-02-07,1.66
2022-02-08,6.43
2022-02-09,3.53
2022-02-10,3.39
2022-02-11,1.94
2022-02-14,0.48
2022-02-15,2.84
2022-02-16,2.84
2022-02-17,-2.14
2022-02-18,-1.45
2022-02-22,-2.35
2022-02-23,-4.15
2022-02-24,-5.26
2022-02-25,-2.21
2022-02-28,-2.35
2022-03-01,-9.2
2022-03-02,-4.7
2022-03-03,-5.33
2022-03-04,-13.0
2022-03-07,-17.36
2022-03-08,-15.28
2022-03-09,-10.93
2022-03-10,-13.49
2022-03-11,-11.89
2022-03-14,-10.93
2022-03-15,-10.86
2022-03-16,-7.47
2022-03-17,-7.54
2022-03-18,-7.12
2022-03-21,-6.98
2022-03-22,-6.78
2022-03-23,-9.68
2022-03-24,-9.06
2022-03-25,-7.33
2022-03-28,-7.81
2022-03-29,-1.59
2022-03-30,-8.78
2022-03-31,-9.27
2022-04-01,-8.09
2022-04-04,-9.34
2022-04-05,-10.03
2022-04-06,-10.93
2022-04-07,-11.27
2022-04-08,-10.72
2022-04-11,-10.44
2022-04-12,-11.0
2022-04-13,-9.13
2022-04-14,-9.68
2022-04-18,-9.47
2022-04-19,-6.43
2022-04-20,-4.08
2022-04-21,-6.15
2022-04-22,-9.06
2022-04-25,-9.68
2022-04-26,-9.89
2022-04-27,-9.06
2022-04-28,0.14
2022-04-29,-5.88
2022-05-02,-4.36
2022-05-03,-3.94
2022-05-04,-0.97
2022-05-05,-3.25
2022-05-06,-5.05
2022-05-09,-5.95
2022-05-10,-7.12
2022-05-11,-7.61
2022-05-12,-7.75
2022-05-13,-5.26
2022-05-16,-6.22
2022-05-17,-2.14
2022-05-18,-4.56
2022-05-19,-5.67
2022-05-20,-5.88
2022-05-23,-3.73
2022-05-24,-4.7
2022-05-25,-1.45
2022-05-26,2.21
2022-05-27,4.91
2022-05-31,3.25
2022-06-01,4.01
2022-06-02,5.46
2022-06-03,3.46
2022-06-06,3.18
2022-06-07,5.05
2022-06-08,3.67
2022-06-09,-0.07
2022-06-10,-3.87
2022-06-13,-7.33
2022-06-14,-5.6
2022-06-15,-5.6
2022-06-16,-11.27
2022-06-17,-9.2
2022-06-21,-7.81
2022-06-22,-7.95
2022-06-23,-11.34
2022-06-24,-7.12
2022-06-27,-6.5
2022-06-28,-7.81
2022-06-29,-9.47
2022-06-30,-10.72
2022-07-01,-8.3
2022-07-05,-6.85
2022-07-06,-8.85
2022-07-07,-7.12
2022-07-08,-6.09
2022-07-11,-6.78
2022-07-12,-7.75
2022-07-13,-10.65
2022-07-14,-9.54
2022-07-15,-6.15
2022-07-18,-3.8
2022-07-19,-0.76
2022-07-20,-1.24
2022-07-21,0.14
2022-07-22,1.38
2022-07-25,2.42
2022-07-26,1.31
2022-07-27,4.08
2022-07-28,1.94
2022-07-29,4.36
2022-08-01,3.46
