date,pct_chg
2022-02-04,2.11
2022-02-07,1.0
2022-02-08,4.79
2022-02-09,4.23
2022-02-10,2.81
2022-02-11,0.06
2022-02-14,-0.05
2022-02-15,2.85
2022-02-16,2.29
2022-02-17,-0.57
2022-02-18,0.18
2022-02-22,-0.88
2022-02-23,-3.46
2022-02-24,-3.52
2022-02-25,1.5
2022-02-28,2.34
2022-03-01,-1.8
2022-03-02,1.1
2022-03-03,-2.26
2022-03-04,-7.75
2022-03-07,-14.03
2022-03-08,-13.77
2022-03-09,-10.23
2022-03-10,-8.18
2022-03-11,-7.93
2022-03-14,-6.19
2022-03-15,-5.67
2022-03-16,-1.59
2022-03-17,-4.43
2022-03-18,-3.65
2022-03-21,-5.56
2022-03-22,-4.0
2022-03-23,-6.91
2022-03-24,-11.21
2022-03-25,-10.95
2022-03-28,-9.55
2022-03-29,-8.22
2022-03-30,-12.05
2022-03-31,-13.6
2022-04-01,-14.56
2022-04-04,-14.53
2022-04-05,-16.28
2022-04-06,-17.62
2022-04-07,-18.74
2022-04-08,-17.68
2022-04-11,-16.47
2022-04-12,-17.91
2022-04-13,-16.51
2022-04-14,-17.2
2022-04-18,-17.58
2022-04-19,-14.78
2022-04-20,-14.86
2022-04-21,-16.76
2022-04-22,-18.33
2022-04-25,-16.99
2022-04-26,-20.04
2022-04-27,-19.51
2022-04-28,-13.73
2022-04-29,-17.01
2022-05-02,-15.7
2022-05-03,-14.71
2022-05-04,-11.05
2022-05-05,-14.04
2022-05-06,-15.42
2022-05-09,-16.91
2022-05-10,-16.53
2022-05-11,-17.88
2022-05-12,-18.6
2022-05-13,-16.15
2022-05-16,-16.34
2022-05-17,-12.46
2022-05-18,-14.53
2022-05-19,-15.59
2022-05-20,-17.48
2022-05-23,-14.78
2022-05-24,-15.79
2022-05-25,-14.19
2022-05-26,-11.45
2022-05-27,-9.94
2022-05-31,-9.09
2022-06-01,-9.94
2022-06-02,-9.66
2022-06-03,-11.14
2022-06-06,-10.77
2022-06-07,-10.73
2022-06-08,-11.47
2022-06-09,-13.6
2022-06-10,-16.8
2022-06-13,-17.93
2022-06-14,-19.17
2022-06-15,-18.2
2022-06-16,-22.28
2022-06-17,-19.78
2022-06-21,-17.95
2022-06-22,-16.51
2022-06-23,-15.65
2022-06-24,-13.18
2022-06-27,-11.94
2022-06-28,-12.5
2022-06-29,-13.3
2022-06-30,-15.14
2022-07-01,-12.7
2022-07-05,-11.25
2022-07-06,-12.7
2022-07-07,-10.64
2022-07-08,-11.48
2022-07-11,-12.31
2022-07-12,-11.73
2022-07-13,-12.76
2022-07-14,-14.65
2022-07-15,-11.48
2022-07-18,-11.57
2022-07-19,-9.98
2022-07-20,-9.76
2022-07-21,-7.86
2022-07-22,-8.68
2022-07-25,-6.89
2022-07-26,-9.04
2022-07-27,-6.52
2022-07-28,-3.84
2022-07-29,-1.78
2022-08-01,-0.82
2022-08-02,-0.26
2022-08-03,1.7
2022-08-04,2.53
2022-08-05,3.7
2022-08-08,2.79
2022-08-09,4.33
2022-08-10,6.29
2022-08-11,7.41
2022-08-12,9.53
2022-08-15,10.5
2022-08-16,11.27
2022-08-17,10.65
2022-08-18,10.48
2022-08-19,9.01
2022-08-22,7.54
2022-08-23,6.65
2022-08-24,7.63
2022-08-25,8.61
2022-08-26,5.63
2022-08-29,5.43
2022-08-30,5.75
2022-08-31,5.39
2022-09-01,4.33
2022-09-02,3.75
2022-09-06,3.5
2022-09-07,6.03
2022-09-08,9.75
2022-09-09,9.85
2022-09-12,12.12
2022-09-13,9.83
2022-09-14,11.38
2022-09-15,10.35
2022-09-16,7.29
2022-09-19,10.6
2022-09-20,10.33
2022-09-21,8.95
2022-09-22,6.09
2022-09-23,5.02
2022-09-26,2.74
2022-09-27,2.62
2022-09-28,5.33
2022-09-29,2.55
2022-09-30,3.51
2022-10-03,7.14
2022-10-04,11.05
2022-10-05,10.72
2022-10-06,9.48
2022-10-07,7.17
2022-10-10,7.95
2022-10-11,7.5
2022-10-12,7.06
2022-10-13,10.78
2022-10-14,10.35
2022-10-17,12.64
2022-10-18,13.42
2022-10-19,12.55
2022-10-20,9.85
2022-10-21,9.88
2022-10-24,10.0
2022-10-25,10.06
2022-10-26,10.94
2022-10-27,2.58
2022-10-28,4.84
2022-10-31,6.71
2022-11-01,5.5
2022-11-02,3.97
2022-11-03,5.22
2022-11-04,6.47
2022-11-07,7.53
2022-11-08,9.51
2022-11-09,6.68
2022-11-10,10.01
2022-11-11,8.03
2022-11-14,5.9
2022-11-15,6.5
2022-11-16,2.58
2022-11-17,2.71
2022-11-18,2.43
2022-11-21,3.96
2022-11-22,4.85
2022-11-23,4.53
2022-11-25,5.47
2022-11-28,3.25
2022-11-29,3.79
2022-11-30,5.98
2022-12-01,5.17
2022-12-02,5.75
2022-12-05,3.46
2022-12-06,1.57
2022-12-07,1.9
2022-12-08,2.46
2022-12-09,0.91
2022-12-12,0.61
2022-12-13,-1.49
2022-12-14,-3.32
2022-12-15,-4.64
2022-12-16,-5.29
2022-12-19,-5.22
2022-12-20,-4.69
2022-12-21,-3.03
2022-12-22,-3.63
2022-12-23,-2.5
2022-12-27,-2.52
2022-12-28,-2.9
2022-12-29,-1.6
2022-12-30,-1.56
2023-01-03,-2.46
2023-01-04,-1.9
2023-01-05,-1.88
2023-01-06,2.29
2023-01-09,2.33
2023-01-10,4.1
2023-01-11,4.97
2023-01-12,6.38
2023-01-13,7.74
2023-01-17,6.96
2023-01-18,2.98
2023-01-19,2.57
2023-01-20,3.48
2023-01-23,6.01
2023-01-24,3.75
2023-01-25,3.2
2023-01-26,-0.32
2023-01-27,-0.11
2023-01-30,-1.29
2023-01-31,0.94
2023-02-01,1.32
2023-02-02,1.27
2023-02-03,1.0
