date,pct_chg
2022-02-04,1.43
2022-02-07,4.29
2022-02-08,3.33
2022-02-09,2.86
2022-02-10,4.76
2022-02-11,5.71
2022-02-14,9.52
2022-02-15,7.14
2022-02-16,8.57
2022-02-17,9.52
2022-02-18,7.14
2022-02-22,4.76
2022-02-23,2.38
2022-02-24,0.95
2022-02-25,1.9
2022-02-28,7.14
2022-03-01,7.62
2022-03-02,9.52
2022-03-03,11.43
2022-03-04,14.29
2022-03-07,16.67
2022-03-08,14.76
2022-03-09,15.24
2022-03-10,16.19
2022-03-11,16.19
2022-03-14,7.62
2022-03-15,8.57
2022-03-16,11.43
2022-03-17,11.9
2022-03-18,10.95
2022-03-21,10.48
2022-03-22,7.62
2022-03-23,9.52
2022-03-24,8.57
2022-03-25,6.67
2022-03-28,2.38
2022-03-29,5.24
2022-03-30,6.67
2022-03-31,4.76
2022-04-01,7.14
2022-04-04,6.19
2022-04-05,7.14
2022-04-06,6.19
2022-04-07,4.76
2022-04-08,8.1
2022-04-11,3.81
2022-04-12,9.52
2022-04-13,11.9
2022-04-14,8.57
2022-04-18,8.1
2022-04-19,6.67
2022-04-20,4.76
2022-04-21,4.29
2022-04-22,0.95
2022-04-25,-2.38
2022-04-26,-4.76
2022-04-27,-5.71
2022-04-28,-5.71
2022-04-29,-5.24
2022-05-02,-9.52
2022-05-03,-7.14
2022-05-04,-6.19
2022-05-05,-10.0
2022-05-06,-12.38
2022-05-09,-19.52
2022-05-10,-20.95
2022-05-11,-20.48
2022-05-12,-24.29
2022-05-13,-16.19
2022-05-16,-14.76
2022-05-17,-15.24
2022-05-18,-19.05
2022-05-19,-14.29
2022-05-20,-12.86
2022-05-23,-9.05
2022-05-24,-8.1
2022-05-25,-11.9
2022-05-26,-11.9
2022-05-27,-10.0
2022-05-31,-7.62
2022-06-01,-9.52
2022-06-02,-2.38
2022-06-03,-5.71
2022-06-06,-9.52
2022-06-07,-6.19
2022-06-08,-7.14
2022-06-09,-9.05
2022-06-10,-6.67
2022-06-13,-10.48
2022-06-14,-15.24
2022-06-15,-14.76
2022-06-16,-14.76
2022-06-17,-12.86
2022-06-21,-12.38
2022-06-22,-15.71
2022-06-23,-19.05
2022-06-24,-15.71
2022-06-27,-16.67
2022-06-28,-16.67
2022-06-29,-19.52
2022-06-30,-20.48
2022-07-01,-16.67
2022-07-05,-21.9
2022-07-06,-22.86
2022-07-07,-22.86
2022-07-08,-23.81
2022-07-11,-19.05
2022-07-12,-21.9
2022-07-13,-21.9
2022-07-14,-24.29
2022-07-15,-25.71
2022-07-18,-17.62
2022-07-19,-13.33
2022-07-20,-13.33
2022-07-21,-15.24
2022-07-22,-10.0
2022-07-25,-13.81
2022-07-26,-15.71
2022-07-27,-13.81
2022-07-28,-9.05
2022-07-29,-5.24
2022-08-01,-4.76
2022-08-02,-9.52
2022-08-03,-11.9
2022-08-04,-9.52
2022-08-05,-11.43
2022-08-08,-7.62
2022-08-09,-9.52
2022-08-10,-6.67
2022-08-11,-9.05
2022-08-12,-11.9
2022-08-15,-13.81
2022-08-16,-13.33
2022-08-17,-12.86
2022-08-18,-14.29
2022-08-19,-14.29
2022-08-22,-18.1
2022-08-23,-10.48
2022-08-24,-12.38
2022-08-25,-12.38
2022-08-26,-15.71
2022-08-29,-17.14
2022-08-30,-21.43
2022-08-31,-21.43
2022-09-01,-21.43
2022-09-02,-21.43
2022-09-06,-23.81
2022-09-07,-19.52
2022-09-08,-22.86
2022-09-09,-20.95
2022-09-12,-21.05
2022-09-13,-21.43
2022-09-14,-20.0
2022-09-15,-22.38
2022-09-16,-23.81
2022-09-19,-22.38
2022-09-20,-23.81
2022-09-21,-23.81
2022-09-22,-23.33
2022-09-23,-26.19
2022-09-26,-29.52
2022-09-27,-28.62
2022-09-28,-26.67
2022-09-29,-29.05
2022-09-30,-28.57
2022-10-03,-26.19
2022-10-04,-22.38
2022-10-05,-22.86
2022-10-06,-25.24
2022-10-07,-29.05
2022-10-10,-28.57
2022-10-11,-30.95
2022-10-12,-31.76
2022-10-13,-30.24
2022-10-14,-31.9
2022-10-17,-26.67
2022-10-18,-27.14
2022-10-19,-29.05
2022-10-20,-28.57
2022-10-21,-24.76
2022-10-24,-28.57
2022-10-25,-28.29
2022-10-26,-24.0
2022-10-27,-23.81
2022-10-28,-28.1
2022-10-31,-28.48
2022-11-01,-29.24
2022-11-02,-29.52
2022-11-03,-30.0
2022-11-04,-28.57
2022-11-07,-28.57
2022-11-08,-26.19
2022-11-09,-25.52
2022-11-10,-24.76
2022-11-11,-26.19
2022-11-14,-24.29
2022-11-15,-26.67
2022-11-16,-28.57
2022-11-17,-27.52
2022-11-18,-26.81
2022-11-21,-29.52
2022-11-22,-27.86
2022-11-23,-29.05
2022-11-25,-27.14
2022-11-28,-30.48
2022-11-29,-30.48
2022-11-30,-28.57
2022-12-01,-28.67
2022-12-02,-24.62
2022-12-05,-27.14
2022-12-06,-29.52
2022-12-07,-29.05
2022-12-08,-30.0
2022-12-09,-28.05
2022-12-12,-28.1
2022-12-13,-28.57
2022-12-14,-28.57
2022-12-15,-26.67
2022-12-16,-26.86
2022-12-19,-26.67
2022-12-20,-23.81
2022-12-21,-24.29
2022-12-22,-24.29
2022-12-23,-25.24
2022-12-27,-25.71
2022-12-28,-29.05
2022-12-29,-27.62
2022-12-30,-28.57
2023-01-03,-26.67
2023-01-04,-22.38
2023-01-05,-22.38
2023-01-06,-15.71
2023-01-09,-19.52
2023-01-10,-21.33
2023-01-11,-21.43
2023-01-12,-21.95
2023-01-13,-22.86
2023-01-17,-25.71
2023-01-18,-25.71
2023-01-19,-23.33
2023-01-20,-22.38
2023-01-23,-23.81
2023-01-24,-24.76
2023-01-25,-24.76
2023-01-26,-23.81
2023-01-27,-24.76
2023-01-30,-24.29
2023-01-31,-24.29
2023-02-01,-25.71
2023-02-02,-25.86
2023-02-03,-28.1
