date,pct_chg
2022-02-04,1.87
2022-02-07,9.65
2022-02-08,11.03
2022-02-09,16.52
2022-02-10,10.27
2022-02-11,8.74
2022-02-14,8.26
2022-02-15,10.27
2022-02-16,8.54
2022-02-17,3.96
2022-02-18,1.53
2022-02-22,0.21
2022-02-23,-2.71
2022-02-24,2.43
2022-02-25,0.76
2022-02-28,-2.36
2022-03-01,-5.48
2022-03-02,-7.08
2022-03-03,-8.67
2022-03-04,-9.92
2022-03-07,-11.94
2022-03-08,-12.63
2022-03-09,-8.81
2022-03-10,-9.51
2022-03-11,-10.83
2022-03-14,-16.45
2022-03-15,-14.43
2022-03-16,-12.49
2022-03-17,-8.81
2022-03-18,-6.38
2022-03-21,-10.48
2022-03-22,-7.63
2022-03-23,-10.62
2022-03-24,-9.3
2022-03-25,-13.39
2022-03-28,-14.23
2022-03-29,-11.1
2022-03-30,-15.89
2022-03-31,-16.59
2022-04-01,-12.98
2022-04-04,-10.06
2022-04-05,-12.84
2022-04-06,-11.66
2022-04-07,-12.7
2022-04-08,-13.74
2022-04-11,-15.48
2022-04-12,-14.92
2022-04-13,-13.19
2022-04-14,-17.97
2022-04-18,-25.68
2022-04-19,-26.3
2022-04-20,-25.95
2022-04-21,-30.4
2022-04-22,-28.8
2022-04-25,-27.69
2022-04-26,-31.64
2022-04-27,-31.44
2022-04-28,-32.13
2022-04-29,-35.46
2022-05-02,-33.24
2022-05-03,-32.55
2022-05-04,-32.76
2022-05-05,-38.31
2022-05-06,-41.64
2022-05-09,-44.9
2022-05-10,-30.67
2022-05-11,-32.2
2022-05-12,-33.73
2022-05-13,-31.02
2022-05-16,-35.88
2022-05-17,-36.16
2022-05-18,-41.64
2022-05-19,-40.53
2022-05-20,-40.32
2022-05-23,-39.28
2022-05-24,-40.87
2022-05-25,-39.9
2022-05-26,-36.02
2022-05-27,-30.26
2022-05-31,-31.71
2022-06-01,-33.31
2022-06-02,-33.73
2022-06-03,-30.67
2022-06-06,-34.07
2022-06-07,-27.13
2022-06-08,-28.45
2022-06-09,-30.67
2022-06-10,-34.98
2022-06-13,-38.17
2022-06-14,-37.82
2022-06-15,-34.7
2022-06-16,-37.54
2022-06-17,-31.09
2022-06-21,-24.98
2022-06-22,-20.75
2022-06-23,-18.74
2022-06-24,-19.36
2022-06-27,-19.08
2022-06-28,-22.21
2022-06-29,-24.15
2022-06-30,-26.72
2022-07-01,-20.89
2022-07-05,-14.37
2022-07-06,-13.95
2022-07-07,-13.95
2022-07-08,-14.43
2022-07-11,-19.57
2022-07-12,-16.1
2022-07-13,-13.46
2022-07-14,-16.72
2022-07-15,-15.2
2022-07-18,-16.1
2022-07-19,-13.32
2022-07-20,-13.46
2022-07-21,-13.46
2022-07-22,-14.57
2022-07-25,-15.41
2022-07-26,-13.74
2022-07-27,-11.87
2022-07-28,-9.78
2022-07-29,-12.7
2022-08-01,-15.61
2022-08-02,-14.16
2022-08-03,-11.8
2022-08-04,-3.19
2022-08-05,0.69
2022-08-08,1.32
2022-08-09,-2.01
2022-08-10,0.42
2022-08-11,-2.5
2022-08-12,0.56
2022-08-15,1.25
2022-08-16,0.21
2022-08-17,-0.56
2022-08-18,0.0
2022-08-19,-2.29
2022-08-22,-4.72
2022-08-23,-5.07
2022-08-24,-5.48
2022-08-25,-5.97
2022-08-26,-8.05
2022-08-29,-6.59
2022-08-30,-10.69
2022-08-31,-13.67
2022-09-01,-9.16
2022-09-02,-12.56
2022-09-06,-14.92
2022-09-07,-12.42
2022-09-08,-11.87
2022-09-09,-10.62
2022-09-12,-8.95
2022-09-13,-15.41
2022-09-14,-16.72
2022-09-15,-15.68
2022-09-16,-17.14
2022-09-19,-16.86
2022-09-20,-14.85
2022-09-21,-15.96
2022-09-22,-14.71
2022-09-23,-15.48
2022-09-26,-15.61
2022-09-27,-13.67
2022-09-28,-7.29
2022-09-29,-7.98
2022-09-30,-9.72
2022-10-03,-7.91
2022-10-04,-4.44
2022-10-05,-1.8
2022-10-06,-1.04
2022-10-07,2.15
2022-10-10,-3.12
2022-10-11,-1.04
2022-10-12,-1.87
2022-10-13,7.01
2022-10-14,10.13
2022-10-17,16.86
2022-10-18,20.54
2022-10-19,9.23
2022-10-20,7.29
2022-10-21,13.81
2022-10-24,21.17
2022-10-25,22.48
2022-10-26,23.04
2022-10-27,16.17
2022-10-28,18.81
2022-10-31,12.98
2022-11-01,20.96
2022-11-02,14.5
2022-11-03,14.16
2022-11-04,12.77
2022-11-07,12.14
2022-11-08,-1.8
2022-11-09,4.86
2022-11-10,12.14
2022-11-11,7.63
2022-11-14,3.75
2022-11-15,3.54
2022-11-16,3.54
2022-11-17,3.96
2022-11-18,0.9
2022-11-21,-3.33
2022-11-22,-4.37
2022-11-23,-2.98
2022-11-25,-3.89
2022-11-28,-2.5
2022-11-29,-1.11
2022-11-30,-0.28
2022-12-01,4.37
2022-12-02,14.37
2022-12-05,12.35
2022-12-06,9.58
2022-12-07,7.08
2022-12-08,4.44
2022-12-09,1.32
2022-12-12,-0.35
2022-12-13,5.2
2022-12-14,4.58
2022-12-15,0.76
2022-12-16,1.73
2022-12-19,-1.32
2022-12-20,-0.28
2022-12-21,9.3
2022-12-22,10.06
2022-12-23,8.33
2022-12-27,5.69
2022-12-28,6.18
2022-12-29,8.95
2022-12-30,11.17
2023-01-03,10.69
2023-01-04,11.73
2023-01-05,24.91
2023-01-06,37.34
2023-01-09,38.1
2023-01-10,45.8
2023-01-11,35.32
2023-01-12,44.69
2023-01-13,42.26
2023-01-17,36.92
2023-01-18,32.55
2023-01-19,32.76
2023-01-20,38.65
2023-01-23,38.93
2023-01-24,41.08
2023-01-25,43.3
2023-01-26,53.44
2023-01-27,50.94
2023-01-30,49.83
2023-01-31,63.78
2023-02-01,69.26
2023-02-02,72.45
2023-02-03,70.51
