date,pct_chg
2022-02-04,-0.29
2022-02-07,-0.29
2022-02-08,-0.36
2022-02-09,0.79
2022-02-10,-1.3
2022-02-11,-0.36
2022-02-14,-1.66
2022-02-15,-2.16
2022-02-16,-2.45
2022-02-17,-2.31
2022-02-18,-2.53
2022-02-22,-3.32
2022-02-23,-3.32
2022-02-24,-3.17
2022-02-25,-0.94
2022-02-28,1.08
2022-03-01,0.79
2022-03-02,2.81
2022-03-03,4.91
2022-03-04,4.76
2022-03-07,6.06
2022-03-08,5.92
2022-03-09,4.69
2022-03-10,5.12
2022-03-11,4.4
2022-03-14,3.03
2022-03-15,3.9
2022-03-16,4.4
2022-03-17,5.05
2022-03-18,4.33
2022-03-21,5.19
2022-03-22,5.34
2022-03-23,6.78
2022-03-24,7.14
2022-03-25,8.15
2022-03-28,8.08
2022-03-29,9.31
2022-03-30,9.38
2022-03-31,9.88
2022-04-01,11.18
2022-04-04,11.04
2022-04-05,10.17
2022-04-06,10.03
2022-04-07,10.32
2022-04-08,11.47
2022-04-11,9.38
2022-04-12,10.75
2022-04-13,11.4
2022-04-14,10.53
2022-04-18,10.53
2022-04-19,11.83
2022-04-20,14.0
2022-04-21,12.19
2022-04-22,10.75
2022-04-25,6.57
2022-04-26,5.77
2022-04-27,6.64
2022-04-28,7.58
2022-04-29,1.95
2022-05-02,1.52
2022-05-03,1.73
2022-05-04,5.92
2022-05-05,4.62
2022-05-06,6.2
2022-05-09,2.16
2022-05-10,1.73
2022-05-11,1.01
2022-05-12,1.15
2022-05-13,3.61
2022-05-16,5.41
2022-05-17,7.94
2022-05-18,7.0
2022-05-19,6.57
2022-05-20,7.58
2022-05-23,8.44
2022-05-24,9.96
2022-05-25,10.97
2022-05-26,12.55
2022-05-27,14.07
2022-05-31,11.98
2022-06-01,12.55
2022-06-02,13.2
2022-06-03,12.55
2022-06-06,12.77
2022-06-07,14.0
2022-06-08,12.7
2022-06-09,11.11
2022-06-10,10.1
2022-06-13,4.55
2022-06-14,2.96
2022-06-15,1.8
2022-06-16,-2.24
2022-06-17,-4.18
2022-06-21,-1.15
2022-06-22,-2.74
2022-06-23,-1.66
2022-06-24,0.79
2022-06-27,3.32
2022-06-28,4.4
2022-06-29,2.89
2022-06-30,3.32
2022-07-01,5.27
2022-07-05,-0.94
2022-07-06,-1.66
2022-07-07,0.43
2022-07-08,1.23
2022-07-11,1.52
2022-07-12,-0.43
2022-07-13,0.43
2022-07-14,-0.43
2022-07-15,0.65
2022-07-18,1.8
2022-07-19,3.82
2022-07-20,6.35
2022-07-21,5.12
2022-07-22,5.19
2022-07-25,8.08
2022-07-26,9.24
2022-07-27,9.38
2022-07-28,10.53
2022-07-29,9.74
2022-08-01,6.42
2022-08-02,6.06
2022-08-03,6.49
2022-08-04,5.56
2022-08-05,4.91
2022-08-08,6.13
2022-08-09,7.07
2022-08-10,8.44
2022-08-11,10.32
2022-08-12,11.69
2022-08-15,11.69
2022-08-16,12.48
2022-08-17,12.19
2022-08-18,13.64
2022-08-19,12.84
2022-08-22,12.12
2022-08-23,13.2
2022-08-24,14.36
2022-08-25,15.15
2022-08-26,12.27
2022-08-29,13.28
2022-08-30,11.54
2022-08-31,9.6
2022-09-01,7.94
2022-09-02,9.16
2022-09-06,9.45
2022-09-07,9.96
2022-09-08,9.02
2022-09-09,10.53
2022-09-12,11.83
2022-09-13,9.52
2022-09-14,12.48
2022-09-15,10.25
2022-09-16,8.15
2022-09-19,10.46
2022-09-20,9.02
2022-09-21,7.29
2022-09-22,6.35
2022-09-23,0.43
2022-09-26,-3.32
2022-09-27,-3.61
2022-09-28,0.58
2022-09-29,-2.6
2022-09-30,-3.82
2022-10-03,-1.44
2022-10-04,1.44
2022-10-05,1.15
2022-10-06,-0.58
2022-10-07,-3.1
2022-10-10,-4.04
2022-10-11,-3.61
2022-10-12,-5.05
2022-10-13,-2.31
2022-10-14,-4.76
2022-10-17,-2.53
2022-10-18,-0.79
2022-10-19,-0.65
2022-10-20,-2.02
2022-10-21,0.07
2022-10-24,0.14
2022-10-25,1.44
2022-10-26,2.45
2022-10-27,2.31
2022-10-28,3.9
2022-10-31,4.62
2022-11-01,4.33
2022-11-02,2.67
2022-11-03,2.09
2022-11-04,3.54
2022-11-07,3.39
2022-11-08,4.26
2022-11-09,2.67
2022-11-10,5.34
2022-11-11,5.56
2022-11-14,5.48
2022-11-15,5.63
2022-11-16,5.92
2022-11-17,4.83
2022-11-18,7.07
2022-11-21,6.64
2022-11-22,10.32
2022-11-23,10.32
2022-11-25,10.1
2022-11-28,8.08
2022-11-29,8.87
2022-11-30,9.96
2022-12-01,9.6
2022-12-02,9.67
2022-12-05,7.79
2022-12-06,6.2
2022-12-07,6.28
2022-12-08,5.99
2022-12-09,5.05
2022-12-12,7.94
2022-12-13,9.02
2022-12-14,8.37
2022-12-15,6.64
2022-12-16,4.18
2022-12-19,4.4
2022-12-20,2.96
2022-12-21,5.19
2022-12-22,3.46
2022-12-23,5.63
2022-12-27,5.41
2022-12-28,2.81
2022-12-29,4.04
2022-12-30,4.04
2023-01-03,2.02
2023-01-04,2.89
2023-01-05,3.39
2023-01-06,5.77
2023-01-09,6.42
2023-01-10,5.7
2023-01-11,7.43
2023-01-12,9.38
2023-01-13,9.81
2023-01-17,8.44
2023-01-18,6.35
2023-01-19,6.2
2023-01-20,7.22
2023-01-23,8.44
2023-01-24,9.52
2023-01-25,8.66
2023-01-26,10.53
2023-01-27,9.74
2023-01-30,8.66
2023-01-31,9.71
2023-02-01,9.96
2023-02-02,10.97
2023-02-03,9.24
