date,pct_chg
2022-02-04,2.51
2022-02-07,4.63
2022-02-08,7.19
2022-02-09,6.52
2022-02-10,6.37
2022-02-11,5.11
2022-02-14,4.44
2022-02-15,6.93
2022-02-16,7.21
2022-02-17,4.35
2022-02-18,4.44
2022-02-22,4.66
2022-02-23,2.14
2022-02-24,-0.91
2022-02-25,4.14
2022-02-28,3.59
2022-03-01,-3.72
2022-03-02,-0.24
2022-03-03,0.26
2022-03-04,-3.53
2022-03-07,-9.09
2022-03-08,-9.14
2022-03-09,-3.12
2022-03-10,-3.68
2022-03-11,-4.72
2022-03-14,-0.71
2022-03-15,-0.84
2022-03-16,2.86
2022-03-17,1.23
2022-03-18,1.1
2022-03-21,0.63
2022-03-22,2.66
2022-03-23,-1.08
2022-03-24,-0.71
2022-03-25,1.26
2022-03-28,-0.82
2022-03-29,-0.09
2022-03-30,-4.11
2022-03-31,-6.8
2022-04-01,-9.48
2022-04-04,-9.77
2022-04-05,-10.72
2022-04-06,-11.26
2022-04-07,-12.43
2022-04-08,-12.19
2022-04-11,-12.32
2022-04-12,-14.18
2022-04-13,-14.44
2022-04-14,-15.53
2022-04-18,-15.4
2022-04-19,-11.67
2022-04-20,-11.93
2022-04-21,-14.18
2022-04-22,-16.78
2022-04-25,-15.98
2022-04-26,-18.25
2022-04-27,-17.3
2022-04-28,-15.63
2022-04-29,-18.73
2022-05-02,-18.28
2022-05-03,-17.04
2022-05-04,-14.49
2022-05-05,-17.76
2022-05-06,-18.77
2022-05-09,-20.31
2022-05-10,-20.79
2022-05-11,-22.35
2022-05-12,-22.52
2022-05-13,-22.11
2022-05-16,-22.72
2022-05-17,-19.49
2022-05-18,-21.94
2022-05-19,-22.8
2022-05-20,-22.82
2022-05-23,-20.29
2022-05-24,-20.72
2022-05-25,-18.93
2022-05-26,-16.39
2022-05-27,-15.31
2022-05-31,-14.62
2022-06-01,-16.11
2022-06-02,-14.85
2022-06-03,-15.72
2022-06-06,-14.57
2022-06-07,-14.34
2022-06-08,-15.81
2022-06-09,-18.67
2022-06-10,-22.74
2022-06-13,-25.42
2022-06-14,-25.12
2022-06-15,-24.79
2022-06-16,-28.0
2022-06-17,-26.38
2022-06-21,-25.57
2022-06-22,-25.38
2022-06-23,-27.44
2022-06-24,-23.73
2022-06-27,-24.49
2022-06-28,-24.56
2022-06-29,-25.92
2022-06-30,-27.24
2022-07-01,-26.72
2022-07-05,-27.02
2022-07-06,-27.93
2022-07-07,-26.55
2022-07-08,-26.68
2022-07-11,-27.37
2022-07-12,-27.39
2022-07-13,-28.45
2022-07-14,-30.25
2022-07-15,-26.94
2022-07-18,-26.87
2022-07-19,-24.92
2022-07-20,-24.88
2022-07-21,-25.83
2022-07-22,-27.18
2022-07-25,-25.92
2022-07-26,-28.22
2022-07-27,-26.94
2022-07-28,-27.61
2022-07-29,-26.12
2022-08-01,-26.09
2022-08-02,-27.05
2022-08-03,-25.7
2022-08-04,-26.83
2022-08-05,-24.92
2022-08-08,-25.31
2022-08-09,-24.82
2022-08-10,-21.7
2022-08-11,-19.71
2022-08-12,-18.82
2022-08-15,-19.38
2022-08-16,-18.54
2022-08-17,-19.38
2022-08-18,-19.21
2022-08-19,-20.87
2022-08-22,-23.13
2022-08-23,-22.87
2022-08-24,-22.87
2022-08-25,-21.52
2022-08-26,-24.32
2022-08-29,-25.44
2022-08-30,-25.57
2022-08-31,-26.05
2022-09-01,-26.72
2022-09-02,-27.09
2022-09-06,-27.96
2022-09-07,-26.29
2022-09-08,-23.52
2022-09-09,-22.61
2022-09-12,-20.92
2022-09-13,-24.25
2022-09-14,-24.25
2022-09-15,-22.52
2022-09-16,-24.14
2022-09-19,-23.26
2022-09-20,-23.91
2022-09-21,-25.81
2022-09-22,-28.09
2022-09-23,-28.97
2022-09-26,-30.51
2022-09-27,-31.64
2022-09-28,-29.54
2022-09-29,-30.6
2022-09-30,-30.79
2022-10-03,-28.91
2022-10-04,-25.73
2022-10-05,-26.16
2022-10-06,-27.39
2022-10-07,-28.32
2022-10-10,-28.58
2022-10-11,-29.8
2022-10-12,-30.23
2022-10-13,-25.62
2022-10-14,-26.46
2022-10-17,-24.79
2022-10-18,-24.51
2022-10-19,-27.98
2022-10-20,-32.55
2022-10-21,-28.5
2022-10-24,-25.57
2022-10-25,-23.45
2022-10-26,-23.11
2022-10-27,-23.45
2022-10-28,-22.09
2022-10-31,-22.72
2022-11-01,-22.48
2022-11-02,-24.84
2022-11-03,-26.5
2022-11-04,-23.93
2022-11-07,-24.12
2022-11-08,-23.97
2022-11-09,-25.34
2022-11-10,-21.42
2022-11-11,-20.2
2022-11-14,-21.94
2022-11-15,-21.07
2022-11-16,-22.5
2022-11-17,-23.5
2022-11-18,-22.85
2022-11-21,-22.46
2022-11-22,-21.33
2022-11-23,-21.33
2022-11-25,-21.0
2022-11-28,-22.93
2022-11-29,-22.04
2022-11-30,-21.26
2022-12-01,-22.54
2022-12-02,-23.67
2022-12-05,-28.65
2022-12-06,-30.19
2022-12-07,-28.61
2022-12-08,-28.93
2022-12-09,-28.78
2022-12-12,-27.96
2022-12-13,-28.67
2022-12-14,-30.08
2022-12-15,-30.86
2022-12-16,-31.57
2022-12-19,-31.46
2022-12-20,-31.38
2022-12-21,-30.73
2022-12-22,-30.42
2022-12-23,-29.82
2022-12-27,-28.97
2022-12-28,-29.15
2022-12-29,-28.95
2022-12-30,-28.95
2023-01-03,-29.32
2023-01-04,-27.54
2023-01-05,-28.26
2023-01-06,-25.36
2023-01-09,-25.9
2023-01-10,-25.38
2023-01-11,-25.68
2023-01-12,-24.43
2023-01-13,-24.99
2023-01-17,-26.14
2023-01-18,-29.15
2023-01-19,-27.15
2023-01-20,-25.05
2023-01-23,-23.11
2023-01-24,-23.88
2023-01-25,-22.56
2023-01-26,-22.0
2023-01-27,-21.83
2023-01-30,-22.48
2023-01-31,-21.42
2023-02-01,-20.36
2023-02-02,-18.04
2023-02-03,-18.49
