date,pct_chg
2022-02-02,3.77
2022-02-03,4.72
2022-02-04,2.83
2022-02-07,9.43
2022-02-08,5.33
2022-02-09,6.13
2022-02-10,3.77
2022-02-11,4.25
2022-02-14,4.72
2022-02-15,4.71
2022-02-16,4.72
2022-02-17,4.72
2022-02-18,1.89
2022-02-22,-6.13
2022-02-23,-8.02
2022-02-24,-14.15
2022-02-25,-12.74
2022-02-28,-8.49
2022-03-01,-8.49
2022-03-02,-10.38
2022-03-03,-12.74
2022-03-04,-5.67
2022-03-07,-5.66
2022-03-08,-10.38
2022-03-09,-10.38
2022-03-10,-8.02
2022-03-11,0.94
2022-03-14,1.42
2022-03-15,-2.36
2022-03-16,2.83
2022-03-17,10.85
2022-03-18,13.21
2022-03-21,6.13
2022-03-22,6.13
2022-03-23,4.72
2022-03-24,6.13
2022-03-25,6.13
2022-03-28,6.13
2022-03-29,7.08
2022-03-30,10.38
2022-03-31,12.26
2022-04-01,25.0
2022-04-04,26.42
2022-04-05,26.42
2022-04-06,22.64
2022-04-07,26.42
2022-04-08,27.36
2022-04-11,33.96
2022-04-12,35.38
2022-04-13,36.79
2022-04-14,39.15
2022-04-18,45.28
2022-04-19,38.68
2022-04-20,39.15
2022-04-21,41.98
2022-04-22,41.98
2022-04-25,41.98
2022-04-26,44.34
2022-04-27,41.51
2022-04-28,41.51
2022-04-29,47.17
2022-05-02,43.87
2022-05-03,43.87
2022-05-04,44.1
2022-05-05,42.45
2022-05-06,43.49
2022-05-09,33.96
2022-05-10,22.17
2022-05-11,23.11
2022-05-12,16.51
2022-05-13,27.36
2022-05-16,24.76
2022-05-17,22.64
2022-05-18,22.64
2022-05-19,22.64
2022-05-20,25.0
2022-05-23,23.58
2022-05-24,25.47
2022-05-25,36.79
2022-05-26,38.44
2022-05-27,39.15
2022-05-31,40.57
2022-06-01,43.87
2022-06-02,36.79
2022-06-03,40.09
2022-06-06,36.79
2022-06-07,39.15
2022-06-08,39.15
2022-06-09,40.09
2022-06-10,41.51
2022-06-13,32.55
2022-06-14,34.43
2022-06-15,34.43
2022-06-16,37.74
2022-06-17,37.74
2022-06-21,27.36
2022-06-22,34.43
2022-06-23,34.43
2022-06-24,27.36
2022-06-27,31.01
2022-06-28,27.36
2022-06-29,27.36
2022-06-30,20.28
2022-07-01,22.64
2022-07-05,22.64
2022-07-06,22.64
2022-07-07,18.87
2022-07-08,18.87
2022-07-11,20.75
2022-07-12,20.75
2022-07-13,20.99
2022-07-14,16.98
2022-07-15,17.92
2022-07-18,17.92
2022-07-19,17.92
2022-07-20,17.92
2022-07-21,7.08
2022-07-22,12.97
2022-07-25,8.49
2022-07-26,8.49
2022-07-27,10.14
2022-07-28,5.66
2022-07-29,5.66
2022-08-01,10.85
2022-08-02,5.66
2022-08-03,6.13
2022-08-04,6.13
2022-08-05,6.13
2022-08-08,6.13
2022-08-09,6.13
