date,pct_chg
2022-02-04,-0.15
2022-02-07,0.24
2022-02-08,1.12
2022-02-09,0.75
2022-02-10,-2.36
2022-02-11,-3.04
2022-02-14,-2.36
2022-02-15,-1.48
2022-02-16,-1.89
2022-02-17,-1.24
2022-02-18,-1.05
2022-02-22,-3.79
2022-02-23,-5.3
2022-02-24,-3.96
2022-02-25,-3.02
2022-02-28,-2.66
2022-03-01,-5.66
2022-03-02,-2.29
2022-03-03,-2.19
2022-03-04,-1.24
2022-03-07,-1.78
2022-03-08,-4.12
2022-03-09,-2.42
2022-03-10,-3.84
2022-03-11,-5.64
2022-03-14,-3.02
2022-03-15,-1.89
2022-03-16,-1.71
2022-03-17,-0.24
2022-03-18,-0.19
2022-03-21,0.84
2022-03-22,-0.71
2022-03-23,-2.16
2022-03-24,1.12
2022-03-25,1.89
2022-03-28,2.34
2022-03-29,5.87
2022-03-30,6.26
2022-03-31,5.75
2022-04-01,7.5
2022-04-04,7.55
2022-04-05,8.7
2022-04-06,8.75
2022-04-07,7.4
2022-04-08,5.4
2022-04-11,2.76
2022-04-12,3.6
2022-04-13,3.43
2022-04-14,4.5
2022-04-18,4.82
2022-04-19,7.63
2022-04-20,9.13
2022-04-21,9.9
2022-04-22,7.89
2022-04-25,7.5
2022-04-26,6.28
2022-04-27,3.94
2022-04-28,7.31
2022-04-29,4.39
2022-05-02,3.32
2022-05-03,3.22
2022-05-04,3.97
2022-05-05,-1.69
2022-05-06,0.92
2022-05-09,-3.79
2022-05-10,-4.85
2022-05-11,-4.74
2022-05-12,-6.75
2022-05-13,-5.55
2022-05-16,-5.47
2022-05-17,-4.1
2022-05-18,-7.84
2022-05-19,-8.42
2022-05-20,-7.93
2022-05-23,-6.67
2022-05-24,-4.87
2022-05-25,-4.5
2022-05-26,-4.39
2022-05-27,-2.91
2022-05-31,-1.91
2022-06-01,-2.47
2022-06-02,-2.12
2022-06-03,-3.79
2022-06-06,-5.34
2022-06-07,-4.54
2022-06-08,-7.67
2022-06-09,-9.11
2022-06-10,-10.82
2022-06-13,-15.13
