date,pct_chg
2022-02-04,-0.24
2022-02-07,0.24
2022-02-08,0.97
2022-02-09,2.9
2022-02-10,1.57
2022-02-11,1.45
2022-02-14,1.09
2022-02-15,2.54
2022-02-16,3.87
2022-02-17,2.66
2022-02-18,2.9
2022-02-22,0.97
2022-02-23,0.12
2022-02-24,1.69
2022-02-25,3.63
2022-02-28,3.99
2022-03-01,2.9
2022-03-02,5.08
2022-03-03,5.2
2022-03-04,4.84
2022-03-07,3.75
2022-03-08,3.87
2022-03-09,4.96
2022-03-10,5.32
2022-03-11,3.02
2022-03-14,1.69
2022-03-15,2.9
2022-03-16,4.47
2022-03-17,5.8
2022-03-18,7.13
2022-03-21,7.74
2022-03-22,8.22
2022-03-23,8.59
2022-03-24,9.19
2022-03-25,9.43
2022-03-28,8.83
2022-03-29,10.16
2022-03-30,9.67
2022-03-31,9.67
2022-04-01,9.92
2022-04-04,10.4
2022-04-05,9.55
2022-04-06,9.07
2022-04-07,8.46
2022-04-08,9.43
2022-04-11,9.19
2022-04-12,9.43
2022-04-13,9.92
2022-04-14,10.28
2022-04-18,10.64
2022-04-19,12.45
2022-04-20,12.7
2022-04-21,10.64
2022-04-22,9.19
2022-04-25,7.01
2022-04-26,3.75
2022-04-27,4.35
2022-04-28,5.93
2022-04-29,4.47
2022-05-02,7.38
2022-05-03,7.01
2022-05-04,7.62
2022-05-05,5.68
2022-05-06,5.56
2022-05-09,1.33
2022-05-10,1.09
2022-05-11,0.48
2022-05-12,-0.24
2022-05-13,0.12
2022-05-16,-0.6
2022-05-17,1.21
2022-05-18,-0.85
2022-05-19,-0.12
2022-05-20,-0.12
2022-05-23,0.48
2022-05-24,-0.85
2022-05-25,2.3
2022-05-26,3.75
2022-05-27,5.56
2022-05-31,4.96
2022-06-01,4.96
2022-06-02,5.8
2022-06-03,4.59
2022-06-06,5.32
2022-06-07,6.17
2022-06-08,5.08
2022-06-09,3.87
2022-06-10,1.09
2022-06-13,-2.66
2022-06-14,-6.29
2022-06-15,-4.59
2022-06-16,-9.19
2022-06-17,-9.31
2022-06-21,-8.95
2022-06-22,-8.83
2022-06-23,-8.59
2022-06-24,-5.08
2022-06-27,-5.08
2022-06-28,-6.89
2022-06-29,-7.86
2022-06-30,-8.59
2022-07-01,-6.89
2022-07-05,-8.22
2022-07-06,-9.67
2022-07-07,-6.53
2022-07-08,-7.62
2022-07-11,-8.34
2022-07-12,-9.55
2022-07-13,-7.38
2022-07-14,-9.31
2022-07-15,-7.74
2022-07-18,-7.5
2022-07-19,-5.44
2022-07-20,-5.56
2022-07-21,-5.08
2022-07-22,-5.8
2022-07-25,-4.84
2022-07-26,-6.17
2022-07-27,-3.51
2022-07-28,-1.69
2022-07-29,-0.85
2022-08-01,-1.57
2022-08-02,-2.3
2022-08-03,-1.33
2022-08-04,-2.18
2022-08-05,-3.26
2022-08-08,-2.3
2022-08-09,-2.66
2022-08-10,-0.73
2022-08-11,-0.6
2022-08-12,1.21
2022-08-15,0.97
2022-08-16,1.69
2022-08-17,0.0
2022-08-18,0.36
2022-08-19,-0.97
2022-08-22,-3.26
2022-08-23,-2.06
2022-08-24,-2.3
2022-08-25,-0.24
2022-08-26,-2.06
2022-08-29,-3.51
2022-08-30,-5.44
2022-08-31,-6.05
2022-09-01,-7.74
2022-09-02,-6.05
2022-09-06,-7.13
2022-09-07,-5.68
2022-09-08,-4.72
2022-09-09,-4.47
2022-09-12,-2.66
2022-09-13,-7.13
2022-09-14,-6.29
2022-09-15,-7.98
2022-09-16,-8.46
2022-09-19,-8.46
2022-09-20,-10.04
2022-09-21,-9.19
2022-09-22,-12.33
2022-09-23,-15.36
2022-09-26,-16.44
2022-09-27,-17.41
2022-09-28,-15.11
2022-09-29,-19.14
2022-09-30,-16.81
2022-10-03,-14.63
2022-10-04,-11.0
2022-10-05,-11.73
2022-10-06,-12.94
2022-10-07,-14.15
2022-10-10,-14.39
2022-10-11,-14.39
2022-10-12,-14.99
2022-10-13,-13.42
2022-10-14,-14.87
2022-10-17,-12.33
2022-10-18,-11.85
2022-10-19,-13.06
2022-10-20,-12.58
2022-10-21,-10.04
2022-10-24,-8.59
2022-10-25,-7.62
2022-10-26,-6.53
2022-10-27,-7.01
2022-10-28,-5.44
2022-10-31,-6.05
2022-11-01,-5.08
2022-11-02,-7.13
2022-11-03,-8.34
2022-11-04,-5.68
2022-11-07,-4.59
2022-11-08,-4.35
2022-11-09,-6.65
2022-11-10,-2.66
2022-11-11,-1.81
2022-11-14,-1.81
2022-11-15,-1.33
2022-11-16,-3.26
2022-11-17,-3.87
2022-11-18,-2.54
2022-11-21,-1.45
2022-11-22,0.85
2022-11-23,1.09
2022-11-25,0.73
2022-11-28,-0.24
2022-11-29,-0.12
2022-11-30,1.45
2022-12-01,1.09
2022-12-02,3.26
2022-12-05,1.57
2022-12-06,1.57
2022-12-07,2.3
2022-12-08,1.57
2022-12-09,-0.0
2022-12-12,-0.73
2022-12-13,-1.21
2022-12-14,-2.06
2022-12-15,-3.51
2022-12-16,-3.87
2022-12-19,-5.32
2022-12-20,-5.08
2022-12-21,-3.26
2022-12-22,-4.84
2022-12-23,-3.63
2022-12-27,-2.66
2022-12-28,-3.75
2022-12-29,-3.39
2022-12-30,-3.63
2023-01-03,-3.14
2023-01-04,-1.81
2023-01-05,-1.93
2023-01-06,0.48
2023-01-09,0.36
2023-01-10,1.81
2023-01-11,3.02
2023-01-12,3.26
2023-01-13,3.99
2023-01-17,3.26
2023-01-18,2.06
2023-01-19,1.33
2023-01-20,2.9
2023-01-23,3.51
2023-01-24,4.23
2023-01-25,3.75
2023-01-26,4.11
2023-01-27,4.72
2023-01-30,4.23
2023-01-31,5.2
2023-02-01,5.68
2023-02-02,7.13
2023-02-03,6.17
