date,pct_chg
2022-02-04,-1.94
2022-02-07,-3.13
2022-02-08,-2.68
2022-02-09,0.3
2022-02-10,-1.19
2022-02-11,-2.83
2022-02-14,-4.02
2022-02-15,-2.68
2022-02-16,-2.38
2022-02-17,-2.68
2022-02-18,-2.53
2022-02-22,-7.3
2022-02-23,-9.84
2022-02-24,-10.73
2022-02-25,-10.43
2022-02-28,-11.18
2022-03-01,-14.16
2022-03-02,-10.58
2022-03-03,-11.33
2022-03-04,-14.16
2022-03-07,-18.03
2022-03-08,-15.95
2022-03-09,-14.31
2022-03-10,-14.9
2022-03-11,-17.59
2022-03-14,-21.76
2022-03-15,-17.14
2022-03-16,-13.71
2022-03-17,-13.41
2022-03-18,-15.05
2022-03-21,-13.71
2022-03-22,-13.41
2022-03-23,-14.46
2022-03-24,-14.31
2022-03-25,-13.41
2022-03-28,-12.37
2022-03-29,-9.54
2022-03-30,-10.58
2022-03-31,-1.49
2022-04-01,-1.04
2022-04-04,0.15
2022-04-05,-6.56
2022-04-06,-6.86
2022-04-07,-8.35
2022-04-08,-8.94
2022-04-11,-11.77
2022-04-12,-6.41
2022-04-13,-5.66
2022-04-14,1.04
2022-04-18,-2.83
2022-04-19,1.94
2022-04-20,3.13
2022-04-21,-1.79
2022-04-22,-4.17
2022-04-25,-4.02
2022-04-26,-5.07
2022-04-27,-2.83
2022-04-28,0.6
2022-04-29,-2.68
2022-05-02,-0.15
2022-05-03,5.81
2022-05-04,10.43
2022-05-05,6.41
2022-05-06,9.39
2022-05-09,5.66
2022-05-10,-2.38
2022-05-11,-10.73
2022-05-12,-6.71
2022-05-13,-6.11
2022-05-16,-5.66
2022-05-17,0.0
2022-05-18,0.15
2022-05-19,4.32
2022-05-20,4.32
2022-05-23,3.43
2022-05-24,4.17
2022-05-25,5.51
2022-05-26,4.17
2022-05-27,5.51
2022-05-31,5.96
2022-06-01,6.56
2022-06-02,5.51
2022-06-03,2.83
2022-06-06,1.94
2022-06-07,3.58
2022-06-08,-0.3
2022-06-09,-0.45
2022-06-10,0.0
2022-06-13,-5.51
2022-06-14,-7.6
2022-06-15,-6.41
2022-06-16,-8.64
2022-06-17,-6.41
2022-06-21,-4.02
2022-06-22,-4.17
2022-06-23,-3.58
2022-06-24,1.34
2022-06-27,2.68
2022-06-28,0.3
2022-06-29,-1.79
2022-06-30,-1.64
2022-07-01,0.15
2022-07-05,-2.38
2022-07-06,-5.51
2022-07-07,-6.11
2022-07-08,-4.47
2022-07-11,-5.22
2022-07-12,-4.62
2022-07-13,-3.87
2022-07-14,-6.86
2022-07-15,-3.87
2022-07-18,-5.37
2022-07-19,2.68
2022-07-20,3.58
2022-07-21,0.15
2022-07-22,-1.79
2022-07-25,-0.45
2022-07-26,0.3
2022-07-27,2.83
2022-07-28,2.09
2022-07-29,-2.24
2022-08-01,-2.53
2022-08-02,8.79
2022-08-03,5.66
2022-08-04,3.73
2022-08-05,2.09
2022-08-08,1.79
2022-08-09,-0.89
2022-08-10,-1.19
2022-08-11,0.45
2022-08-12,2.38
2022-08-15,13.26
2022-08-16,17.59
2022-08-17,23.99
2022-08-18,19.23
2022-08-19,16.24
2022-08-22,13.26
2022-08-23,14.46
2022-08-24,13.86
2022-08-25,20.27
2022-08-26,21.31
2022-08-29,30.25
2022-08-30,21.46
2022-08-31,21.91
2022-09-01,26.53
2022-09-02,23.25
2022-09-06,21.01
2022-09-07,26.23
2022-09-08,23.55
2022-09-09,25.63
2022-09-12,27.42
2022-09-13,21.01
2022-09-14,22.35
2022-09-15,20.86
2022-09-16,21.91
2022-09-19,21.91
2022-09-20,15.2
2022-09-21,19.23
2022-09-22,15.2
2022-09-23,13.41
2022-09-26,10.28
2022-09-27,9.99
2022-09-28,16.54
2022-09-29,14.16
2022-09-30,14.75
2022-10-03,21.61
2022-10-04,24.29
2022-10-05,28.32
2022-10-06,25.63
2022-10-07,23.99
2022-10-10,25.48
2022-10-11,28.02
2022-10-12,23.99
2022-10-13,27.57
2022-10-14,26.83
2022-10-17,27.57
2022-10-18,26.97
2022-10-19,28.61
2022-10-20,26.97
2022-10-21,27.72
2022-10-24,28.17
2022-10-25,28.61
2022-10-26,24.89
2022-10-27,22.35
2022-10-28,26.53
2022-10-31,26.08
2022-11-01,25.48
2022-11-02,23.7
2022-11-03,26.53
2022-11-04,32.64
2022-11-07,41.28
2022-11-08,35.32
2022-11-09,25.93
2022-11-10,26.97
2022-11-11,27.57
2022-11-14,31.15
2022-11-15,37.41
2022-11-16,39.34
2022-11-17,44.26
2022-11-18,46.05
2022-11-21,55.59
2022-11-22,51.27
2022-11-23,56.18
2022-11-25,56.78
2022-11-28,52.46
2022-11-29,77.2
2022-11-30,76.15
2022-12-01,81.07
2022-12-02,70.34
2022-12-05,76.6
2022-12-06,76.6
2022-12-07,69.0
2022-12-08,71.98
2022-12-09,64.38
2022-12-12,62.15
2022-12-13,65.72
2022-12-14,63.49
2022-12-15,56.93
2022-12-16,60.95
2022-12-19,59.31
2022-12-20,54.69
2022-12-21,64.83
2022-12-22,62.0
2022-12-23,66.62
2022-12-27,69.0
2022-12-28,65.13
2022-12-29,64.53
2022-12-30,63.19
2023-01-03,59.76
2023-01-04,58.12
2023-01-05,59.46
2023-01-06,60.51
2023-01-09,60.51
2023-01-10,60.8
2023-01-11,64.38
2023-01-12,69.6
2023-01-13,71.54
2023-01-17,71.39
2023-01-18,67.06
2023-01-19,67.06
2023-01-20,70.49
2023-01-23,66.92
2023-01-24,64.53
2023-01-25,70.49
2023-01-26,70.19
2023-01-27,68.85
2023-01-30,64.23
2023-01-31,71.39
2023-02-01,73.77
2023-02-02,74.66
2023-02-03,73.03
