date,pct_chg
2022-02-04,2.81
2022-02-07,2.95
2022-02-08,-0.77
2022-02-09,1.33
2022-02-10,3.02
2022-02-11,5.12
2022-02-14,1.33
2022-02-15,3.58
2022-02-16,4.42
2022-02-17,3.44
2022-02-18,2.73
2022-02-22,8.2
2022-02-23,12.34
2022-02-24,13.46
2022-02-25,19.21
2022-02-28,22.02
2022-03-01,23.35
2022-03-02,27.21
2022-03-03,25.46
2022-03-04,26.09
2022-03-07,29.1
2022-03-08,33.73
2022-03-09,26.93
2022-03-10,31.63
2022-03-11,30.08
2022-03-14,25.46
2022-03-15,28.05
2022-03-16,28.96
2022-03-17,31.28
2022-03-18,47.41
2022-03-21,47.27
2022-03-22,46.07
2022-03-23,50.91
2022-03-24,57.57
2022-03-25,71.6
2022-03-28,64.38
2022-03-29,60.73
2022-03-30,73.42
2022-03-31,73.77
2022-04-01,75.67
2022-04-04,73.7
2022-04-05,73.42
2022-04-06,68.72
2022-04-07,72.23
2022-04-08,72.51
2022-04-11,70.9
2022-04-12,75.53
2022-04-13,80.22
2022-04-14,82.26
2022-04-18,80.58
2022-04-19,76.44
2022-04-20,72.16
2022-04-21,64.94
2022-04-22,60.17
2022-04-25,52.81
2022-04-26,56.94
2022-04-27,61.71
2022-04-28,61.85
2022-04-29,56.52
2022-05-02,57.78
2022-05-03,66.55
2022-05-04,72.86
2022-05-05,71.46
2022-05-06,67.81
2022-05-09,49.72
2022-05-10,57.71
2022-05-11,55.89
2022-05-12,55.47
2022-05-13,65.57
2022-05-16,71.46
2022-05-17,64.31
2022-05-18,65.29
2022-05-19,67.88
2022-05-20,65.85
2022-05-23,73.0
2022-05-24,66.69
2022-05-25,73.56
2022-05-26,70.41
2022-05-27,78.47
2022-05-31,77.63
2022-06-01,86.96
2022-06-02,83.31
2022-06-03,82.54
2022-06-06,85.97
2022-06-07,85.27
2022-06-08,76.44
2022-06-09,67.88
2022-06-10,66.9
2022-06-13,56.73
2022-06-14,61.08
2022-06-15,66.48
2022-06-16,56.31
2022-06-17,52.17
2022-06-21,64.45
2022-06-22,54.77
2022-06-23,53.02
2022-06-24,58.35
2022-06-27,65.5
2022-06-28,63.25
2022-06-29,62.48
2022-06-30,59.54
2022-07-01,54.21
2022-07-05,54.35
2022-07-06,44.81
2022-07-07,52.31
2022-07-08,57.92
2022-07-11,51.82
2022-07-12,48.39
2022-07-13,54.14
2022-07-14,45.65
2022-07-15,50.49
2022-07-18,52.66
2022-07-19,57.36
2022-07-20,58.98
2022-07-21,56.52
2022-07-22,51.4
2022-07-25,62.34
2022-07-26,58.63
2022-07-27,62.62
2022-07-28,60.24
2022-07-29,56.87
2022-08-01,56.73
2022-08-02,57.71
2022-08-03,57.92
2022-08-04,53.02
2022-08-05,59.75
2022-08-08,63.67
2022-08-09,69.14
2022-08-10,70.41
2022-08-11,81.21
2022-08-12,90.67
2022-08-15,92.36
2022-08-16,99.37
2022-08-17,100.42
2022-08-18,101.4
2022-08-19,96.77
2022-08-22,96.35
2022-08-23,98.67
2022-08-24,108.13
2022-08-25,109.96
2022-08-26,105.82
2022-08-29,103.16
2022-08-30,90.11
2022-08-31,91.23
2022-09-01,82.54
2022-09-02,90.11
2022-09-06,94.32
2022-09-07,88.57
2022-09-08,94.88
2022-09-09,100.07
2022-09-12,93.9
2022-09-13,89.97
2022-09-14,96.35
2022-09-15,93.13
2022-09-16,83.8
2022-09-19,85.55
2022-09-20,82.68
2022-09-21,81.63
2022-09-22,78.05
2022-09-23,64.66
2022-09-26,60.38
2022-09-27,65.71
2022-09-28,73.42
2022-09-29,72.93
2022-09-30,74.75
2022-10-03,79.87
2022-10-04,83.1
2022-10-05,81.84
2022-10-06,80.79
2022-10-07,79.59
2022-10-10,75.18
2022-10-11,76.93
2022-10-12,72.23
2022-10-13,75.04
2022-10-14,69.14
2022-10-17,76.16
2022-10-18,78.68
2022-10-19,81.77
2022-10-20,79.1
2022-10-21,79.52
2022-10-24,77.0
2022-10-25,88.36
2022-10-26,91.94
2022-10-27,90.18
2022-10-28,91.02
2022-10-31,95.09
2022-11-01,91.51
2022-11-02,93.97
2022-11-03,92.92
2022-11-04,93.9
2022-11-07,92.85
2022-11-08,91.02
2022-11-09,76.09
2022-11-10,74.19
2022-11-11,77.98
2022-11-14,81.77
2022-11-15,81.42
2022-11-16,70.83
2022-11-17,72.79
2022-11-18,69.14
2022-11-21,73.07
2022-11-22,78.96
2022-11-23,76.23
2022-11-25,78.33
2022-11-28,70.48
2022-11-29,74.05
2022-11-30,75.81
2022-12-01,75.74
2022-12-02,75.04
2022-12-05,73.7
2022-12-06,69.71
2022-12-07,69.28
2022-12-08,71.53
2022-12-09,67.95
2022-12-12,70.97
2022-12-13,70.48
2022-12-14,64.66
2022-12-15,63.74
2022-12-16,59.33
2022-12-19,61.22
2022-12-20,61.15
2022-12-21,61.78
2022-12-22,57.29
2022-12-23,63.6
2022-12-27,59.05
2022-12-28,53.23
2022-12-29,57.85
2022-12-30,59.82
2023-01-03,54.98
2023-01-04,52.24
2023-01-05,51.05
2023-01-06,52.17
2023-01-09,51.82
2023-01-10,51.68
2023-01-11,52.17
2023-01-12,57.57
2023-01-13,60.03
2023-01-17,57.99
2023-01-18,57.29
2023-01-19,60.66
2023-01-20,64.52
2023-01-23,66.9
2023-01-24,64.59
2023-01-25,64.38
2023-01-26,63.25
2023-01-27,63.96
2023-01-30,61.85
2023-01-31,64.38
2023-02-01,66.76
2023-02-02,62.48
2023-02-03,61.64
