date,pct_chg
2022-02-04,2.08
2022-02-07,4.02
2022-02-08,6.93
2022-02-09,14.56
2022-02-10,13.18
2022-02-11,11.65
2022-02-14,11.37
2022-02-15,13.18
2022-02-16,13.45
2022-02-17,10.54
2022-02-18,7.77
2022-02-22,8.18
2022-02-23,6.8
2022-02-24,2.64
2022-02-25,8.32
2022-02-28,13.04
2022-03-01,10.54
2022-03-02,13.18
2022-03-03,14.56
2022-03-04,13.45
2022-03-07,8.88
2022-03-08,8.88
2022-03-09,12.76
2022-03-10,20.67
2022-03-11,16.92
2022-03-14,3.33
2022-03-15,2.64
2022-03-16,5.69
2022-03-17,9.02
2022-03-18,9.57
2022-03-21,12.9
2022-03-22,10.54
2022-03-23,11.93
2022-03-24,12.07
2022-03-25,11.23
2022-03-28,8.04
2022-03-29,8.32
2022-03-30,10.54
2022-03-31,8.88
2022-04-01,10.4
2022-04-04,12.34
2022-04-05,6.52
2022-04-06,1.53
2022-04-07,4.44
2022-04-08,5.13
2022-04-11,2.22
2022-04-12,1.94
2022-04-13,6.8
2022-04-14,4.85
2022-04-18,4.58
2022-04-19,3.33
2022-04-20,3.33
2022-04-21,-4.02
2022-04-22,-9.71
2022-04-25,-13.45
2022-04-26,-16.92
2022-04-27,-13.04
2022-04-28,-13.31
2022-04-29,-11.23
2022-05-02,-12.21
2022-05-03,-11.65
2022-05-04,-9.71
2022-05-05,-14.7
2022-05-06,-16.92
2022-05-09,-23.99
2022-05-10,-26.35
2022-05-11,-24.83
2022-05-12,-29.82
2022-05-13,-27.32
2022-05-16,-24.97
2022-05-17,-19.83
2022-05-18,-24.27
2022-05-19,-20.53
2022-05-20,-22.05
2022-05-23,-19.14
2022-05-24,-21.78
2022-05-25,-21.78
2022-05-26,-20.11
2022-05-27,-19.42
2022-05-31,-20.53
2022-06-01,-21.22
2022-06-02,-15.4
2022-06-03,-18.45
2022-06-06,-17.34
2022-06-07,-15.4
2022-06-08,-14.7
2022-06-09,-21.36
2022-06-10,-24.55
2022-06-13,-30.24
2022-06-14,-29.96
2022-06-15,-28.85
2022-06-16,-32.59
2022-06-17,-34.12
2022-06-21,-32.59
2022-06-22,-38.42
2022-06-23,-44.11
2022-06-24,-40.78
2022-06-27,-37.03
2022-06-28,-38.56
2022-06-29,-41.75
2022-06-30,-43.41
2022-07-01,-42.44
2022-07-05,-46.88
2022-07-06,-47.57
2022-07-07,-43.69
2022-07-08,-48.27
2022-07-11,-52.29
2022-07-12,-53.81
2022-07-13,-53.54
2022-07-14,-55.76
2022-07-15,-54.79
2022-07-18,-52.98
2022-07-19,-50.9
2022-07-20,-52.01
2022-07-21,-52.29
2022-07-22,-53.4
2022-07-25,-53.4
2022-07-26,-54.51
2022-07-27,-51.87
2022-07-28,-51.32
2022-07-29,-46.6
2022-08-01,-49.65
2022-08-02,-50.9
2022-08-03,-51.32
2022-08-04,-50.21
2022-08-05,-48.96
2022-08-08,-44.52
2022-08-09,-42.44
2022-08-10,-36.06
2022-08-11,-34.67
2022-08-12,-36.75
2022-08-15,-39.25
2022-08-16,-37.45
2022-08-17,-39.11
2022-08-18,-38.97
2022-08-19,-42.16
2022-08-22,-43.13
2022-08-23,-37.45
2022-08-24,-35.37
2022-08-25,-33.56
2022-08-26,-33.98
2022-08-29,-34.95
2022-08-30,-38.42
2022-08-31,-38.97
2022-09-01,-43.13
2022-09-02,-42.58
2022-09-06,-43.41
2022-09-07,-43.27
2022-09-08,-39.81
2022-09-09,-36.89
2022-09-12,-34.95
2022-09-13,-39.81
2022-09-14,-41.05
2022-09-15,-42.16
2022-09-16,-40.78
2022-09-19,-39.81
2022-09-20,-42.58
2022-09-21,-43.55
2022-09-22,-42.72
2022-09-23,-45.63
2022-09-26,-47.16
2022-09-27,-47.02
2022-09-28,-43.97
2022-09-29,-44.11
2022-09-30,-44.11
2022-10-03,-38.56
2022-10-04,-39.39
2022-10-05,-40.5
2022-10-06,-40.64
2022-10-07,-43.83
2022-10-10,-43.27
2022-10-11,-46.05
2022-10-12,-44.94
2022-10-13,-44.11
2022-10-14,-46.74
2022-10-17,-45.08
2022-10-18,-46.74
2022-10-19,-48.82
2022-10-20,-49.51
2022-10-21,-44.52
2022-10-24,-47.99
2022-10-25,-47.02
2022-10-26,-42.72
2022-10-27,-43.83
2022-10-28,-45.77
2022-10-31,-47.3
2022-11-01,-40.78
2022-11-02,-45.21
2022-11-03,-40.64
2022-11-04,-29.82
2022-11-07,-32.18
2022-11-08,-29.54
2022-11-09,-32.45
2022-11-10,-27.05
2022-11-11,-24.27
2022-11-14,-23.02
2022-11-15,-23.44
2022-11-16,-24.55
2022-11-17,-26.07
2022-11-18,-27.32
2022-11-21,-27.05
2022-11-22,-23.72
2022-11-23,-22.61
2022-11-25,-23.44
2022-11-28,-25.94
2022-11-29,-24.13
2022-11-30,-21.64
2022-12-01,-19.28
2022-12-02,-18.86
2022-12-05,-22.88
2022-12-06,-23.72
2022-12-07,-25.94
2022-12-08,-25.52
2022-12-09,-25.94
2022-12-12,-27.74
2022-12-13,-26.35
2022-12-14,-26.77
2022-12-15,-29.4
2022-12-16,-30.37
2022-12-19,-31.07
2022-12-20,-27.46
2022-12-21,-27.46
2022-12-22,-30.24
2022-12-23,-28.29
2022-12-27,-25.52
2022-12-28,-28.71
2022-12-29,-27.18
2022-12-30,-29.68
2023-01-03,-29.4
2023-01-04,-27.6
2023-01-05,-29.96
2023-01-06,-22.75
2023-01-09,-18.86
2023-01-10,-16.92
2023-01-11,-16.37
2023-01-12,-13.31
2023-01-13,-14.42
2023-01-17,-16.5
2023-01-18,-16.5
2023-01-19,-16.78
2023-01-20,-17.2
2023-01-23,-20.11
2023-01-24,-18.86
2023-01-25,-20.67
2023-01-26,-20.53
2023-01-27,-20.94
2023-01-30,-21.08
2023-01-31,-19.56
2023-02-01,-19.97
2023-02-02,-24.69
2023-02-03,-24.41
