date,pct_chg
2022-02-04,0.42
2022-02-07,1.46
2022-02-08,17.22
2022-02-09,21.71
2022-02-10,19.61
2022-02-11,17.19
2022-02-14,15.06
2022-02-15,18.12
2022-02-16,18.79
2022-02-17,17.47
2022-02-18,18.01
2022-02-22,14.27
2022-02-23,13.99
2022-02-24,12.72
2022-02-25,14.72
2022-02-28,16.01
2022-03-01,12.42
2022-03-02,16.07
2022-03-03,16.26
2022-03-04,9.41
2022-03-07,2.84
2022-03-08,4.61
2022-03-09,9.78
2022-03-10,8.99
2022-03-11,8.17
2022-03-14,6.52
2022-03-15,6.85
2022-03-16,10.79
2022-03-17,9.83
2022-03-18,13.34
2022-03-21,10.79
2022-03-22,12.08
2022-03-23,6.12
2022-03-24,7.16
2022-03-25,8.46
2022-03-28,9.86
2022-03-29,13.2
2022-03-30,12.25
2022-03-31,10.67
2022-04-01,8.88
2022-04-04,8.99
2022-04-05,3.43
2022-04-06,2.36
2022-04-07,3.9
2022-04-08,6.46
2022-04-11,7.36
2022-04-12,6.04
2022-04-13,7.3
2022-04-14,7.3
2022-04-18,7.95
2022-04-19,14.33
2022-04-20,15.84
2022-04-21,10.06
2022-04-22,6.35
2022-04-25,7.61
2022-04-26,2.5
2022-04-27,2.02
2022-04-28,4.1
2022-04-29,2.39
2022-05-02,2.95
2022-05-03,8.85
2022-05-04,15.34
2022-05-05,5.0
2022-05-06,7.72
2022-05-09,2.92
2022-05-10,4.35
2022-05-11,0.59
2022-05-12,-0.48
2022-05-13,5.31
2022-05-16,2.84
2022-05-17,7.89
2022-05-18,0.42
2022-05-19,-8.9
2022-05-20,-9.16
2022-05-23,-9.19
2022-05-24,-11.18
2022-05-25,-5.59
2022-05-26,-0.76
2022-05-27,2.08
2022-05-31,-1.18
2022-06-01,-4.92
2022-06-02,1.52
2022-06-03,-1.88
2022-06-06,-0.84
2022-06-07,-1.49
2022-06-08,-1.12
2022-06-09,-1.74
2022-06-10,-8.43
2022-06-13,-13.31
2022-06-14,-11.97
2022-06-15,-9.55
2022-06-16,-14.83
2022-06-17,-13.51
2022-06-21,-11.83
2022-06-22,-11.43
2022-06-23,-10.98
2022-06-24,-7.87
2022-06-27,-7.81
2022-06-28,-9.86
2022-06-29,-11.69
2022-06-30,-11.07
2022-07-01,-10.14
2022-07-05,-8.51
2022-07-06,-9.86
2022-07-07,-8.17
2022-07-08,-8.9
2022-07-11,-10.51
2022-07-12,-9.24
2022-07-13,-9.44
2022-07-14,-11.77
2022-07-15,-8.51
2022-07-18,-7.3
2022-07-19,-3.12
2022-07-20,-0.9
2022-07-21,-0.84
2022-07-22,-2.78
2022-07-25,-3.15
2022-07-26,-6.99
2022-07-27,-3.65
2022-07-28,3.82
2022-07-29,6.21
2022-08-01,5.93
2022-08-02,3.03
2022-08-03,5.48
2022-08-04,4.24
2022-08-05,4.69
2022-08-08,7.36
2022-08-09,5.84
2022-08-10,9.19
2022-08-11,11.18
2022-08-12,12.3
2022-08-15,14.33
2022-08-16,18.4
2022-08-17,17.16
2022-08-18,18.71
2022-08-19,15.73
2022-08-22,12.72
2022-08-23,14.38
2022-08-24,14.78
2022-08-25,16.29
2022-08-26,12.33
2022-08-29,11.52
2022-08-30,9.27
2022-08-31,8.34
2022-09-01,7.39
2022-09-02,7.36
2022-09-06,6.15
2022-09-07,11.77
2022-09-08,12.42
2022-09-09,15.37
2022-09-12,19.97
2022-09-13,15.76
2022-09-14,15.42
2022-09-15,15.45
2022-09-16,14.35
2022-09-19,17.02
2022-09-20,14.94
2022-09-21,12.64
2022-09-22,8.6
