date,pct_chg
2022-09-19,9.0
2022-09-20,-20.82
2022-09-21,-36.27
2022-09-22,-45.18
2022-09-23,-42.55
2022-09-26,-49.82
2022-09-27,-31.64
2022-09-28,-30.73
2022-09-29,-48.18
2022-09-30,-37.45
2022-10-03,-51.55
2022-10-04,-45.27
2022-10-05,-49.09
2022-10-10,-54.45
2022-10-11,-56.55
2022-10-12,-45.73
2022-10-13,-48.27
2022-10-14,-29.82
2022-10-18,-10.91
2022-10-19,-15.82
2022-10-20,-37.45
2022-10-21,-37.27
2022-10-27,-37.18
2022-10-28,-37.27
2022-11-01,-37.09
2022-11-21,-61.27
2022-11-22,-39.0
2022-11-23,-35.91
2022-11-25,-54.55
2022-11-29,-45.45
2022-11-30,-38.09
2022-12-01,-29.82
2022-12-02,-27.27
2022-12-05,-27.09
2022-12-06,-39.09
2022-12-07,-37.82
2022-12-08,-37.91
2022-12-09,-36.36
2022-12-12,-37.82
2022-12-16,-39.55
2022-12-20,-39.0
2022-12-27,-35.73
2023-01-05,-27.0
2023-01-06,9.09
2023-01-09,3.45
2023-01-10,29.55
2023-01-11,63.64
2023-01-12,2.55
2023-01-13,63.64
2023-01-17,40.18
2023-01-18,63.64
2023-01-19,81.82
2023-01-20,209.09
2023-01-23,281.82
2023-01-24,263.73
2023-01-25,271.73
2023-01-26,118.18
2023-01-27,145.64
2023-01-30,143.45
2023-01-31,103.64
2023-02-01,118.18
2023-02-03,90.91
