date,pct_chg
2022-02-04,-3.7
2022-02-07,-1.76
2022-02-08,-3.88
2022-02-09,-2.12
2022-02-10,3.17
2022-02-11,2.82
2022-02-14,5.82
2022-02-15,7.76
2022-02-16,4.23
2022-02-17,7.76
2022-02-18,9.35
2022-02-22,10.58
2022-02-23,8.29
2022-02-24,10.58
2022-02-25,12.35
2022-02-28,14.11
2022-03-01,11.99
2022-03-02,11.11
2022-03-03,10.05
2022-03-04,11.99
2022-03-07,11.29
2022-03-08,12.52
2022-03-09,12.7
2022-03-10,12.52
2022-03-11,9.52
2022-03-14,13.05
2022-03-15,19.05
2022-03-16,25.22
2022-03-17,26.46
2022-03-18,26.81
2022-03-21,28.22
2022-03-22,32.28
2022-03-23,25.75
2022-03-24,29.63
2022-03-25,30.51
2022-03-28,28.75
2022-03-29,34.92
2022-03-30,31.92
2022-03-31,30.86
2022-04-01,38.1
2022-04-04,33.16
2022-04-05,32.66
2022-04-06,34.22
2022-04-07,32.45
2022-04-08,31.75
2022-04-11,25.22
2022-04-12,30.34
2022-04-13,26.28
2022-04-14,31.39
2022-04-18,25.57
2022-04-19,27.34
2022-04-20,28.04
2022-04-21,28.4
2022-04-22,30.51
2022-04-25,23.99
2022-04-26,26.98
2022-04-27,22.4
2022-04-28,17.11
2022-04-29,25.22
2022-05-02,26.61
2022-05-03,22.57
2022-05-04,24.16
2022-05-05,23.46
2022-05-06,23.81
2022-05-09,22.22
2022-05-10,20.28
2022-05-11,19.93
2022-05-12,19.58
2022-05-13,13.05
2022-05-16,13.76
2022-05-17,14.99
2022-05-18,18.34
2022-05-19,17.64
2022-05-20,15.52
2022-05-23,14.64
2022-05-24,14.29
2022-05-25,14.64
2022-05-26,16.56
2022-05-27,18.69
2022-05-31,18.52
2022-06-01,20.46
2022-06-02,18.17
2022-06-03,19.93
2022-06-06,16.58
2022-06-07,16.75
2022-06-08,17.64
2022-06-09,16.93
2022-06-10,17.28
2022-06-13,16.75
2022-06-14,17.11
2022-06-15,18.52
2022-06-16,20.63
2022-06-17,22.4
2022-06-21,21.16
2022-06-22,20.81
2022-06-23,18.87
2022-06-24,19.75
2022-06-27,23.1
2022-06-28,20.81
2022-06-29,19.05
2022-06-30,19.4
2022-07-01,19.75
2022-07-05,19.05
2022-07-06,18.87
2022-07-07,19.05
2022-07-08,18.52
2022-07-11,17.11
2022-07-12,17.28
2022-07-13,18.69
2022-07-14,17.64
2022-07-15,16.23
2022-07-18,14.46
2022-07-19,18.52
2022-07-20,20.11
2022-07-21,19.93
2022-07-22,20.81
2022-07-25,19.93
2022-07-26,22.75
2022-07-27,20.46
2022-07-28,23.81
2022-07-29,25.22
2022-08-01,22.05
2022-08-02,27.69
2022-08-03,26.63
2022-08-04,27.87
2022-08-05,26.46
2022-08-08,23.28
2022-08-09,26.46
2022-08-10,24.87
2022-08-11,27.34
2022-08-12,28.4
2022-08-15,30.16
2022-08-16,25.93
2022-08-17,22.05
2022-08-18,25.22
2022-08-19,19.58
2022-08-22,25.4
2022-08-23,25.93
2022-08-24,23.99
2022-08-25,26.1
2022-08-26,26.1
2022-08-29,20.46
2022-08-30,22.05
2022-08-31,20.46
2022-09-01,19.58
2022-09-02,16.93
2022-09-06,15.52
2022-09-07,15.7
2022-09-08,16.23
2022-09-09,14.29
2022-09-12,14.81
2022-09-13,12.17
2022-09-14,11.29
2022-09-15,11.11
2022-09-16,11.46
2022-09-19,11.11
2022-09-20,10.93
2022-09-21,10.76
2022-09-22,10.23
2022-09-23,9.88
2022-09-26,8.47
2022-09-27,6.53
2022-09-28,8.11
2022-09-29,11.11
2022-09-30,15.34
2022-10-03,9.35
2022-10-04,13.93
2022-10-05,12.17
2022-10-06,11.11
2022-10-07,15.17
2022-10-10,13.05
2022-10-11,1.41
2022-10-12,-11.82
2022-10-13,-2.47
2022-10-14,0.88
2022-10-17,0.88
2022-10-18,3.7
2022-10-19,2.12
2022-10-20,7.76
2022-10-21,8.99
2022-10-24,6.7
2022-10-25,6.0
2022-10-26,3.88
2022-10-27,2.65
2022-10-28,2.65
2022-10-31,6.17
2022-11-01,4.59
2022-11-02,7.94
2022-11-03,4.94
2022-11-04,8.11
2022-11-07,7.94
2022-11-08,5.29
2022-11-09,7.05
2022-11-10,3.35
2022-11-11,7.23
2022-11-14,6.7
2022-11-15,6.7
2022-11-16,4.94
2022-11-17,5.64
2022-11-18,4.76
2022-11-21,6.35
2022-11-22,5.38
2022-11-23,5.73
2022-11-25,6.7
2022-11-28,6.0
2022-11-29,4.94
2022-11-30,5.82
2022-12-01,7.05
2022-12-02,6.7
2022-12-05,5.47
2022-12-06,4.94
2022-12-07,5.82
2022-12-08,4.06
2022-12-09,7.94
2022-12-12,6.61
2022-12-13,7.23
2022-12-14,7.23
2022-12-15,9.17
2022-12-16,9.17
2022-12-19,8.47
2022-12-20,8.11
2022-12-21,12.17
2022-12-22,12.17
2022-12-23,10.93
2022-12-27,-4.41
2022-12-28,-1.59
2022-12-29,-0.35
2022-12-30,0.18
2023-01-03,-3.88
2023-01-04,-1.41
2023-01-05,-0.35
2023-01-06,7.23
2023-01-09,9.7
2023-01-10,7.94
2023-01-11,9.35
2023-01-12,8.11
2023-01-13,8.64
2023-01-17,7.58
2023-01-18,11.99
2023-01-19,8.11
2023-01-20,9.35
2023-01-23,2.47
2023-01-24,6.17
2023-01-25,7.58
2023-01-26,5.64
2023-01-27,5.82
2023-01-30,4.59
2023-01-31,6.0
2023-02-01,3.17
2023-02-02,7.23
2023-02-03,5.82
