date,pct_chg
2022-02-04,-2.32
2022-02-07,-3.93
2022-02-08,-3.22
2022-02-09,-1.32
2022-02-10,-2.37
2022-02-11,-4.43
2022-02-14,-6.2
2022-02-15,-5.21
2022-02-16,-5.74
2022-02-17,-8.46
2022-02-18,-9.18
2022-02-22,-9.33
2022-02-23,-11.93
2022-02-24,-5.41
2022-02-25,-3.06
2022-02-28,-1.22
2022-03-01,-0.71
2022-03-02,0.19
2022-03-03,-0.08
2022-03-04,-0.6
2022-03-07,-4.02
2022-03-08,-5.78
2022-03-09,-1.68
2022-03-10,-2.69
2022-03-11,-7.58
2022-03-14,-9.76
2022-03-15,-6.68
2022-03-16,-3.48
2022-03-17,-2.2
2022-03-18,0.65
2022-03-21,0.12
2022-03-22,2.51
2022-03-23,-0.54
2022-03-24,0.27
2022-03-25,-0.0
2022-03-28,0.11
2022-03-29,2.38
2022-03-30,1.81
2022-03-31,1.5
2022-04-01,2.69
2022-04-04,1.69
2022-04-05,1.13
2022-04-06,-0.75
2022-04-07,2.28
2022-04-08,1.52
2022-04-11,-4.54
2022-04-12,-7.74
2022-04-13,-5.63
2022-04-14,-7.82
2022-04-18,-9.67
2022-04-19,-7.07
2022-04-20,-4.74
2022-04-21,-8.61
2022-04-22,-12.12
2022-04-25,-12.37
2022-04-26,-15.47
2022-04-27,-17.03
2022-04-28,-16.81
2022-04-29,-20.13
2022-05-02,-19.76
2022-05-03,-19.11
2022-05-04,-23.68
2022-05-05,-28.54
2022-05-06,-31.97
2022-05-09,-35.98
2022-05-10,-36.88
2022-05-11,-38.05
2022-05-12,-35.44
2022-05-13,-32.8
2022-05-16,-33.17
2022-05-17,-32.02
2022-05-18,-33.7
2022-05-19,-32.31
2022-05-20,-30.93
2022-05-23,-31.66
2022-05-24,-32.8
2022-05-25,-31.75
2022-05-26,-28.58
2022-05-27,-26.04
2022-05-31,-27.34
2022-06-01,-31.42
2022-06-02,-28.32
2022-06-03,-30.86
2022-06-06,-30.94
2022-06-07,-30.09
2022-06-08,-30.98
2022-06-09,-33.26
2022-06-10,-35.82
2022-06-13,-37.62
2022-06-14,-38.96
2022-06-15,-38.04
2022-06-16,-39.26
2022-06-17,-39.13
2022-06-21,-38.39
2022-06-22,-38.19
2022-06-23,-34.02
2022-06-24,-32.93
2022-06-27,-33.38
2022-06-28,-35.21
2022-06-29,-33.53
2022-06-30,-34.92
2022-07-01,-33.49
2022-07-05,-31.93
2022-07-06,-30.38
2022-07-07,-29.02
