date,pct_chg
2022-02-04,-0.58
2022-02-07,0.96
2022-02-08,0.58
2022-02-09,1.54
2022-02-10,0.77
2022-02-11,-0.64
2022-02-14,0.64
2022-02-15,3.28
2022-02-16,3.66
2022-02-17,2.63
2022-02-18,1.86
2022-02-22,3.79
2022-02-23,2.7
2022-02-24,2.83
2022-02-25,2.7
2022-02-28,3.21
2022-03-01,0.39
2022-03-02,2.76
2022-03-03,1.54
2022-03-04,1.16
2022-03-07,8.8
2022-03-08,18.25
2022-03-09,14.91
2022-03-10,14.2
2022-03-11,15.55
2022-03-14,15.68
2022-03-15,17.87
2022-03-16,30.46
2022-03-17,39.14
2022-03-18,39.01
2022-03-21,39.72
2022-03-22,38.24
2022-03-23,37.85
2022-03-24,35.73
2022-03-25,35.41
2022-03-28,37.4
2022-03-29,35.41
2022-03-30,34.96
2022-03-31,32.46
2022-04-01,35.03
2022-04-04,38.3
2022-04-05,36.31
2022-04-06,37.53
2022-04-07,30.53
2022-04-08,28.79
2022-04-11,27.38
2022-04-12,31.3
2022-04-13,29.43
2022-04-14,32.01
2022-04-18,31.75
2022-04-19,32.01
2022-04-20,33.29
2022-04-21,31.81
2022-04-22,26.74
2022-04-25,28.41
2022-04-26,24.55
2022-04-27,25.19
2022-04-28,28.66
2022-04-29,27.7
2022-05-02,25.06
2022-05-03,27.7
2022-05-04,37.66
2022-05-05,34.13
2022-05-06,30.46
2022-05-09,27.96
2022-05-10,26.8
2022-05-11,27.25
2022-05-12,24.55
2022-05-13,26.03
2022-05-16,22.81
2022-05-17,25.77
2022-05-18,27.51
2022-05-19,24.16
2022-05-20,21.79
2022-05-23,26.16
2022-05-24,24.87
2022-05-25,25.39
2022-05-26,26.54
2022-05-27,29.63
2022-05-31,32.52
2022-06-01,34.51
2022-06-02,34.0
2022-06-03,34.64
2022-06-06,30.72
2022-06-07,33.16
2022-06-08,28.34
2022-06-09,26.16
2022-06-10,23.2
2022-06-13,22.49
2022-06-14,24.61
2022-06-15,26.99
2022-06-16,21.66
2022-06-17,26.03
2022-06-21,28.02
2022-06-22,25.26
2022-06-23,23.46
2022-06-24,29.63
2022-06-27,31.81
2022-06-28,30.59
2022-06-29,29.5
2022-06-30,31.56
2022-07-01,39.91
2022-07-05,40.94
2022-07-06,44.73
2022-07-07,44.6
2022-07-08,44.47
2022-07-11,41.32
2022-07-12,41.45
2022-07-13,40.81
2022-07-14,37.15
2022-07-15,37.53
2022-07-18,40.23
2022-07-19,44.47
2022-07-20,44.6
2022-07-21,48.46
2022-07-22,48.71
2022-07-25,47.04
2022-07-26,47.62
2022-07-27,51.93
2022-07-28,55.46
2022-07-29,54.5
2022-08-01,57.07
2022-08-02,60.22
2022-08-03,60.6
2022-08-04,56.68
2022-08-05,60.54
2022-08-08,67.35
2022-08-09,61.38
2022-08-10,63.17
2022-08-11,56.23
2022-08-12,57.65
2022-08-15,60.03
2022-08-16,60.67
2022-08-17,62.92
2022-08-18,67.03
2022-08-19,63.56
2022-08-22,62.21
2022-08-23,58.03
2022-08-24,58.1
2022-08-25,59.32
2022-08-26,54.95
2022-08-29,52.25
2022-08-30,48.97
2022-08-31,43.96
2022-09-01,43.19
2022-09-02,42.67
2022-09-06,44.67
2022-09-07,44.67
2022-09-08,45.89
2022-09-09,49.74
2022-09-12,51.67
2022-09-13,50.06
2022-09-14,49.55
2022-09-15,49.49
2022-09-16,51.54
2022-09-19,50.19
2022-09-20,51.54
2022-09-21,55.27
2022-09-22,52.44
2022-09-23,49.74
2022-09-26,42.87
2022-09-27,46.21
2022-09-28,50.9
2022-09-29,49.16
2022-09-30,46.47
2022-10-03,51.86
2022-10-04,54.37
2022-10-05,55.21
2022-10-06,53.73
2022-10-07,51.86
2022-10-10,52.19
2022-10-11,50.19
2022-10-12,52.25
2022-10-13,56.17
2022-10-14,51.41
2022-10-17,58.03
2022-10-18,61.25
2022-10-19,60.67
2022-10-20,58.23
2022-10-21,64.4
2022-10-24,71.4
2022-10-25,70.44
2022-10-26,69.54
2022-10-27,71.27
2022-10-28,71.08
2022-10-31,73.71
2022-11-01,71.92
2022-11-02,64.85
2022-11-03,60.09
2022-11-04,57.9
2022-11-07,58.74
2022-11-08,58.87
2022-11-09,34.38
2022-11-10,32.65
2022-11-11,31.94
2022-11-14,26.93
2022-11-15,32.58
2022-11-16,30.14
2022-11-17,30.46
2022-11-18,31.49
2022-11-21,31.23
2022-11-22,32.71
2022-11-23,37.28
2022-11-25,35.15
2022-11-28,37.02
2022-11-29,36.89
2022-11-30,39.59
2022-12-01,41.84
2022-12-02,42.29
2022-12-05,35.99
2022-12-06,35.28
2022-12-07,36.12
2022-12-08,35.35
2022-12-09,35.35
2022-12-12,35.6
2022-12-13,38.24
2022-12-14,37.92
2022-12-15,38.24
2022-12-16,37.28
2022-12-19,35.67
2022-12-20,38.69
2022-12-21,43.57
2022-12-22,43.96
2022-12-23,44.28
2022-12-27,47.56
2022-12-28,50.64
2022-12-29,54.37
2022-12-30,56.62
2023-01-03,53.6
2023-01-04,45.24
2023-01-05,46.98
2023-01-06,46.59
2023-01-09,46.85
2023-01-10,46.27
2023-01-11,48.33
2023-01-12,47.88
2023-01-13,51.35
2023-01-17,54.05
2023-01-18,56.56
2023-01-19,55.72
2023-01-20,54.56
2023-01-23,53.86
2023-01-24,52.44
2023-01-25,53.02
2023-01-26,52.31
2023-01-27,49.68
2023-01-30,46.34
2023-01-31,46.27
2023-02-01,49.61
2023-02-02,51.8
2023-02-03,52.76
